referendum_index,origin,address,amount,conviction,votes,status,voting_time,delegate
355,referendum_canceller,EXy5EDRyTFspQH4N4L4cnmbz4vtWg6vb532SVvVjUoczRHt,6700000000000000,3,20100000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,FPH96K6AvPNtq8poEkRDN9pATQhi5J6bJCWJLrXRhpEMg4N,6690000000000000,3,20070000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,HcA6jUpjTZM2o5sFZz4NNa6D9YMht2DpPhuLufvmj9T6gBQ,1000000000000000,5,5000000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,EG5FpzEAsgJxdc5xS8qFX9yKDnpn2sNqTSPr1v54sUr8E8F,2250000000000000,2,4500000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,Cfus9w7DfgwfPts9hdHbTnVy5Nmm4hq7DFc6duenCcEbD8K,1500000000000000,3,4500000000000000,Nays,1709839272,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF
355,referendum_canceller,GLVDsjRNze1K591bBMwXbLogHG1UB5wD3PH4bCzJg7Crqt3,430518367003072,6,2583110202018432,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,Dm5LRKsotH3ToPXEuLt2Gv7PHtTK8Qa7jdAqTkZy58egD3J,1500000000000000,1,1500000000000000,Nays,1710170556,Cdhjt72TSezVDkUzdgyoSwXByfwQJjuXSYcDs5L8snyB8Yx
355,referendum_canceller,Hgcdd6sjp37KD1cKrAbwMZ6sBZTAVwb6v2GTssv9L2w1oN3,1300000000000000,1,1300000000000000,Nays,1709891922,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu
355,referendum_canceller,JFArxqV6rqPSwBok3zQDnj5jL6vwsZQDwYXXqb1cFygnYVt,400000000000000,3,1200000000000000,Nays,1709887296,
355,referendum_canceller,DhDg7t3AWLdfp2eR92seZmE8oHm2W13EXskqJaBxegdTwHJ,363299000000000,3,1089897000000000,Nays,1709891892,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc
355,referendum_canceller,DK9DJCt64f5BoW55LudivAAv8NA8MaNiKGeNiyFpkxijcwq,353000000000000,3,1059000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,CmkHUWRBZWp8vh3t9ZMyddx3DHjqfv2jErXrECtcizxoGc2,350000000000000,3,1050000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,HYow6hsFy5oW88GqLdKyF9G65hKYpCteGqULE1ZJHh8yi5r,1000000000000000,1,1000000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000000000000000,1,1000000000000000,Nays,1709816544,
355,referendum_canceller,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,328414622569964,3,985243867709892,Nays,1709948832,
355,referendum_canceller,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,470000000000000,2,940000000000000,Nays,1709942130,
355,referendum_canceller,HHxJGYkkxzYNpDmoGomwuGBc8mtZQDhyhvWiCgUpJttpR1K,150000000000000,6,900000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
