referendum_index,origin,address,amount,conviction,votes,status,voting_time,delegate
860,fellowship_admin,15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,96400000000000000,3,289200000000000000,Ayes,1719930402,
860,fellowship_admin,136GehDWrz4tqL7ivAT53VeS3PweRZDSHyrbnWLdWJpchW8M,45000000000000000,3,135000000000000000,Nays,1718988306,16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz
860,fellowship_admin,121YHCtd97fn19zttCTVLdC8mjX81ry53X7MpMNsi93JTFHy,5000000000000000,3,15000000000000000,Nays,1718988306,16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz
860,fellowship_admin,12ztGE9cY2p7kPJFpfvMrL6NsCUeqoiaBY3jciMqYFuFNJ2o,5000000000000000,3,15000000000000000,Nays,1718988306,16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz
860,fellowship_admin,1ug1Lw6RuVh5RKvkz4T8YLR7GWWMtH3NKZhw47VnktfYbcu,4999990000000000,3,14999970000000000,Nays,1718988306,16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz
860,fellowship_admin,13LNT7fAGZqEQfH4YTpN7SGZaujB3eW98LmqUXPmBqLpptfk,2700000000000000,5,13500000000000000,Nays,1718280996,1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8
860,fellowship_admin,14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,6133287998196305,1,6133287998196305,Ayes,1718249856,
860,fellowship_admin,15g4zgBFXtbPv2JMgf21DQZP851BeMJJqmAsE9R3MMaWea71,500000000000000,5,2500000000000000,Nays,1718761602,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K
860,fellowship_admin,16GGq3LSZPGXf6bNeK4B6rBjLfHm9AQge6fEveaZf7ecnzJd,23499986326781576,0.1,2349998632678158,Nays,1718761602,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K
860,fellowship_admin,14VS6FRaj5mnmQ964e3fggVtiZif5wUXHZFWyXYaW38UVhJw,500000000000000,4,2000000000000000,Nays,1718761602,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K
860,fellowship_admin,14PwCMYLZrXFStJjPVoZvJGY6huN1WKMx9w1SKnYZm1tm9Kq,500000000000000,4,2000000000000000,Nays,1718761602,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K
860,fellowship_admin,12VdXW8h24ZTJDCvphRxWgms54wmgUr6kKzmL1rLhPRjMwQY,500000000000000,4,2000000000000000,Nays,1718761602,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K
860,fellowship_admin,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,400000000000000,4,1600000000000000,Nays,1718610252,
860,fellowship_admin,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,400000000000000,4,1600000000000000,Nays,1718610228,
860,fellowship_admin,15tbpBCG16vpPJtpm9RiFyZrErEzDJNym5RFSwz8Xguqgjoy,500000000000000,3,1500000000000000,Nays,1718761602,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K
860,fellowship_admin,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,360000000000000,3,1080000000000000,Nays,1719072090,
860,fellowship_admin,13BD8qt1Ptb2NRijSTCt9ef467ctDUNdqrFTrskB544vs8p2,475814235458425,2,951628470916850,Ayes,1718399616,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK
860,fellowship_admin,13ddzKjQqDNHv6iimsmpBJ61zUJBhrrpQ8Q7ZQeDjd11L8R2,854007602785739,1,854007602785739,Ayes,1718197356,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM
