address,conviction,amount,weight,weight_fraction,power,original_conviction
12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,0.1,639.3333333333334,63,0.017558528428093644,0.0002075385522644927,3.0
12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,1.0,639.3333333333334,639,0.15345821325648415,0.02167132769565462,3.0
12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,2.0,639.3333333333334,1278,0.2660836976889444,0.11641547568064069,3.0
12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,3.0,639.3333333333334,1918,0.35237920264559985,0.2964682357175722,3.0
12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,4.0,639.3333333333334,2557,0.4204209141729694,0.6857713404195394,3.0
12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,5.0,639.3333333333334,3196,0.4755244755244755,0.9884100975853604,3.0
12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,6.0,639.3333333333334,3836,0.5211248471675044,1.0,3.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,0.1,560.0,56,0.014663524482848913,0.0,3.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,1.0,560.0,560,0.12953967152440435,0.0034542022825842754,3.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,2.0,560.0,1120,0.2293671922998157,0.04994953176016873,3.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,3.0,560.0,1680,0.3086533161859269,0.1510025266723277,3.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,4.0,560.0,2240,0.37314675995335667,0.3330673454338466,3.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,5.0,560.0,2800,0.4266341612067652,0.6894971523509205,3.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,6.0,560.0,3360,0.47171135757405586,0.978390585484446,3.0
