address,conviction,amount,weight,weight_fraction,power,original_conviction
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,0.1,179.05318264210362,17,0.025222551928783383,0.02346937456757298,2.993524002705785
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,1.0,179.05318264210362,179,0.21411483253588517,0.2529769990286276,2.993524002705785
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,2.0,179.05318264210362,358,0.3527093596059113,0.6630999249031387,2.993524002705785
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,3.0,179.05318264210362,537,0.44974874371859297,0.999222429717904,2.993524002705785
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,4.0,179.05318264210362,716,0.5214857975236707,1.0,2.993524002705785
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,5.0,179.05318264210362,895,0.5766752577319587,1.0,2.993524002705785
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,6.0,179.05318264210362,1074,0.6204506065857885,1.0,2.993524002705785
SmallVotersCombined,0.1,116.3404399400875,11,0.00975177304964539,6.807584853293626e-10,0.65325522268214
SmallVotersCombined,1.0,116.3404399400875,116,0.09407948094079481,0.0010377808921241802,0.65325522268214
SmallVotersCombined,2.0,116.3404399400875,232,0.17197924388435878,0.041360968811665656,0.65325522268214
SmallVotersCombined,3.0,116.3404399400875,349,0.23806275579809005,0.08521700786379967,0.65325522268214
SmallVotersCombined,4.0,116.3404399400875,465,0.2939317319848293,0.16372004469659723,0.65325522268214
SmallVotersCombined,5.0,116.3404399400875,581,0.3421672555948174,0.2605799991899812,0.65325522268214
SmallVotersCombined,6.0,116.3404399400875,698,0.3845730027548209,0.41493759066738733,0.65325522268214
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,0.1,101.0,10,0.009074410163339383,2.7383662421633724e-13,1.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,1.0,101.0,101,0.08466051969823973,3.0085242561606442e-05,1.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,2.0,101.0,202,0.1561051004636785,0.016590992213664033,1.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,3.0,101.0,303,0.2172043010752688,0.05780124774060697,1.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,4.0,101.0,404,0.2700534759358289,0.11286169066324542,1.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,5.0,101.0,505,0.31621790857858484,0.1884082860424635,1.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,6.0,101.0,606,0.3568904593639576,0.2979311769862474,1.0
Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,0.1,100.0,10,0.008382229673093043,2.5228539387171602e-05,0.1
Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,1.0,100.0,100,0.0779423226812159,0.008638433551503281,0.1
Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,2.0,100.0,200,0.14461315979754158,0.032872669464080906,0.1
Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,3.0,100.0,300,0.20229265003371544,0.07075512627048577,0.1
Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,4.0,100.0,400,0.2526847757422615,0.12395929974946872,0.1
Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,5.0,100.0,500,0.29708853238265004,0.18714202568993768,0.1
Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,6.0,100.0,600,0.33651149747616377,0.2760243620220673,0.1
DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,0.1,100.0,10,0.008382229673093043,2.5228539387171602e-05,0.1
DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,1.0,100.0,100,0.0779423226812159,0.008638433551503281,0.1
DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,2.0,100.0,200,0.14461315979754158,0.032872669464080906,0.1
DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,3.0,100.0,300,0.20229265003371544,0.07075512627048577,0.1
DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,4.0,100.0,400,0.2526847757422615,0.12395929974946872,0.1
DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,5.0,100.0,500,0.29708853238265004,0.18714202568993768,0.1
DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,6.0,100.0,600,0.33651149747616377,0.2760243620220673,0.1
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,0.1,92.0,9,0.008108108108108109,4.464162372786229e-12,1.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,1.0,92.0,92,0.07711651299245599,3.0085242561606442e-05,1.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,2.0,92.0,184,0.1431906614785992,0.012835100513670676,1.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,3.0,92.0,276,0.20043572984749455,0.05137552340399306,1.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,4.0,92.0,368,0.25051055139550715,0.09369730928142575,1.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,5.0,92.0,460,0.2946828955797566,0.15858604217412417,1.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,6.0,92.0,552,0.3339382940108893,0.235226513851693,1.0
G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,0.1,49.0000792349533,4,0.003484320557491289,3.715457130762049e-08,0.9999983829627516
G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,1.0,49.0000792349533,49,0.04107292539815591,3.0085242532752993e-05,0.9999983829627516
G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,2.0,49.0000792349533,98,0.07890499194847021,0.0018660812639950677,0.9999983829627516
G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,3.0,49.0000792349533,147,0.11386522075910147,0.015281847649833891,0.9999983829627516
G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,4.0,49.0000792349533,196,0.14626865671641792,0.03713050303718551,0.9999983829627516
G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,5.0,49.0000792349533,245,0.17638588912886968,0.04879482870095841,0.9999983829627516
G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,6.0,49.0000792349533,294,0.20445062586926285,0.05601007581758684,0.9999983829627516
CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,0.1,16.666666666666668,1,0.0009140767824497258,6.1117763953039875e-15,6.0
CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,1.0,16.666666666666668,16,0.014427412082957619,3.0644051134697597e-12,6.0
CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,2.0,16.666666666666668,33,0.02930728241563055,4.171780316579437e-10,6.0
CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,3.0,16.666666666666668,50,0.04374453193350831,1.7761265044539174e-08,6.0
CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,4.0,16.666666666666668,66,0.056945642795513375,3.125119933985173e-07,6.0
CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,5.0,16.666666666666668,83,0.070578231292517,3.849569134115033e-06,6.0
CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,6.0,16.666666666666668,100,0.08382229673093043,3.0085242561606442e-05,6.0
CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,0.1,5.0,0,0.0,0.0,1.0
CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,1.0,5.0,5,0.004191114836546521,1.5453704113651942e-05,1.0
CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,2.0,5.0,10,0.008347245409015025,3.4539421167699575e-05,1.0
CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,3.0,5.0,15,0.012468827930174564,6.065692960462131e-05,1.0
CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,4.0,5.0,20,0.016556291390728478,9.910777190523053e-05,1.0
CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,5.0,5.0,25,0.020610057708161583,0.00015419393837933355,1.0
CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,6.0,5.0,30,0.024630541871921183,0.00023427482680038887,1.0
GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,0.1,4.001781054918829,0,0.0,0.0,0.9995549344418432
GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,1.0,4.001781054918829,4,0.003352891869237217,1.2684401789754761e-05,0.9995549344418432
GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,2.0,4.001781054918829,8,0.006683375104427736,2.7170691443091608e-05,0.9995549344418432
GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,3.0,4.001781054918829,12,0.009991673605328892,4.5375581148078294e-05,0.9995549344418432
GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,4.0,4.001781054918829,16,0.013278008298755186,6.944077284861021e-05,0.9995549344418432
GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,5.0,4.001781054918829,20,0.016542597187758478,0.00010183472422753812,0.9995549344418432
GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,6.0,4.001781054918829,24,0.01978565539983512,0.0001454404884708545,0.9995549344418432
Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,0.1,4.0,0,0.0,0.0,1.0
Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,1.0,4.0,4,0.003352891869237217,1.2684401789754761e-05,1.0
Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,2.0,4.0,8,0.006683375104427736,2.7170691443091608e-05,1.0
Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,3.0,4.0,12,0.009991673605328892,4.5375581148078294e-05,1.0
Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,4.0,4.0,16,0.013278008298755186,6.944077284861021e-05,1.0
Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,5.0,4.0,20,0.016542597187758478,0.00010183472422753812,1.0
Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,6.0,4.0,24,0.01978565539983512,0.0001454404884708545,1.0
EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,0.1,4.0,0,0.0,0.0,2.0
EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,1.0,4.0,4,0.00336417157275021,1.028026276065487e-05,2.0
