address,conviction,amount,weight,weight_fraction,power,original_conviction
DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed,0.1,410.0,41,0.029432878679109833,0.0073574386719359825,1.0
DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed,1.0,410.0,410,0.23269012485811577,0.14563985350652944,1.0
DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed,2.0,410.0,820,0.3775322283609576,0.4171386758997854,1.0
DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed,3.0,410.0,1230,0.4763749031758327,0.9980599249656728,1.0
DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed,4.0,410.0,1640,0.5481283422459893,1.0,1.0
DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed,5.0,410.0,2050,0.6025867136978248,1.0,1.0
DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed,6.0,410.0,2460,0.6453305351521511,1.0,1.0
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,0.1,191.74324608955683,19,0.015899581589958158,0.013547485201907098,3.0561702273794773
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,1.0,191.74324608955683,191,0.1397220190197513,0.12202078411685632,3.0561702273794773
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,2.0,191.74324608955683,383,0.2456703014753047,0.22884608027954978,3.0561702273794773
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,3.0,191.74324608955683,575,0.32838378069674473,0.3539978799050578,3.0561702273794773
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,4.0,191.74324608955683,766,0.3944387229660144,0.5773719551642188,3.0561702273794773
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,5.0,191.74324608955683,958,0.44892221180880976,0.911892908782304,3.0561702273794773
