address,conviction,amount,weight,weight_fraction,power,original_conviction
SmallVotersCombined,0.1,162.93827464281648,16,0.0022650056625141564,0.002224396031119906,1.1415365751708004
SmallVotersCombined,1.0,162.93827464281648,162,0.02246879334257975,0.02213737455010813,1.1415365751708004
SmallVotersCombined,2.0,162.93827464281648,325,0.044079750440797504,0.04383670696428726,1.1415365751708004
SmallVotersCombined,3.0,162.93827464281648,488,0.06475583864118896,0.06543960850082661,1.1415365751708004
SmallVotersCombined,4.0,162.93827464281648,651,0.08455643590076634,0.0874290759360255,1.1415365751708004
SmallVotersCombined,5.0,162.93827464281648,814,0.10353599592978886,0.11015789708791442,1.1415365751708004
SmallVotersCombined,6.0,162.93827464281648,977,0.12174454828660436,0.1338845003274732,1.1415365751708004
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,0.1,125.70998713137907,12,0.0017796233130654012,0.0017405626699818005,4.001273180263048
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,1.0,125.70998713137907,125,0.01823220536756126,0.017884191119225182,4.001273180263048
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,2.0,125.70998713137907,251,0.03594958464623317,0.03554074113568932,4.001273180263048
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,3.0,125.70998713137907,377,0.05303882948790096,0.05306505233796969,4.001273180263048
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,4.0,125.70998713137907,502,0.06940412000553021,0.07050435237948145,4.001273180263048
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,5.0,125.70998713137907,628,0.0853376817502378,0.08831499892359643,4.001273180263048
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,6.0,125.70998713137907,754,0.10073480293921176,0.1065750090026204,4.001273180263048
G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,0.1,120.0,12,0.0017426662794074934,0.0017085844928172557,3.0
G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,1.0,120.0,120,0.017157563625965114,0.016857420731739153,3.0
G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,2.0,120.0,240,0.03373629463030644,0.0333368522801352,3.0
G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,3.0,120.0,360,0.049764998617638924,0.04963700855113145,3.0
G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,4.0,120.0,480,0.06527060103345118,0.06595271754156243,3.0
G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,5.0,120.0,600,0.08027829810008028,0.0824679701074797,3.0
G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,6.0,120.0,720,0.0948116934421912,0.09934203399160821,3.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,0.1,100.0,10,0.0015051173991571343,0.0014752031861455894,6.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,1.0,100.0,100,0.01485001485001485,0.014581862750388868,6.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,2.0,100.0,200,0.029265437518290898,0.028879786604279648,6.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,3.0,100.0,300,0.04326507066628209,0.04302889527682779,6.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,4.0,100.0,400,0.05686664771111743,0.05714981466099821,6.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,5.0,100.0,500,0.07008690776562938,0.07135311192101429,6.0
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,6.0,100.0,600,0.08294166436273155,0.08574361743536271,6.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,0.1,94.0,9,0.0013475071118430903,0.0013201433386495515,6.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,1.0,94.0,94,0.013897102306327618,0.013636775026401069,6.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,2.0,94.0,188,0.02741324001166521,0.027015416518342366,6.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,3.0,94.0,282,0.0405638665132336,0.04024825176290739,6.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,4.0,94.0,376,0.05336361055918251,0.053434886173456854,6.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,5.0,94.0,470,0.06582633053221289,0.06666355064049988,6.0
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,6.0,94.0,564,0.07796516450096765,0.08001869646167449,6.0
HLYNphFbqtLhgFVbtdS8fgv6nU2wV9sxTtxhpRVdLAtZfpk,0.1,73.0,7,0.0010180337405468296,0.0009981242037345889,5.0
HLYNphFbqtLhgFVbtdS8fgv6nU2wV9sxTtxhpRVdLAtZfpk,1.0,73.0,73,0.010515701526937482,0.010318852393733344,5.0
HLYNphFbqtLhgFVbtdS8fgv6nU2wV9sxTtxhpRVdLAtZfpk,2.0,73.0,146,0.02081254454739843,0.02046813832531831,5.0
HLYNphFbqtLhgFVbtdS8fgv6nU2wV9sxTtxhpRVdLAtZfpk,3.0,73.0,219,0.03089729119638826,0.030493484745503428,5.0
HLYNphFbqtLhgFVbtdS8fgv6nU2wV9sxTtxhpRVdLAtZfpk,4.0,73.0,292,0.04077642787320207,0.0404395558607778,5.0
HLYNphFbqtLhgFVbtdS8fgv6nU2wV9sxTtxhpRVdLAtZfpk,5.0,73.0,365,0.05045617915399502,0.05035075631514109,5.0
