address,conviction,amount,weight,weight_fraction,power,original_conviction
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,0.1,1125.000499999889,112,0.00785248545186847,0.007426378506491678,2.9999986666675555
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,1.0,1125.000499999889,1125,0.07364493322859388,0.0706461309667423,2.9999986666675555
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,2.0,1125.000499999889,2250,0.13718675690506676,0.13676210566112892,2.9999986666675555
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,3.0,1125.000499999889,3375,0.19257103731598768,0.20858154146139685,2.9999986666675555
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,4.0,1125.000499999889,4500,0.24127392633102782,0.29109704447549845,2.9999986666675555
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,5.0,1125.000499999889,5625,0.2844356796116505,0.38845581909249605,2.9999986666675555
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,6.0,1125.000499999889,6750,0.3229510549734462,0.5166963839407777,2.9999986666675555
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,0.1,1000.0,100,0.0068371393408997675,0.006269036664082205,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,1.0,1000.0,1000,0.0644080896560608,0.059566357083365946,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,2.0,1000.0,2000,0.1210214207914801,0.11506016499983734,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,3.0,1000.0,3000,0.17117425539198905,0.17254951913493186,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,4.0,1000.0,4000,0.21591277124041888,0.23511422104320914,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,5.0,1000.0,5000,0.2560688313018539,0.30370575856753934,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,6.0,1000.0,6000,0.29231218941829873,0.38867747214861437,3.0
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,0.1,600.0003333332407,60,0.003800836183960471,0.0036554330494876063,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,1.0,600.0003333332407,600,0.036751194413818446,0.03563543981988451,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,2.0,600.0003333332407,1200,0.07089684509039348,0.07016304218749,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,3.0,600.0003333332407,1800,0.10270455323519342,0.1045830485946621,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,4.0,600.0003333332407,2400,0.132406487917908,0.13919261996148585,2.999998333334722
