address,conviction,amount,weight,weight_fraction,power,original_conviction
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,0.1,1000.0,100,0.014180374361883154,0.009058019123915078,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,1.0,1000.0,1000,0.12575452716297786,0.09413737581386937,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,2.0,1000.0,2000,0.22341376228775692,0.2342585916296472,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,3.0,1000.0,3000,0.30144694533762056,0.4017354921039352,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,4.0,1000.0,4000,0.36523009495982467,0.48659294803168557,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,5.0,1000.0,5000,0.4183400267737617,0.588983393196329,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,6.0,1000.0,6000,0.46324891908585547,0.8484023041199462,3.0
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,0.1,625.0004999998,62,0.007617643445140681,0.008388045875922167,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,1.0,625.0004999998,625,0.0718225695242473,0.07787294798107801,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,2.0,625.0004999998,1250,0.1340195132411279,0.140752906738619,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,3.0,625.0004999998,1875,0.18840434083601287,0.18058722545888004,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,4.0,625.0004999998,2500,0.23636191736787368,0.21427955069473356,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,5.0,625.0004999998,3125,0.2789680414211748,0.2729520403718979,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,6.0,625.0004999998,3750,0.3170711084805952,0.3515553017928419,2.99999760000288
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,0.1,600.0000999999667,60,0.007306380905991232,0.008195460547792003,2.99999950000025
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,1.0,600.0000999999667,600,0.06855575868372943,0.07467620699896169,2.99999950000025
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,2.0,600.0000999999667,1200,0.1283147989734816,0.13523216997844256,2.99999950000025
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,3.0,600.0000999999667,1800,0.18086816720257234,0.17944554140712557,2.99999950000025
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,4.0,600.0000999999667,2400,0.22744503411675512,0.2116803545885958,2.99999950000025
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,5.0,600.0000999999667,3000,0.26901004304160686,0.26328297035735876,2.99999950000025
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,6.0,600.0000999999667,3600,0.3063308373042886,0.330917916565893,2.99999950000025
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,0.1,500.0,50,0.005262050094716902,0.00360034158772604,1.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,1.0,500.0,500,0.050241157556270094,0.032101420978346604,1.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,2.0,500.0,1000,0.09567546880979717,0.0670931889840807,1.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,3.0,500.0,1500,0.13696128560993426,0.11368854313322094,1.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,4.0,500.0,2000,0.17464198393293748,0.17035636502631227,1.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,5.0,500.0,2500,0.20917001338688085,0.23292157747866046,1.0
11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,6.0,500.0,3000,0.24092515258592997,0.2770598506323953,1.0
