address,conviction,amount,weight,weight_fraction,power,original_conviction
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,0.1,1000.0,100,0.06464124111182935,0.0,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,1.0,1000.0,1000,0.4086636697997548,0.4092330535872234,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,2.0,1000.0,2000,0.5802146794313896,1.0,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,3.0,1000.0,3000,0.6746120980436249,1.0,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,4.0,1000.0,4000,0.7343491830365338,1.0,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,5.0,1000.0,5000,0.7755545214828602,1.0,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,6.0,1000.0,6000,0.805693567879683,1.0,3.0
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,0.1,251.82007521385293,25,0.0068287353182190655,0.0,3.2205534023102613
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,1.0,251.82007521385293,251,0.06457422176485722,0.0,3.2205534023102613
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,2.0,251.82007521385293,503,0.12152693887412419,0.0,3.2205534023102613
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,3.0,251.82007521385293,755,0.17194260988385335,0.0,3.2205534023102613
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,4.0,251.82007521385293,1007,0.21688563428817575,0.0,3.2205534023102613
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,5.0,251.82007521385293,1259,0.2572012257405516,0.0,3.2205534023102613
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,6.0,251.82007521385293,1510,0.2934317916828605,0.0,3.2205534023102613
SmallVotersCombined,0.1,102.71195611186286,10,0.0023110700254217703,0.0,1.265675437613299
SmallVotersCombined,1.0,102.71195611186286,102,0.02308214528173795,0.0,1.265675437613299
SmallVotersCombined,2.0,102.71195611186286,205,0.04533392304290137,0.0,1.265675437613299
SmallVotersCombined,3.0,102.71195611186286,308,0.06659459459459459,0.0,1.265675437613299
SmallVotersCombined,4.0,102.71195611186286,410,0.08673577321768564,0.0,1.265675437613299
SmallVotersCombined,5.0,102.71195611186286,513,0.1062111801242236,0.0,1.265675437613299
SmallVotersCombined,6.0,102.71195611186286,616,0.12487330225015204,0.0,1.265675437613299
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,0.1,58.7197212697061,5,0.0011856770215793219,0.0,4.002062593598143
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,1.0,58.7197212697061,58,0.013583138173302109,0.0,4.002062593598143
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,2.0,58.7197212697061,117,0.02702702702702703,0.0,4.002062593598143
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,3.0,58.7197212697061,176,0.040109389243391066,0.0,4.002062593598143
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,4.0,58.7197212697061,234,0.05263157894736842,0.0,4.002062593598143
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,5.0,58.7197212697061,293,0.06503884572697004,0.0,4.002062593598143
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,6.0,58.7197212697061,352,0.07712532865907099,0.0,4.002062593598143
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,0.1,17.0,1,0.00022742779167614282,0.0,3.0
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,1.0,17.0,17,0.0038522547020167688,0.0,3.0
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,2.0,17.0,34,0.007674943566591422,0.0,3.0
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,3.0,17.0,51,0.011468405666741623,0.0,3.0
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,4.0,17.0,68,0.015232974910394265,0.0,3.0
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,5.0,17.0,85,0.01896898013836197,0.0,3.0
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,6.0,17.0,102,0.02267674522009782,0.0,3.0
12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,0.1,13.777921286017092,1,0.0002255299954894001,0.0,1.01611844844899
12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,13.777921286017092,13,0.0029239766081871343,0.0,1.01611844844899
