address,conviction,amount,weight,weight_fraction,power,original_conviction
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,0.1,3212.0,321,0.023700531600708803,0.016461882155822397,1.0
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,1.0,3212.0,3212,0.19543656829936112,0.21248642779587404,1.0
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,2.0,3212.0,6424,0.3269710388354456,0.4429243995633188,1.0
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,3.0,3212.0,9636,0.42154074981407763,0.7843313373253493,1.0
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,4.0,3212.0,12848,0.4928081009550842,0.9832892522240924,1.0
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,5.0,3212.0,16060,0.5484410750264659,1.0,1.0
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,6.0,3212.0,19272,0.5930758578242806,1.0,1.0
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,0.1,2013.0,201,0.013745469465909868,0.015356125356125357,1.0
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,1.0,2013.0,2013,0.12248250684514755,0.12225841476655809,1.0
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,2.0,2013.0,4026,0.218235039028621,0.23608992826074676,1.0
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,3.0,2013.0,6039,0.29514686476711793,0.3712624584717608,1.0
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,4.0,2013.0,8052,0.3582806798967696,0.5287895476470812,1.0
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,5.0,2013.0,10065,0.4110344264303508,0.699744268883003,1.0
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,6.0,2013.0,12078,0.4557735849056604,0.8845309326453313,1.0
16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,0.1,1088.0,108,0.006988029763830475,0.005092750654375783,1.0
16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,1.0,1088.0,1088,0.06620018253726803,0.06286644951140065,1.0
16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,2.0,1088.0,2176,0.12417964960337842,0.12111519803827496,1.0
16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,3.0,1088.0,3264,0.17538015152329267,0.18516415165774244,1.0
16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,4.0,1088.0,4352,0.2209249200467029,0.24105841462047314,1.0
16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,5.0,1088.0,5440,0.2617020253042767,0.3183322303110523,1.0
16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,6.0,1088.0,6528,0.29842285714285716,0.3774073837097703,1.0
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,0.1,1000.0,100,0.006437077566784679,0.00485271581815086,1.0
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,1.0,1000.0,1000,0.06084575600851841,0.055320304017372424,1.0
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,2.0,1000.0,2000,0.11471178663607685,0.1134174250891479,1.0
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,3.0,1000.0,3000,0.16273393002441008,0.16784717750590256,1.0
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,4.0,1000.0,4000,0.2058142526369951,0.22323449837115564,1.0
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,5.0,1000.0,5000,0.24467824810374358,0.28164337683335255,1.0
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,6.0,1000.0,6000,0.27991602519244224,0.34940058388719797,1.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,0.1,1000.0,100,0.007388252678241596,0.005958150407662922,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,1.0,1000.0,1000,0.06927606511950121,0.06667396540398511,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,2.0,1000.0,2000,0.12957563977972142,0.1277661683544982,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,3.0,1000.0,3000,0.18253726802555523,0.18756786102062975,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,4.0,1000.0,4000,0.2294235732721537,0.255459379950215,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,5.0,1000.0,5000,0.27122321670735017,0.32029850746268657,3.0
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,6.0,1000.0,6000,0.3087213789554927,0.4062643942883464,3.0
12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,0.1,653.0,65,0.004101722723543888,0.0022568849274368645,1.0
12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,1.0,653.0,653,0.03973227867356252,0.031053203040173723,1.0
12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,2.0,653.0,1306,0.07642790262172285,0.0798168737737083,1.0
12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,3.0,653.0,1959,0.11042218589707457,0.11075881914099968,1.0
12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,4.0,653.0,2612,0.14200282700880723,0.1325603382619429,1.0
12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,5.0,653.0,3265,0.17141807108731033,0.18242779449812557,1.0
12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,6.0,653.0,3918,0.19888324873096447,0.22430022979595227,1.0
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,0.1,625.0004999998,62,0.0042401860210641495,0.004706661293108412,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,1.0,625.0004999998,625,0.04115903852486006,0.04291689905186838,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,2.0,625.0004999998,1250,0.07906388361796332,0.07327574386397916,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,3.0,625.0004999998,1875,0.114085792515972,0.11058631921824104,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,4.0,625.0004999998,2500,0.14654161781946073,0.15309486187544272,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,5.0,625.0004999998,3125,0.17670342097823014,0.18266321984489303,2.99999760000288
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,6.0,625.0004999998,3750,0.20480611687602404,0.21434137652723276,2.99999760000288
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,0.1,600.0003333332407,60,0.004083021435862538,0.0049053356282271945,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,1.0,600.0003333332407,600,0.03938299967180833,0.042299771803862636,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,2.0,600.0003333332407,1200,0.07578149668455952,0.0702979004067275,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,3.0,600.0003333332407,1800,0.10952236081533313,0.10412595005428882,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,4.0,600.0003333332407,2400,0.1408864103316701,0.14693733355073646,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,5.0,600.0003333332407,3000,0.1701162461015027,0.1773838966749107,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,6.0,600.0003333332407,3600,0.19742253907321086,0.2037242296608291,2.999998333334722
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,0.1,317.3853666360667,31,0.00201324847382777,0.001610558421937801,3.364994458691076
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,1.0,317.3853666360667,317,0.020211680693700586,0.015085356921516704,3.364994458691076
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,2.0,317.3853666360667,634,0.039622523592275485,0.032515133003831846,3.364994458691076
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,3.0,317.3853666360667,952,0.05833690789876831,0.05299149956408021,3.364994458691076
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,4.0,317.3853666360667,1269,0.07628035585477279,0.07430815157464432,3.364994458691076
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,5.0,317.3853666360667,1586,0.09355276352268035,0.09386696609988236,3.364994458691076
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,6.0,317.3853666360667,1904,0.1102426032076892,0.10926251799712046,3.364994458691076
SmallVotersCombined,0.1,161.92902615870858,16,0.0009871668311944718,0.000990971151728694,1.5006574532340655
SmallVotersCombined,1.0,161.92902615870858,161,0.009845288326300985,0.012484326446055715,1.5006574532340655
SmallVotersCombined,2.0,161.92902615870858,323,0.019557977596124734,0.023823656378156702,1.5006574532340655
SmallVotersCombined,3.0,161.92902615870858,485,0.029081969179108953,0.03350611874098221,1.5006574532340655
SmallVotersCombined,4.0,161.92902615870858,647,0.038422709187006354,0.04166445517753835,1.5006574532340655
SmallVotersCombined,5.0,161.92902615870858,809,0.04758543615081466,0.048350548060708265,1.5006574532340655
SmallVotersCombined,6.0,161.92902615870858,971,0.056575190817456156,0.05466904624429164,1.5006574532340655
