address,conviction,amount,weight,weight_fraction,power,original_conviction
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,0.1,600.0003333332407,60,0.006800408024481469,0.006140150486255122,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,1.0,600.0003333332407,600,0.06408202499198974,0.061635828558754976,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,2.0,600.0003333332407,1200,0.12044564890093346,0.12081987303285058,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,3.0,600.0003333332407,1800,0.17040613462084636,0.17872357944195888,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,4.0,600.0003333332407,2400,0.21499596882558453,0.24217265873686056,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,5.0,600.0003333332407,3000,0.2550369803621525,0.30685625187423404,2.999998333334722
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,6.0,600.0003333332407,3600,0.2911914583838874,0.382853725119409,2.999998333334722
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,0.1,528.0001333333165,52,0.0057579448566050274,0.0058456177584123555,2.999999242424529
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,1.0,528.0001333333165,528,0.055538024613442726,0.054139550602269555,2.999999242424529
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,2.0,528.0001333333165,1056,0.10523168908819133,0.10459835501061346,2.999999242424529
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,3.0,528.0001333333165,1584,0.1499573984663448,0.15441140297604575,2.999999242424529
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,4.0,528.0001333333165,2112,0.19042466865025698,0.2067728747888895,2.999999242424529
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,5.0,528.0001333333165,2640,0.22721404595920475,0.26201409265381126,2.999999242424529
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,6.0,528.0001333333165,3168,0.2608051370708817,0.31666013979493873,2.999999242424529
