address,weight,weight_fraction,power
156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,10780,0.2458549045544735,0.2833960779378236
15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,6936,0.15818642096380597,0.15365571765666985
1649c4indT6Dr3W2yVGZeEsTPpqgzAq67VMdQbsYRCTz8qyv,6675,0.152233904257988,0.14861883117450242
13NyeyHnRUoYww2Xs9sHzVMRatC2PsqvbAgbm8J8aLj4ZCtg,4500,0.1026295983761717,0.0932439837624682
127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,3986,0.0909070175838712,0.08385099218288296
14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,2550,0.05815677241316396,0.05718899543764502
15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,2031,0.04632015873377882,0.04519962906372181
1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,1566,0.035715100234907746,0.03303872369614129
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,1224,0.0279152507583187,0.02628689515989069
14UdfsH3mCoSTD7LnikDVaRRPwgNq1pWCtsLPWtDHKUaftx2,1050,0.023946906287773392,0.021478876630096316
SmallVotersCombined,502,0.011448901863297375,0.010619069895869561
15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,423,0.009647182247360138,0.008981611512550676
15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,338,0.00770862316692134,0.007181571785373815
12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,204,0.004652541793053117,0.004304822552316594
155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,160,0.0036490523867083267,0.0033911422727841744
157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,160,0.0036490523867083267,0.0033911422727841744
16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,157,0.0035806326544575457,0.003328886606678779
154jnYuSvtnpCRNjQuunWpcRhzzU2J7ZhHE5vCZiwq6oKWUR,147,0.003352566880288275,0.0031304746636234546
153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,132,0.0030104682190343697,0.0027941149136583333
1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,100,0.0022806577416927044,0.0021227390611979918
12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,96,0.002189431432024996,0.0020416723305139877
14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,70,0.001596460419184893,0.0014871938079349997
12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,60,0.0013683946450156225,0.0012668356228712986
