address,weight,weight_fraction,power
15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,37200,0.21638726339914144,0.22000765280775597
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,36079,0.20986656118757052,0.20778134110170834
12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,19177,0.11154996102702514,0.10930365791526524
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,18000,0.10470351454797167,0.10024205704090024
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,15840,0.09213909280221506,0.08513685207460853
16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,13701,0.07969682515676443,0.06876999084622719
1649c4indT6Dr3W2yVGZeEsTPpqgzAq67VMdQbsYRCTz8qyv,6675,0.03882755331153949,0.0479120730441474
12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,4200,0.024430820061193386,0.02723427104892089
1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,4000,0.023267447677327035,0.025831397229345347
13NyeyHnRUoYww2Xs9sHzVMRatC2PsqvbAgbm8J8aLj4ZCtg,3000,0.017450585757995275,0.0191341334252234
13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,2887,0.016793280361110788,0.018399717564885027
15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,2031,0.011814046558162802,0.01284445562534221
1v7pFmYFtFWJ56VLmPE6wsHmfxZixADpuv4bpwPg87YNQe9,1965,0.011430133671486906,0.01241911172465113
SmallVotersCombined,1828,0.010633223588538455,0.011551088833876993
1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,1566,0.009109205765673534,0.009833223755837379
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,1350,0.007852763591097874,0.00848489204678783
15a9VMaAj2ZKVN3fA97r9kPVppiJLjSXmsYLQKhVnPEPCQbv,1160,0.00674755982642484,0.007281583158749252
13Q4zQADiTtfVEy3KN528HvKzfTXdLS1dRwzsYqjX6J2gxii,342,0.0019893667764114614,0.002132638802272165
15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,286,0.001663622508928883,0.0017918563132492933
12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,255,0.0014832997894295985,0.0015770703276120491
16JUJFANw7LHEBYsyyykYogBotUxgqSCQswEWbZ1rTPGuN5s,200,0.0011633723838663519,0.0012519316997477957
14w9TR3CX7syCEgQ1w3yj1uBwVdsPucNpGQyeetAera5XgxB,172,0.0010005002501250625,0.0010790036128863136
