address,weight,weight_fraction,power
15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,28920,0.2464653695702196,0.2780664174277077
16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz,18000,0.15340168230511594,0.1430668663581224
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,15840,0.13499348042850204,0.12539656390034032
16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,13701,0.11676424718124409,0.10742032122624304
15VKhRhYBw4ztjPyr7CzUf54An2gBX8fXLJx8LWFGr5Z4dqo,11901,0.1014240789507325,0.09282351351153731
1zkRkpCbD2nhB6vMEwxYxAsLh5SYYXXSVmatviKSk86SFFC,6879,0.058625009587605144,0.07071817547807192
13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,2863,0.024399389802197052,0.023787332691082238
1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,2670,0.022754582875258864,0.0221397146930116
13Ne3Gc3gmed5dc6LY5nV8Kyd6zpEMLCXKmkeziYxMHkvj8W,2397,0.020427990693631274,0.019839376471602718
15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,2026,0.017266211575009162,0.01673853523082421
SmallVotersCombined,1754,0.014948141709065187,0.014481097803861136
1vcpBviYt3hhiDd3EvaE3opgCdSJWkmEfv5WZt93TmD1evD,1303,0.01110457733575367,0.010736201383466246
15a9VMaAj2ZKVN3fA97r9kPVppiJLjSXmsYLQKhVnPEPCQbv,1160,0.00988588619299636,0.009555290381751727
13dKEY6zDazKA1Ew7jjsEMUwy5Nt2bnh2S5UagMrcnfkPSPZ,1125,0.009587605144069746,0.009265831404553285
121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,1000,0.008522315683617552,0.008233905168101161
16aHHHXnTYAV72qngKmEDVGXwRw8cknqgioY75BsTtMNJEg3,826,0.007039432754668099,0.006799981340955615
14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,711,0.00605936645105208,0.0058526496310741345
15tjdhcPTTxPCvobkBHLB3c1pqks4iu5v1ZKPqmTUD4aZeBb,645,0.005496893615933322,0.005308160964819751
16ZrKNuPfhHiwNDFnwQok3UCCHscYLtU6Ku5rXB4T1yFmnzy,600,0.0051133894101705315,0.004937698089473812
16JCybAA88yQ9t8Cus4YhB5mT5DjyBxBLEgYPCpH8HjnePTq,540,0.004602050469153478,0.004443617432269089
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,447,0.003809475110577046,0.0036779290781824127
16JUJFANw7LHEBYsyyykYogBotUxgqSCQswEWbZ1rTPGuN5s,390,0.0033237031166108454,0.003209166171178336
15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,257,0.002190235130689711,0.002114270668133832
155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,210,0.001789686293559686,0.0017276287436755642
157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,206,0.0017555970308252159,0.001694934501513421
153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,194,0.0016533292426218053,0.0015960148105765844
12e1E8ADuvrXYfQFv5L2ir7M9yerTYWWLjAzMwFT3mMP3wyu,175,0.0014914052446330717,0.0014401543738656129
14w9TR3CX7syCEgQ1w3yj1uBwVdsPucNpGQyeetAera5XgxB,172,0.001465838297582219,0.001415943521883355
16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,153,0.0013039142995934856,0.0012585245996440395
15ywBU49qBuBbzP4T9dcpJuHcH4DCQib9r8MnrgVMpzb768N,138,0.0011760795643392223,0.0011352073100930082
14gEYLb4pzg3RvYS72MPRWWGAUBDdBpp9U6Wh4uMZhdQRis2,136,0.0011590349329719872,0.0011189756323844065
