address,weight,weight_fraction,power
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,36079,0.18755588363727102,0.20539489041628842
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,32116,0.16695431577634068,0.1724030605628323
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,20127,0.10462976440498221,0.10481130852029569
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,18000,0.09357260194215133,0.09277655297626768
16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz,18000,0.09357260194215133,0.09277655297626768
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,15840,0.08234388970909318,0.07996368823758268
16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,13701,0.07122434551163419,0.06735831928413955
15VKhRhYBw4ztjPyr7CzUf54An2gBX8fXLJx8LWFGr5Z4dqo,11901,0.06186708531741906,0.056983530022046425
16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,10876,0.05653864548460211,0.051173648035274286
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,10000,0.05198477885675074,0.04562313578005447
15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,2027,0.010537314674263375,0.010296978342627416
SmallVotersCombined,1293,0.006721631906177871,0.007184541563999482
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,1147,0.0059626541348693106,0.006198936584100635
121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,1000,0.005198477885675074,0.004953961872649462
15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,257,0.001336008816618494,0.0021008948255738557
