address,weight,weight_fraction,power
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,5362,0.449266862170088,0.9991002162132162
FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,1007,0.08437369082530373,3.1676075491211575e-05
CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,1000,0.08378718056137412,3.1676075491211575e-05
HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,920,0.07708420611646419,3.1676075491211575e-05
SmallVotersCombined,764,0.06401340594888982,3.1676075491211575e-05
G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,494,0.04139086719731881,3.167607547030213e-05
GU77syTfPXdzKCuqASura9ZKgxmD2rEDhj89c9TGL6vc9Qw,124,0.01038961038961039,2.897916964276723e-05
G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,120,0.010054461667364893,2.8658116170721066e-05
Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,103,0.008630079597821534,2.6901534535543977e-05
HWyLYmpW68JGJYoVJcot6JQ1CJbtUQeTdxfY1kUTsvGCB1r,101,0.008462505236698786,2.6648012882873343e-05
DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,97,0.00812735651445329,2.610839071428718e-05
EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,80,0.006702974444909929,2.3297564658332892e-05
D2r9AudNkHHpKfGtS5rpVHkchBoBhRsR6TmNcTuU4yiTp6w,70,0.005865102639296188,2.1233682783589008e-05
JBmYvpebasxckBsohyyWse7yggsowfgt5xRJvkzu2txUJdi,70,0.005865102639296188,2.1233682783589008e-05
E2gCFEisQ3k4LmaJHBysj8f1SRoG6jCo5ffFdX9XidqsjDC,66,0.005529953917050691,2.0322590836642574e-05
Hgjqt5NUcKzNckgz23xfaJL89onmvmTrywZ6xH5FhY7LfKG,62,0.005194805194805195,1.9363693686205927e-05
FGASn5MVrRKpvYkULb9UsMoqjJQFG2p3izNSzCGSzYa2dAP,62,0.005194805194805195,1.9363693686205927e-05
FfbuQ6wUEfGKxCQpiQcxfMBY5oxKBHiGQVDzAz61Ui57TPY,60,0.005027230833682447,1.88666791562618e-05
D5aAp1y8XfkrmtPqsGFZtCjJrPZqKrsG2ceSha846jy6RMU,59,0.0049434436531210725,1.8613856091125195e-05
JBwJ33SrTv6jFZroGBWNdpR2Kat3GW5CfSvhDFqvwxLUU4C,55,0.004608294930875576,1.7574376030408398e-05
FALhH3XMMbXiKoG6u9XS8CJuxiA2eKA2HFn4oh3JpfwvBNF,55,0.004608294930875576,1.7574376030408398e-05
HvshspvW9yk29mrCSBLcpv8MRbna4incDkt5C86ezZ6XKPH,53,0.004440720569752828,1.7038111205049826e-05
Cx8jJMMwTcEwTMHSQDdwTwFJCmmTsMVz25auV95WkFBZnZv,51,0.00427314620863008,1.649115272832713e-05
CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,48,0.004021784666945957,1.565124629508795e-05
HTyzs9XAxUpHpNe7Kwhp3M5kCJuxFm4AYRCpYjcHdhiVDFE,46,0.003854210305823209,1.5078744504008712e-05
FsrbMPGuL5VdD8nk5KxdhEstMxbenTZqoLRJ2Lj9XVpDX9K,45,0.003770423125261835,1.478883695137229e-05
Dtdb7sR6NYGJbrHYqeW2ANwvY1mXSh1yuP2JHJm9ZmxMwyF,42,0.0035190615835777126,1.3904963255962017e-05
Drb5XkyGvm26ph6d1DE4wxbwqiUCKyVXpcThBUSHE4VxrB7,42,0.0035190615835777126,1.3904963255962017e-05
GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,40,0.0033514872224549644,1.3304335607768999e-05
J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,39,0.0032677000418935903,1.3000736864240604e-05
GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,38,0.003183912861332216,1.269500723429701e-05
Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,36,0.003016338500209468,1.2077337105364944e-05
E5hWebLmPSFSUq3nSfGuFYopAK65fooqiXV91gQwuZGuMad,32,0.0026811897779639715,1.0818466578997587e-05
JFArxqV6rqPSwBok3zQDnj5jL6vwsZQDwYXXqb1cFygnYVt,30,0.0025136154168412233,1.017804121510151e-05
DVasGX5qBMrCwNM8SnLyFrRpeniAwAsWe2noN6jPdx1jjao,28,0.002346041055718475,9.53082263143739e-06
EPV1c7jjoCFPkWqTzTkbuT3oGRM8HkjbTVHeuvsyiAbB2aZ,26,0.002178466694595727,8.87722289363914e-06
EPV2HxrBnVB2n4p7Mb38A3BrzCyREWbzQ75cC9rkZhRYcRE,26,0.002178466694595727,8.87722289363914e-06
J6ixMhTj9UmgZtNiWVGs1SdGm9HXSj7z2Emjc9syMgGdN5X,25,0.0020946795140343527,8.548161169085e-06
CgatoWx7Zu4yfaREFsuet3RzBcrRkYXA6sevo1VgjnLB8c3,24,0.0020108923334729786,8.217662474985426e-06
Cu2z7dVVdzFyDVTjUPm7feV9RFQ8QiG3yLGsVEj5NohFXk7,23,0.0019271051529116045,7.885780608692698e-06
EraxW9FCtQtJpnKSKGPxNSrzASoXpHRhctRs8gZv7C7GvHN,22,0.0018433179723502304,7.552569825525903e-06
EPxk4HQnX3jUEwPbBZJH7J5c1gt8KRsHZxjw5tTWqsygXm5,22,0.0018433179723502304,7.552569825525903e-06
E84ypSizBDJDxwhtYy4Q4t5RKsy1DppPuU1AP47HVeKhXYt,22,0.0018433179723502304,7.552569825525903e-06
Ew4JDQENKYKdBkgW6bJfFqYYXaDw4kupXBrXyMcJoU6Lc9Z,22,0.0018433179723502304,7.552569825525903e-06
HRfqVd1FL77o9EdYDZtooZ7cPxRx2xYvWnSe3YstKTGmJPK,22,0.0018433179723502304,7.552569825525903e-06
FqoyFHg87YVYvRLGRr2M2x3AZ8SKEt4D7vQb9uPFHnCDN66,22,0.0018433179723502304,7.552569825525903e-06
EQMipshNYYvHL427XS2HyTvisAhTokXKZfhaRkKxz6sKxQd,21,0.0017595307917888563,7.218084815042454e-06
FPwa55diVEYwSuhNXwDACk31u4BTe2kgC255BsibKJwFksc,20,0.0016757436112274822,6.882380683651135e-06
DB9bVarUeUkbdACKaBC8zHeSfLQCKdwgJmKCvpcqvC1C6Zw,20,0.0016757436112274822,6.882380683651135e-06
EQF693vsen6WxMdoYgf2cypvH4saFJWFzDupoFUT79MffeW,19,0.001591956430666108,6.545512930767215e-06
EpeeGt1x3kju8TZmfcaHTkBwTn7eyq4Sxy8Z3dPU88chMcN,19,0.001591956430666108,6.545512930767215e-06
FVwmuHZRbnEBrA6ya4SYAGt9ChtZWqqjgF2H758mAcHMhuW,19,0.001591956430666108,6.545512930767215e-06
