address,weight,weight_fraction,power
DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,5119,0.4776969018290407,0.9999698059891128
EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,1711,0.15966778648749533,1.066156651250495e-06
FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,610,0.05692422545726017,1.066156651250495e-06
G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,494,0.04609929078014184,1.066156651250495e-06
SmallVotersCombined,469,0.043766330720418065,1.066156651250495e-06
DDbQ9YnjeLS6DvZgvTgFvttnqJZrD12gVq4889yh9opXVS6,301,0.028088839119074283,1.066156651250495e-06
H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,241,0.022489734975737214,1.066156651250495e-06
Cdhjt72TSezVDkUzdgyoSwXByfwQJjuXSYcDs5L8snyB8Yx,151,0.014091078760731617,1.065475289035808e-06
GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,130,0.012131392310563644,1.0628186187104514e-06
G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,120,0.011198208286674132,1.0595675824888845e-06
GU77syTfPXdzKCuqASura9ZKgxmD2rEDhj89c9TGL6vc9Qw,119,0.011104889884285181,1.0591267746157803e-06
Cb3ZF5tmeTEDR44MRLAPH3agiv5ntLG6VMZ2U5x8QM3XkGY,99,0.009238521836506159,1.0421192643519858e-06
J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,90,0.0083986562150056,1.0262344925936138e-06
EBCKue3wpJY6BNTDp7Vo3yveCr19TxHmNPtYLuyv29uTXjU,84,0.007838745800671893,1.0109947043215231e-06
JBmYvpebasxckBsohyyWse7yggsowfgt5xRJvkzu2txUJdi,70,0.006532288167226577,9.544701182258215e-07
GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu,69,0.006438969764837626,9.489890659529819e-07
D5aAp1y8XfkrmtPqsGFZtCjJrPZqKrsG2ceSha846jy6RMU,59,0.005505785740948115,8.815118252547222e-07
Cu2z7dVVdzFyDVTjUPm7feV9RFQ8QiG3yLGsVEj5NohFXk7,56,0.005225830533781261,8.562780613466505e-07
JBwJ33SrTv6jFZroGBWNdpR2Kat3GW5CfSvhDFqvwxLUU4C,55,0.005132512131392311,8.47325554705251e-07
CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,49,0.004572601717058604,7.876571927950165e-07
Dtdb7sR6NYGJbrHYqeW2ANwvY1mXSh1yuP2JHJm9ZmxMwyF,42,0.003919372900335946,7.057369006080744e-07
DKKax6uZkiNPfd2ATd8cJhyi3c1KZD24VDdoWG9CfTmwgSp,42,0.003919372900335946,7.057369006080744e-07
Dfg9gbTwG6aghwLYTfYoV4dXyhCRBLbRyFwENADHmg4zfDF,42,0.003919372900335946,7.057369006080744e-07
GL7MYnpQr7jgJqK8wSRUQuob1TvTY7uRJP6LUNeUyvMUhQR,40,0.003732736095558044,6.799082023861607e-07
GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,28,0.0026129152668906306,5.039950812028933e-07
FPwa55diVEYwSuhNXwDACk31u4BTe2kgC255BsibKJwFksc,24,0.0022396416573348264,4.3859220959800466e-07
EQMipshNYYvHL427XS2HyTvisAhTokXKZfhaRkKxz6sKxQd,24,0.0022396416573348264,4.3859220959800466e-07
CgatoWx7Zu4yfaREFsuet3RzBcrRkYXA6sevo1VgjnLB8c3,24,0.0022396416573348264,4.3859220959800466e-07
F5212cNTxkoLQV9k3v74hLvdu76GebcxXDEhUR7gR9xMaDn,24,0.0022396416573348264,4.3859220959800466e-07
EraxW9FCtQtJpnKSKGPxNSrzASoXpHRhctRs8gZv7C7GvHN,23,0.0021463232549458755,4.2173490369329155e-07
ESSZefozpZYVLbLF1vaGtabthQYg8PVXiTytVm6YiiwAnee,21,0.001959686450167973,3.874932266352055e-07
D5WxiuCkRfGrFpRjH4uvmjdUQYH6bvHXiUVYp4eRnr7E1DA,20,0.001866368047779022,3.701296737775804e-07
DQ2JCQDo7BtsxsBbURLK1djr3W3CQgumNys888pPmsF8XpU,20,0.001866368047779022,3.701296737775804e-07
CaVLqgMmajk7ySYjo4SPqauXwsZu8Y5tP9vVDvJvcecbp3n,20,0.001866368047779022,3.701296737775804e-07
E84ypSizBDJDxwhtYy4Q4t5RKsy1DppPuU1AP47HVeKhXYt,20,0.001866368047779022,3.701296737775804e-07
E7njcoMxryWRdeLuieJxsDWvnj4pDgJJ3Z7j5BCw8oZuMVX,19,0.0017730496453900709,3.526110281692441e-07
CzB1XBwkko3Az7DNZDPigZ1bjzLxELAGnLBnFGRdQ4PXTqZ,18,0.0016797312430011197,3.3494156715287264e-07
DY3hczPcJjHXScXkKwJZ7vgqTE4bZaCUa56XsAQH8gDzB7x,18,0.0016797312430011197,3.3494156715287264e-07
DN2oxCHnJviLK1NoYdzSNo9n9gmH3eBTfLGXSUcoFcq5khX,18,0.0016797312430011197,3.3494156715287264e-07
GnqygxyvFN7npYbMUv6t7avBnLrVB37topoDbhPVnBeeuxa,17,0.0015864128406121688,3.1713155066671154e-07
DhK6qU2U5kDWeJKvPRtmnWRs8ETUGZ9S9QmNmQFuzrNoKm4,17,0.0015864128406121688,3.1713155066671154e-07
EQF693vsen6WxMdoYgf2cypvH4saFJWFzDupoFUT79MffeW,17,0.0015864128406121688,3.1713155066671154e-07
Dq97kmsJXGTciU1eMXZMAp4D41Y9e7kQ4hmFBfZW7YD4CCf,16,0.0014930944382232176,2.9918734498823193e-07
J7XHBQxacqTTVkoNoSgcG6CgREb9JVh2DHBbBQ1ycvkLBq4,15,0.0013997760358342665,2.811156858663651e-07
GJWFwL8bxZszS5nJNWCV6vC5nBERLgscKSeNF3U9ZcQxL12,14,0.0013064576334453153,2.629376047534707e-07
EctdZvgkphLJMQmKntaPP74LKpGvDKaj1cbqC8fUT4HzqiC,13,0.0012131392310563644,2.446489948321622e-07
CpRu1U13GaBdSxd4tqw3jjCGCpRgte5v8sLkaXcqtzAxFRG,12,0.0011198208286674132,2.2627638699538246e-07
HLob9M4rBKGcKCtkeqQfuzMJj737r4KJaAnddWLg5ByXCU6,12,0.0011198208286674132,2.2627638699538246e-07
