address,weight,weight_fraction,power
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,30000,0.34751584093041576,0.40736170182865833
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,18000,0.20850950455824946,0.14568614905367597
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,12592,0.14586398229985983,0.14568413411568595
142H5Qn7HHfkd3r4s5wdQwt3sJMw3aiUK96495Rbr91Ewnzf,6480,0.0750634216409698,0.08549716169458209
1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,4000,0.04633544545738877,0.045371363099894826
12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,3900,0.04517705932095405,0.04409094829726084
SmallVotersCombined,2918,0.033801707461165106,0.02851715880965651
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,2344,0.027152571038029816,0.02185922475650224
139LyjiPpfrurfFeRgXZVN8sacUE5VkHSN7JizdA6EZ3fiRg,700,0.008108702955043035,0.008818745930676407
169xkjpfQUK9vUgsn2UwY89NA9PqXdYAMRutNzSjRZgcDGtJ,621,0.007193577907259606,0.007797160008153164
126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,527,0.00610469493901097,0.006590296622946313
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,510,0.005907769295817067,0.006374615847462363
15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,412,0.004772550882111043,0.005132186128388715
15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,339,0.003926929002513698,0.004214210872039439
14wFSvNvUSBxv9g3wFgwYAeN27PqUp6ec3Mtq6x8iovDbYYc,318,0.003683667913862407,0.003951286187507263
148tjJfsTj6ssTQUwQLuesARKKXiS9oTr8BuPgN5Xd7TfCCV,311,0.0036025808843119767,0.0038636714094258534
12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,250,0.002895965341086798,0.003102276201380843
12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,231,0.0026758719751642014,0.0028658897747724462
155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,200,0.0023167722728694383,0.0024795861929678897
152SMqD4TkRV4MFVZ5PuCmqhmMwkKDGjn6njtMwETxhE8QZR,200,0.0023167722728694383,0.0024795861929678897
13dKEY6zDazKA1Ew7jjsEMUwy5Nt2bnh2S5UagMrcnfkPSPZ,160,0.0018534178182955507,0.0019822302721673266
16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,156,0.0018070823728381618,0.001933408201053298
157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,151,0.0017491630660164258,0.0018709986902212877
12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,150,0.0017375792046520787,0.0018588493146311528
14x3D7PCPoSyQNxnE7XvZHU6LWkcN1HfTkZMLPSmF7SZBhLM,150,0.0017375792046520787,0.0018588493146311528
12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,143,0.0016564921751016483,0.0017718567362153728
13BD8qt1Ptb2NRijSTCt9ef467ctDUNdqrFTrskB544vs8p2,138,0.0015985728682799125,0.0017097129994127207
14gEYLb4pzg3RvYS72MPRWWGAUBDdBpp9U6Wh4uMZhdQRis2,135,0.0015638212841868708,0.0016729352304353598
16hWeT9jKPgdH7NYa8kB1Q6mSoxtEdQqqZQcJwYy9DvwLbob,100,0.0011583861364347192,0.0012384606208755136
12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,96,0.0011120506909773303,0.0011887114310544203
121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,95,0.0011004668296129832,0.001176634164697057
