address,weight,weight_fraction,power
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,30000,0.3846745653177412,0.5012175469652862
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,18000,0.2308047391906447,0.0932757107748518
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,8106,0.10393906754885367,0.0931859860410071
142H5Qn7HHfkd3r4s5wdQwt3sJMw3aiUK96495Rbr91Ewnzf,4240,0.05436733856490742,0.06226354380063458
1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,4000,0.05128994204236549,0.05752145630121764
12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,2600,0.03333846232753757,0.03558292394937849
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,2502,0.032081858747499616,0.03385762410844821
SmallVotersCombined,2429,0.031145817305226444,0.03254441047662968
12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,1500,0.01923372826588706,0.02106841902729007
169xkjpfQUK9vUgsn2UwY89NA9PqXdYAMRutNzSjRZgcDGtJ,589,0.007552443965738319,0.009062990966583603
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,530,0.006795917320613428,0.0080734188834922
126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,527,0.006757449864081654,0.008024217997697312
15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,412,0.005282864030363646,0.006206212490608679
15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,315,0.004039082935836283,0.004719156910133524
148tjJfsTj6ssTQUwQLuesARKKXiS9oTr8BuPgN5Xd7TfCCV,311,0.003987792993793917,0.004658089876243162
12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,229,0.0029363491819254244,0.0034165913634294077
14K6KPs6bDJ781CDWD3PbMv6TcQ7LbfRR5VhGbKkx4MqKHXb,218,0.0027953018413089193,0.0032501065151783735
155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,161,0.002064420167205211,0.0024010014550626024
16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,156,0.002000307739652254,0.002325893476990589
15zYrye2ZW9tDVQJfXrVxFMmYcTRVGZjCqc4ZPMCvvgBV5vM,154,0.0019746627686310714,0.002295738666899519
157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,151,0.0019361953120992973,0.0022507722109587815
12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,150,0.001923372826588706,0.002235570784955175
12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,143,0.0018336154280145663,0.0021273182058385853
14gEYLb4pzg3RvYS72MPRWWGAUBDdBpp9U6Wh4uMZhdQRis2,101,0.0012950710365697287,0.0015083296041043283
153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,98,0.0012566035800379545,0.001463075242368068
12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,96,0.0012309586090167718,0.0014329957307158273
15V25oBZGu7wAfV7LPP8YBwaWRgBAyfiVUtVywGHAcDAw9cD,94,0.001205313637995589,0.0014030180934220024
11VjfsBZM6jA2kPBTXgWVo9ajEfqqkkWEaxQjhuKH9LN41m,90,0.0011540236959532236,0.0013436430597453292
14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,86,0.001102733753910858,0.0012842370208291382
