address,weight,weight_fraction,power
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,33750,0.1925457688423863,0.2085538344190039
16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,30000,0.17115179452656562,0.17252916519287054
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,18000,0.10269107671593937,0.1045634220849132
12DEpb9ZfeeUaFXCjZPHjakfkB5nhE3FttHjebRMkYf2y5bP,15963,0.09106986986758556,0.08899685937444941
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,12592,0.07183811322261714,0.07101822531144487
SmallVotersCombined,8531,0.04866986530353771,0.04373856176624226
13mXyFxnmuNKAAy2aVbx4xvm8LUNPb9oqteYa52kCikYyL9G,4644,0.026494297792712358,0.025672582832581652
142H5Qn7HHfkd3r4s5wdQwt3sJMw3aiUK96495Rbr91Ewnzf,4192,0.023915610755178767,0.023140348341901238
1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,4000,0.022820239270208747,0.022068574098693113
13Ne3Gc3gmed5dc6LY5nV8Kyd6zpEMLCXKmkeziYxMHkvj8W,3000,0.017115179452656563,0.01651734807909975
12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,2600,0.014833155525635687,0.014306592670483634
144CGH3QZaF3g2hkZkMqpRfeAs62MXy3ycuvVSZiCyTCfBXU,2600,0.014833155525635687,0.014306592670483634
19EgSXHYT7gvK2UNztYcuxntrBim2BuPeo6fAPNhuaAMvJR,2000,0.011410119635104373,0.010997511150577028
12sFJzHz9Xkkua5vnv9rAUMLMgLPMUd8SZx61tBZGmEnqUUJ,1800,0.010269107671593936,0.009895938953495043
13LNT7fAGZqEQfH4YTpN7SGZaujB3eW98LmqUXPmBqLpptfk,1620,0.009242196904434542,0.00890504088012434
15rJFntZQy5R88nRU1D6mDFjqoMHZktxKDfXiCkfJrTs7m6T,1500,0.008557589726328281,0.008244681450653178
12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,1500,0.008557589726328281,0.008244681450653178
12ztGE9cY2p7kPJFpfvMrL6NsCUeqoiaBY3jciMqYFuFNJ2o,1500,0.008557589726328281,0.008244681450653178
13eBaC1tgAKDgZcsPBxE7r4yzWi13jQpwXKCqQG1t4i42cg6,1260,0.007188375370115756,0.006924463347492169
15Dy29bn4HmtSfYR6FPqqMUj2wCnn2irouDAep9zsv7iUtNE,1245,0.007102799472852473,0.0068419697328546344
1Se84UuwsPq94C9Te3CB1EoAZ6Nz6UE3NuC3KkH24GuwjJu,1200,0.006846071781062625,0.00659450187940949
1ug1Lw6RuVh5RKvkz4T8YLR7GWWMtH3NKZhw47VnktfYbcu,1200,0.006846071781062625,0.00659450187940949
1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih,1188,0.0067776110632519985,0.006528513675041913
14T6JxuEQ7uUnvU6FyDi45buutzpHJScedCgf4X6xEgmjdCv,880,0.005020452639445925,0.00483522927412742
12gneUo33SvJu2dSRxJgpgfdbygekDJ8ghqkTXv9tzPA47ao,759,0.00433014040152211,0.0041701969092365005
12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,704,0.004016362111556739,0.0038679380283993077
13NRQGknuzoDWWTu7dmAnN4Ehc4roFRMHoSDprKqkNNHdDnF,700,0.003993541872286531,0.003845956203114494
139LyjiPpfrurfFeRgXZVN8sacUE5VkHSN7JizdA6EZ3fiRg,690,0.003936491274111009,0.0037910020135542505
16KU2bvTFZn7c4ouKbyZWGE1ie88Ed2WAmGYZkMqm9WGeXSF,690,0.003936491274111009,0.0037910020135542505
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,670,0.0038223900777599653,0.0036810951846748515
169xkjpfQUK9vUgsn2UwY89NA9PqXdYAMRutNzSjRZgcDGtJ,621,0.0035428421466999083,0.0034118318348961767
