address,weight,weight_fraction,power
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,32116,0.46340759552118205,0.8405785667324129
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,10194,0.1470910769941129,0.021170282708744246
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,10000,0.14429181576820962,0.021170282708744246
12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,6529,0.09420812651506406,0.021170282708744246
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,2520,0.03636153757358883,0.021117685733070348
13Ne3Gc3gmed5dc6LY5nV8Kyd6zpEMLCXKmkeziYxMHkvj8W,2190,0.03159990765323791,0.02064431295200526
SmallVotersCombined,1566,0.022596098349301628,0.016173570019723867
1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih,1188,0.017141867713263304,0.010440499671268902
15Dy29bn4HmtSfYR6FPqqMUj2wCnn2irouDAep9zsv7iUtNE,623,0.00898938012235946,0.005759368836291913
126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,527,0.007604178690984648,0.0049178172255095335
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,510,0.007358882604178691,0.004707429322813938
15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,410,0.005915964446496595,0.0038132807363576594
15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,325,0.004689484012466813,0.002919132149901381
12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,218,0.00314556158374697,0.002024983563445102
16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,156,0.00225095232598407,0.0013938198553583169
12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,132,0.0019046519681403672,0.0011308349769888232
12nMGNKauUUg6wmu3kJn3xV9BBCBJiQzoQ7ddEcFPA25h6g1,100,0.0014429181576820962,0.0008678500986193294
