address,weight,weight_fraction,power
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,18750,0.28885705042288673,0.2818185905834609
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,18000,0.27730276840597123,0.2632491636792344
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,9358,0.14416662815239328,0.2349123731288858
142H5Qn7HHfkd3r4s5wdQwt3sJMw3aiUK96495Rbr91Ewnzf,3174,0.048897721495586265,0.03389233599834906
12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,2600,0.04005484432530696,0.02958513135908525
13NRQGknuzoDWWTu7dmAnN4Ehc4roFRMHoSDprKqkNNHdDnF,2500,0.03851427338971823,0.028670773048626034
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,2450,0.03774398792192386,0.028183704409114784
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,2013,0.031011692933401117,0.023777214700324133
SmallVotersCombined,1613,0.024849409191046203,0.020478455269866955
12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,1000,0.015405709355887292,0.012747735091839988
1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,530,0.008165025958620264,0.0065561934000379985
126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,527,0.008118808830552602,0.006521885470253856
15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,412,0.0063471522546255646,0.005093428030150432
152SMqD4TkRV4MFVZ5PuCmqhmMwkKDGjn6njtMwETxhE8QZR,375,0.005777141008457734,0.004628711526710672
15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,353,0.005438215402628214,0.004364124613678416
13fbwXLxHhueoBP3dStumroAVVDBw88nU5MfMSivPCPBKJ6M,240,0.00369737024541295,0.0029668562006514867
12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,173,0.0026651877185685014,0.002140346983124397
16iNp8A8EU6naBzvDmJR2i4hgP5EQnZHeGQ6omKeK9C4NTkp,170,0.0026189705905008396,0.0021086381389299616
16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,157,0.002418696368874305,0.0019438561125424852
12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,150,0.002310856403383094,0.0018575664709641854
1Zc3KYxJT8s9krniZBDmvaw7eFK532StJp7xZorgZqV6owp,140,0.002156799309824221,0.0017328103626582097
12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,132,0.0020335536349771225,0.0016356045616031367
15V25oBZGu7wAfV7LPP8YBwaWRgBAyfiVUtVywGHAcDAw9cD,94,0.0014481366794534055,0.0011345008599074674
