address,weight,weight_fraction,power
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,32116,0.21932664071570032,0.25070200978329116
14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,20127,0.13745134193812744,0.1304254834725854
14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,18750,0.12804753124359763,0.12199446671404227
14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,18000,0.12292562999385372,0.11857928398451784
12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,15840,0.10817455439459127,0.09783981068158767
16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,12221,0.08345967356416036,0.0820954733305276
16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,10876,0.07427439732295295,0.07620342070221676
13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,10000,0.06829201666325206,0.07334708605570542
SmallVotersCombined,2541,0.01735300143413235,0.014688735416479809
15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,2023,0.013815474970975893,0.012135972568148419
13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,1978,0.013508160895991259,0.01183240076996847
126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,527,0.003598989278153384,0.0027045487474213646
15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,431,0.002943385918186164,0.002228492973002808
15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,292,0.00199412688656696,0.001531657708998834
12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,249,0.0017004712149149765,0.0012832807832152393
16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,156,0.0010653554599467322,0.0008141243678462271
12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,153,0.0010448678549477566,0.0008003256497471385
14iNZHkmLNyY4b2reCHUuZLWDNvouzQZfUUChU3YHDxupzDf,150,0.001024380249948781,0.0007934262906975942
