referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
624,small_spender,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,7.5,1.0,18000007.5,Nays,1712736540,18000000.0
788,small_spender,16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,2.0,1.0,13701479.0,Nays,1716390702,13701477.0
800,small_spender,15VKhRhYBw4ztjPyr7CzUf54An2gBX8fXLJx8LWFGr5Z4dqo,2.75,1.0,11901371.75,Nays,1717137750,11901369.0
805,small_spender,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,785.1215685882,3.0,8718036.36210396,Nays,1717292664,8715680.997398196
788,small_spender,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,35000.0,5.0,6224186.400528815,Nays,1716256338,6049186.400528815
751,small_spender,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,4.0,6018800.0,Ayes,1715947152,6018000.0
599,small_spender,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,1.0,6007642.1,Ayes,1713979842,6007641.1
624,small_spender,15fTH34bbKGMUjF1bLmTqxPYgpg481imThwhWcQfCyktyBzL,25.0,6.0,6006150.0,Nays,1712928750,6006000.0
599,small_spender,1ZSPR3zNg5Po3obkhXTPR95DepNBzBZ3CyomHXGHK9Uvx6w,400.0,5.0,6002000.0,Ayes,1713743526,6000000.0
627,small_spender,12mP4sjCfKbDyMRAEyLpkeHeoYtS5USY4x34n9NMwQrcEyoh,48.0,4.0,6000192.0,Ayes,1711798758,6000000.0
723,small_spender,13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,5000.0,6.0,2886694.2,Ayes,1715312760,2856694.2
624,small_spender,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,700000.0,4.0,2800000.0,Nays,1712644656,0.0
551,small_spender,14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,691110.1801861281,4.0,2764440.7207445125,Nays,1710115914,0.0
567,small_spender,14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,850000.0,3.0,2550000.0,Ayes,1710255198,0.0
568,small_spender,16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,0.1,1.0,2547624.52035,Ayes,1711649118,2547624.42035
745,small_spender,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,1.0,2035592.863899988,Nays,1715795802,2035582.220899988
800,small_spender,1vcpBviYt3hhiDd3EvaE3opgCdSJWkmEfv5WZt93TmD1evD,1.45,1.0,1302691.45,Nays,1716878076,1302690.0
792,small_spender,1v7pFmYFtFWJ56VLmPE6wsHmfxZixADpuv4bpwPg87YNQe9,395000.0,3.0,1185000.0,Ayes,1716342756,0.0
737,small_spender,13dKEY6zDazKA1Ew7jjsEMUwy5Nt2bnh2S5UagMrcnfkPSPZ,375000.0,3.0,1125000.0,Ayes,1714991382,0.0
624,small_spender,126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,150.0,3.0,527500.0,Nays,1712645604,527050.0
642,small_spender,1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,0.0,0.1,459900.0,Ayes,1712244456,459900.0
642,small_spender,15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,5000.0,3.0,424825.9550872271,Ayes,1713774810,409825.9550872271
642,small_spender,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,295629.3466633031,Ayes,1713102828,295619.3466633031
600,small_spender,12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,95528.0,3.0,286584.0,Nays,1711351680,0.0
662,small_spender,12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,51000.0,4.0,204000.0,Ayes,1713435900,0.0
738,small_spender,14w9TR3CX7syCEgQ1w3yj1uBwVdsPucNpGQyeetAera5XgxB,10.0,1.0,172010.0,Ayes,1715783886,172000.0
672,small_spender,14Weh5QRkAYafkAr1X8pTjZVFRcZnKgyr8MG19M4YPucKrMZ,84130.5979927551,2.0,168261.1959855102,Nays,1714746216,0.0
734,small_spender,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,40000.0,4.0,160000.0,Nays,1714721304,0.0
632,small_spender,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,4.0,156212.9497593746,Nays,1712933742,152212.9497593746
792,small_spender,15iqv4E9F7uX2Xjiyh8uopqEPaP4VTSTvJzX1ccFiwv4G56Y,52000.0,3.0,156000.0,Ayes,1716365406,0.0
821,small_spender,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,35000.0,4.0,140000.0,Nays,1717134516,0.0
600,small_spender,14h6GVCEWY49CkwWWxKMwNHyYfedDYtZCr2okVGzeNGgnZtR,34000.0,3.0,102000.0,Ayes,1711380054,0.0
796,small_spender,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,5.0,100704.10093593171,Ayes,1716493470,95176.60093593171
745,small_spender,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Nays,1715488404,86029.5035491527
627,small_spender,13qSiEisZruAqaVpot5E5taWih65Ynkza8F4X9Lid53GSPeB,13730.9540635502,6.0,82385.7243813012,Ayes,1711753518,0.0
798,small_spender,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,0.1,70315.6006392737,Ayes,1716543090,70314.6006392737
821,small_spender,1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,1.0,1.0,70001.0,Ayes,1717100538,70000.0
657,small_spender,148V9TEV4uCCytuQU16DkTipMkkdZ4dhf17sq2VXPZC3Swa9,23222.0,3.0,69666.0,Ayes,1714081314,0.0
632,small_spender,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,1.0,60198.1360637799,Ayes,1713170178,60197.1360637799
