referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
739,wish_for_change,12WW2nRdq2Xbe6Rjz5A8d9Wcp7fwRg7GFNEU392L9Zy6YtLM,5399000.0,4.0,21596000.0,Nays,1716904350,0.0
747,wish_for_change,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,7.5,1.0,20341129.46054415,Nays,1715447184,20341121.96054415
769,wish_for_change,12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,6392222.0,3.0,19176666.0,Ayes,1716366966,0.0
747,wish_for_change,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,1.0,17329054.60955337,Nays,1715446392,17329047.10955337
746,wish_for_change,12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,2.5,1.0,16981528.898274645,Nays,1716189588,16981526.398274645
706,wish_for_change,16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,2.0,1.0,13701479.0,Nays,1715680278,13701477.0
739,wish_for_change,15VKhRhYBw4ztjPyr7CzUf54An2gBX8fXLJx8LWFGr5Z4dqo,2.75,1.0,11901371.75,Nays,1716906402,11901369.0
769,wish_for_change,156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,2687000.0,4.0,10748000.0,Nays,1716390912,0.0
743,wish_for_change,12K2F1PeLUiVmt7GfBgiQvtGP4HbtUJ55cLvwbybE8W3nau5,2517000.0,4.0,10068000.0,Nays,1716384606,0.0
706,wish_for_change,15D8eg1R7qLtAz7N5NrgSpccmDRajn674YntD18dMT63vE67,2243000.0,4.0,8972000.0,Nays,1715392194,0.0
706,wish_for_change,1xpJkPvAoB22gKegWrBeeqX2fa9QEDyFA6pKkossdkbivW3,1000000.0,4.0,4000000.0,Nays,1715392140,0.0
704,wish_for_change,13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,5000.0,6.0,2886694.2,Nays,1715311974,2856694.2
706,wish_for_change,12gneUo33SvJu2dSRxJgpgfdbygekDJ8ghqkTXv9tzPA47ao,770000.0,3.0,2310000.0,Ayes,1714671726,0.0
706,wish_for_change,16SuJ1AMwtamhp2XPtDUHMjtwQYrEPsmY8fRUt21s5VfmSS,443000.0,4.0,1772000.0,Nays,1715392266,0.0
706,wish_for_change,15rJFntZQy5R88nRU1D6mDFjqoMHZktxKDfXiCkfJrTs7m6T,350000.0,5.0,1750000.0,Nays,1714498182,0.0
706,wish_for_change,1581t9r1LWE9JaCZW5H9fhSNNACr9QzZXQKZ2tKY9zPJeHPz,407000.0,4.0,1628000.0,Nays,1715392308,0.0
706,wish_for_change,1v7pFmYFtFWJ56VLmPE6wsHmfxZixADpuv4bpwPg87YNQe9,395000.0,4.0,1580000.0,Ayes,1714444770,0.0
752,wish_for_change,1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,1.0,1.0,1565641.0,Nays,1716223170,1565640.0
743,wish_for_change,1vcpBviYt3hhiDd3EvaE3opgCdSJWkmEfv5WZt93TmD1evD,1.45,1.0,1302691.45,Nays,1716360318,1302690.0
704,wish_for_change,121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,300000.0,4.0,1200000.0,Ayes,1713904596,0.0
702,wish_for_change,15a9VMaAj2ZKVN3fA97r9kPVppiJLjSXmsYLQKhVnPEPCQbv,1.95,1.0,1160395.95,Nays,1715670270,1160394.0
747,wish_for_change,15tjdhcPTTxPCvobkBHLB3c1pqks4iu5v1ZKPqmTUD4aZeBb,1.0,1.0,644691.0,Nays,1715446902,644690.0
702,wish_for_change,15ofDV8nx95Mrfq9rgLfe48GAf8Xcu12WG7cG5HTHFm7AR14,126000.0,4.0,504000.0,Nays,1715953212,0.0
801,wish_for_change,13dKEY6zDazKA1Ew7jjsEMUwy5Nt2bnh2S5UagMrcnfkPSPZ,375000.0,1.0,375000.0,Ayes,1716734244,0.0
702,wish_for_change,13Q4zQADiTtfVEy3KN528HvKzfTXdLS1dRwzsYqjX6J2gxii,114000.0,3.0,342000.0,Nays,1715801964,0.0
706,wish_for_change,15apmwcdct9Euw7PVskR7tcakUxEjbXqfZCyY3pg2AAf4c9V,318187.0,1.0,318187.0,Nays,1714641678,0.0
706,wish_for_change,14iDcTjWtTJKcZ6f51APskbCtR6g3p8JHEMHe7cQYguuxh7D,80000.0,3.0,240000.0,Ayes,1714496412,0.0
769,wish_for_change,12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,51000.0,4.0,204000.0,Nays,1715702814,0.0
706,wish_for_change,1KUmCjj1y8BDTNrGQ3dc7FPPWTUbCKKfJLjwDLgshtccfKk,98950.0,2.0,197900.0,Nays,1714715088,0.0
769,wish_for_change,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,35000.0,5.0,175000.0,Nays,1716253644,0.0
746,wish_for_change,14w9TR3CX7syCEgQ1w3yj1uBwVdsPucNpGQyeetAera5XgxB,10.0,1.0,172010.0,Nays,1715784000,172000.0
769,wish_for_change,14Weh5QRkAYafkAr1X8pTjZVFRcZnKgyr8MG19M4YPucKrMZ,84130.5979927551,2.0,168261.1959855102,Nays,1716825996,0.0
702,wish_for_change,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,40000.0,4.0,160000.0,Nays,1713978858,0.0
769,wish_for_change,154jnYuSvtnpCRNjQuunWpcRhzzU2J7ZhHE5vCZiwq6oKWUR,24000.0,6.0,144000.0,Nays,1716455592,0.0
743,wish_for_change,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,35000.0,4.0,140000.0,Nays,1715960082,0.0
702,wish_for_change,14gEYLb4pzg3RvYS72MPRWWGAUBDdBpp9U6Wh4uMZhdQRis2,32000.0,4.0,128000.0,Nays,1715363592,0.0
706,wish_for_change,1msqHv3BamFqL7WmaYnCC3T12859LaTdrV8NdUwCNcuUXMD,37050.0,3.0,111150.0,Ayes,1715702610,0.0
706,wish_for_change,148dqdWLd7GM8ab5HY5k9hcsCGjKfGJM5qdmJB83iAzojRnB,37000.0,3.0,111000.0,Ayes,1714488600,0.0
746,wish_for_change,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,100520.0,Nays,1715680488,100510.0
747,wish_for_change,15db5ksZgmhWE9U8MDq4wLKUdFivLVBybztWV8nmaJvv3NU1,26800.0,3.0,80400.0,Ayes,1716499446,0.0
747,wish_for_change,15bXugcURZuT2WvDgm3XoST5SJTMFgwc24rX8QvzaaDssUD8,14547.0,4.0,58188.0,Ayes,1715968122,0.0
706,wish_for_change,152QVNLesJAu4saeSZ53JSQU6iMuSqt5p8LCVBicyawGrcMf,16000.0,3.0,48000.0,Nays,1714509318,0.0
706,wish_for_change,13x3oQnzMUa4pVvYpdpuwPqVDhaFF9SrwcJmRaTSYNeZxUCb,15000.0,3.0,45000.0,Nays,1715440578,0.0
706,wish_for_change,16QTaBxvDCmHsaxBZ48Q4TixnSdEWFZN5JTu3Bu3e5738bcG,8985.8097970274,5.0,44929.048985137,Ayes,1715605626,0.0
706,wish_for_change,148V9TEV4uCCytuQU16DkTipMkkdZ4dhf17sq2VXPZC3Swa9,22222.0,2.0,44444.0,Ayes,1715968818,0.0
801,wish_for_change,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,11000.0,4.0,44000.0,Ayes,1716581064,0.0
706,wish_for_change,13qSiEisZruAqaVpot5E5taWih65Ynkza8F4X9Lid53GSPeB,13954.1244075067,3.0,41862.3732225201,Nays,1714922628,0.0
706,wish_for_change,11P2Z2QcYYmgjr9bWAQLBfhjWZjQCMPjKbroTviXxaWWDsN,37000.0,1.0,37000.0,Nays,1714590012,0.0
706,wish_for_change,134JjaERkyEv6UMN9rVCHBbbQyMoqyYdQ3H1fDeKPCCtihjN,15207.6062800923,2.0,30415.2125601846,Ayes,1714502322,0.0
705,wish_for_change,12ow3eJ3vbjeNRahUUrBnc98mWeJTSQ7rJCAVqiFQDEnzbu8,9500.0,3.0,28500.0,Ayes,1714148004,0.0
706,wish_for_change,1BuKtQo8hNTGdDWuCqwXZtbrWVoYhsdpNtZ8748C9iczJTC,26575.0,1.0,26575.0,Nays,1714601748,0.0
706,wish_for_change,13C6qDZHtS6wTyGvVPiTU8e1jQP1uHc5Ypxi69jgs6My5eH1,8800.0,3.0,26400.0,Nays,1714469184,0.0
769,wish_for_change,1smDvpDh4NUv7LR9cjrbs5x7Sefz3b3QyVMaJ7uviFodbH7,4099.6077,6.0,24597.6462,Ayes,1716325968,0.0
706,wish_for_change,15yrTnVTnhMEz2oWHC1SnqmiPXk8mmfynz7MSXzTJYME3WHu,8000.0,3.0,24000.0,Ayes,1714466118,0.0
706,wish_for_change,12gMVip72C7yxD7Gpida7KyqwWKZ6cUevUwhbHrn6Zy2HVhC,12000.0,2.0,24000.0,Nays,1716004776,0.0
706,wish_for_change,12eGTJGGmRhS9BdUEL5PR2FhV58ohfL8er5DSXWaRvWocXbi,6000.0,4.0,24000.0,Ayes,1714478652,0.0
746,wish_for_change,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,7500.0,3.0,22500.0,Nays,1715605788,0.0
769,wish_for_change,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,781.3564485708,3.0,22406.7071854696,Nays,1716262584,20062.6378397572
706,wish_for_change,13icgzjVApXuQ1x481rzSd5U2CwpwLNg3jWSukQj4bv8T3F2,7230.0,3.0,21690.0,Nays,1714532604,0.0
702,wish_for_change,126Q9NPupFNjZpj8pfRYgXGEGHrfD2q7mBB1M4AzZafqUBjv,10451.1273426075,2.0,20902.254685215,Nays,1716188868,0.0
704,wish_for_change,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,4.0,20004.0,Ayes,1713935208,0.0
739,wish_for_change,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,4.0,20000.0,Nays,1716122526,0.0
704,wish_for_change,12KK58ncKnnozV3MjmtTGMr6dZjBR5Ryc2Gm4v2ADrayoLQd,10000.0,2.0,20000.0,Ayes,1714247118,0.0
801,wish_for_change,16k5kPkBCMi89e1a9yGZGT4gHJW5H4KUQ5eVqPc8PGPxhi1K,5000.0,4.0,20000.0,Ayes,1716581046,0.0
704,wish_for_change,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,4.0,20000.0,Ayes,1714024554,0.0
702,wish_for_change,15zYwHBurB6xiYbPtp4aTdd2VHeMdjtUhJo7G7yspdxUjRH6,3966.084289224,5.0,19830.42144612,Nays,1716130086,0.0
705,wish_for_change,14MKRNHaJY2yC84SkW7oXhnzVdV3obogoH5s8H4AkzxaFmAS,3300.0,6.0,19800.0,Ayes,1715865834,0.0
752,wish_for_change,16htP3atjNbcaZXx1owdKehUPn3zb6oVEcj8s43bbXycXujL,1.0,3.0,18753.0,Nays,1716802044,18750.0
801,wish_for_change,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,9100.0,2.0,18200.0,Ayes,1716553782,0.0
706,wish_for_change,16cT5685CWejxWqa8H9FCB4GTunBQno25QKL35rkkdZdrQYX,3070.0,5.0,15350.0,Ayes,1714922154,0.0
712,wish_for_change,15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,5000.0,3.0,15000.01,Ayes,1716507342,0.01
747,wish_for_change,16dUb2SzdDADYeLBWqW8NjazSbNyqhMTGKpc853k4ff5wbx3,5000.0,3.0,15000.0,Ayes,1715282070,0.0
712,wish_for_change,1635m1idbmB6QrJ2uauK2cA78MCwThHkSfX7LtxXMJmEsyoZ,2373.0,6.0,14238.0,Ayes,1716477786,0.0
706,wish_for_change,1kJBSBgurAdpjLdwdXt217TqTqSsnX2MEnce81BfhtfpRfT,4000.0,3.0,12000.0,Nays,1714612320,0.0
706,wish_for_change,13sgQfoiiDz5nRhi8vvPhM3JPgJK14Ptr72C3PS7SceoXjz,6000.0,2.0,12000.0,Ayes,1715455014,0.0
