referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
914,big_tipper,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,792.997036016,3.0,5607081.272015479,Nays,1719472344,5604702.280907432
914,big_tipper,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,37000.0,3.0,4397067.256016929,Ayes,1719608178,4286067.256016929
914,big_tipper,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,1.0,4296268.347091685,Nays,1719526278,4295162.847091685
914,big_tipper,12pXignPnq8sZvPtEsC3RdhDLAscqzFQz97pX2tpiNp3xLqo,2.664954605,1.0,4230002.664954605,Nays,1719436656,4230000.0
904,big_tipper,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,9100.0,2.0,4218800.0,Ayes,1719439956,4200600.0
914,big_tipper,16XYgDGN6MxvdmjhRsHLT1oqQVDwGdEPVQqC42pRXiZrE8su,50.0,0.1,4200005.0,Ayes,1719400386,4200000.0
904,big_tipper,15TzZpYZa2rwfBNKhkDzuU1JApgACxD3m6pcaNt4SZneYTV5,1.0,3.0,4200003.0,Ayes,1719013008,4200000.0
914,big_tipper,14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,617320.269146613,1.0,617320.269146613,Ayes,1719513174,0.0
914,big_tipper,16JUJFANw7LHEBYsyyykYogBotUxgqSCQswEWbZ1rTPGuN5s,100000.0,3.0,300000.0,Ayes,1719273852,0.0
914,big_tipper,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,268359.0466633031,Ayes,1719625092,268349.0466633031
904,big_tipper,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,1.0,153213.5497593746,Ayes,1718984220,152213.5497593746
914,big_tipper,14av9oG5HsWgaaVLov6SbABcafTZQvHmadPGETZxgpDBkh5B,75000.0,2.0,150000.0,Ayes,1719318306,0.0
904,big_tipper,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Ayes,1718970108,86029.5035491527
904,big_tipper,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,8500.0,3.0,26167.1946822495,Nays,1719249936,667.1946822494999
914,big_tipper,15AX5Mcq8Dzays358VobG42QT9KsWJQexNoeVruYUgtt5PcW,1.0,1.0,21876.0,Nays,1719620688,21875.0
914,big_tipper,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,6.0,19200.0,Ayes,1719597258,18000.0
904,big_tipper,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Ayes,1719075270,15000.0
904,big_tipper,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,1.0,17314.677899988,Ayes,1719302406,17304.034899988
914,big_tipper,1Qrotkokp6taAeLThuwgzR7Mu3YQonZohwrzixwGnrD1QDT,1.0,0.1,16800.1,Nays,1719430620,16800.0
914,big_tipper,15zYwHBurB6xiYbPtp4aTdd2VHeMdjtUhJo7G7yspdxUjRH6,4036.8999333584,4.0,16147.5997334336,Ayes,1719592740,0.0
914,big_tipper,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,3.0,15000.0,Ayes,1719383202,0.0
914,big_tipper,16Uy431wfRy44tHbfaTQYyJvw4E6DBcV6rBrU3m1EG2KvyyG,3400.1520594836,4.0,13600.6082379344,Nays,1719548382,0.0
914,big_tipper,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,12000.0,1.0,12000.0,Nays,1719562242,0.0
960,big_tipper,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,2.0,10007.9235388798,Nays,1720366980,5.9235388798
904,big_tipper,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,2.0,10000.0,Ayes,1719034728,0.0
914,big_tipper,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,10000.0,1.0,10000.0,Nays,1719402594,0.0
914,big_tipper,14Weh5QRkAYafkAr1X8pTjZVFRcZnKgyr8MG19M4YPucKrMZ,85005.5979927551,0.1,8500.5597992755,Nays,1719598926,0.0
960,big_tipper,13Srw7dVtGJnZrV3o6RCAJ97MaGbSKShQQiSYjbGp4Jvu4Cs,5841.7366592061,1.0,6741.7366592061,Nays,1720354830,900.0
904,big_tipper,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,0.1,6543.200000000001,Ayes,1719230364,6543.1
914,big_tipper,16k5kPkBCMi89e1a9yGZGT4gHJW5H4KUQ5eVqPc8PGPxhi1K,5500.0,1.0,5500.0,Nays,1719562260,0.0
904,big_tipper,13uifUNALuwqiHZADQb2hrpwnL8kmawjqykx4yN661Tv7mR,5250.0,1.0,5250.0,Ayes,1718971974,0.0
914,big_tipper,128QDexPpstSNKKY5tAhbguC3vmLhCvrhnKeTzy8L2PMZBvi,2500.0,2.0,5000.0,Ayes,1719596754,0.0
914,big_tipper,1eTPAR2TuqLyidmPT9rMmuycHVm9s9czu78sePqg2KHMDrE,2500.0,2.0,5000.0,Ayes,1719302190,0.0
914,big_tipper,13rkfSaFsMEFJAV1wcQcnbJnxiigJTb78qkkLSEvUNPA2QVZ,5000.0,1.0,5000.0,Ayes,1719364362,0.0
904,big_tipper,15u9KTyZzjVQJaCVmAPhFNjwyyS7aHjb6m5Exa22fRXQpTp6,5000.0,1.0,5000.0,Ayes,1719036930,0.0
904,big_tipper,1557x4U7JTAcso9AHpiVfrEsadABQ2swNWhDeh5WvUn9Zdog,1000.0,3.0,3050.0,Ayes,1719030918,50.0
960,big_tipper,13pgGkebYEYGLhA7eR6sBM1boEvq86V9adonjswtYe1iDK2K,2.0,3.0,3006.0,Nays,1720381932,3000.0
904,big_tipper,16KjnbCmBXqT3R956sHak7THsgQZ9Ek8ibnG1sFyCNtfJ8y,1000.0,1.0,1835.6063194008,Nays,1719399294,835.6063194008
914,big_tipper,1hFmn2CuqXqxHgKDqqs2xRBpsPkiRXzJfcLbfDgsW7qgmpA,500.0,3.0,1500.0,Ayes,1719259068,0.0
914,big_tipper,16ft8Nm7cNhDA1i2knKcTop9oxvbNvM51CXmzLzuxFapxV8T,300.0,3.0,900.0,Ayes,1719279474,0.0
904,big_tipper,16ZkdRYne6geWLkhaMgraDkXXiKHwSSQkCtQ2pPJPtoroURn,6300.0,0.1,630.0,Nays,1719298848,0.0
914,big_tipper,127zarPDhVzmCXVQ7Kfr1yyaa9wsMuJ74GJW9Q7ezHfQEgh6,5000.0,0.1,500.0,Abstains,1719259716,0.0
914,big_tipper,1zkLKr5TdWi7q2CCXRychcG36knyc3cwg6UebcYbkDzdv2p,4000.0,0.1,400.0,Ayes,1719404538,0.0
914,big_tipper,167Pbuy2HvbHshqc7Xtk4cweCXyyZoJLttAsddDuH3tN7Fco,106.0,3.0,318.0,Ayes,1719653634,0.0
914,big_tipper,15rExL4ANjCSzipNnNpEmwb4kP9beCwAKGoaF51U7aaJtoKB,1354.0,0.1,135.4,Nays,1719568068,0.0
904,big_tipper,12uUKHVCpXuqVgsm8XxLE56cyHNyvKXMNLJTUJ2j3R7xke7w,105.0,1.0,105.0,Ayes,1718971284,0.0
904,big_tipper,14coKXsjG2xgD8aQd2se59cLpsZ1AuV3UcCriTSwpVMoccqr,240.0,0.1,24.0,Ayes,1718965980,0.0
914,big_tipper,12Edi9rmcgbJDDRkrZ789zfoKGr9stJvRxMuSmQ7yB7E2AEP,20.0,1.0,20.0,Nays,1719285132,0.0
904,big_tipper,1yCto3QV7WkCqYgKuegT3eMbX9SYsrBUsWoetwKPD2nGxdb,2.0,6.0,12.0,Nays,1718953518,0.0
914,big_tipper,13B5zGLfXBhRpiQ1xcnsNeqbHHcRRRpBCL41xCJxdYmYoHdW,10.0,1.0,10.0,Ayes,1719555876,0.0
914,big_tipper,1mz1s8z9mGvZWZDrTaSpnjbQG3qv7A43J7CrtpXeFDb7K1J,100.0,0.1,10.0,Ayes,1719259284,0.0
914,big_tipper,15uAusF6FS2tUAPRBkGVacJesmPiPjxQm2AdSd9S4cWRLca9,1.0,6.0,6.0,Ayes,1719303090,0.0
914,big_tipper,136fHjUXbYJNxvi8gfPwYZDpXrc5FghDJTmRgEeKqPvy5TMu,1.0,6.0,6.0,Ayes,1719371202,0.0
914,big_tipper,13dK69dx13gqSfMvB4NrDhVdbbqh4q1CYrX3piaSxqQe72ZF,60.0,0.1,6.0,Ayes,1719357672,0.0
914,big_tipper,121NqPL1TNk9pGGdzH19LfeV9W97Qjt3huWUbEncM6yaT18V,50.0,0.1,5.0,Nays,1719258360,0.0
914,big_tipper,15JjaHXBC6whzYhWiEi7uExsTboAC4tibbeBKPxh5CVk5Jfq,50.0,0.1,5.0,Ayes,1719261882,0.0
914,big_tipper,14wDEEnVKZDXVXq2arAmkf1QmnTcwN4fzNJRFoM77YvFxa8T,1.0,3.0,3.0,Ayes,1719271710,0.0
904,big_tipper,12xRcHjvStkUYgzTh9vyqinN3tUpddgcPnSUcLXZ3ty44Mq1,20.0,0.1,2.0,Ayes,1719095010,0.0
960,big_tipper,14T281eqSTFg2NjAfm4JQ9eTQFM7SycXZWNhPFGCFtvyZu9v,1.0,1.0,1.0,Nays,1720332528,0.0
914,big_tipper,13VpBF7kGxruhH2K9w6Pmu5KthnEsSQfnHBwzoDJFy1SWSVW,1.0,0.1,0.2,Ayes,1719388482,0.1
904,big_tipper,12QcV5Z5yX3yD8KrnX6BVpxmjj7un2TQMu9kKzmssHwmbAve,0.0,6.0,0.0,Nays,1718949186,0.0
904,big_tipper,153ZojZb5KcuH7EeDjipdbQMUKHizBNBGDatv2CHM2LNy4P7,0.0,1.0,0.0,Ayes,1719115764,0.0
904,big_tipper,12KV6C6ngjJbYSispNT3ffSopxbAJEMFjhPdtmumWY6LKg9d,0.0,6.0,0.0,Ayes,1719408036,0.0
904,big_tipper,12TzGrUTUtPPJoEmWtGWjaM9FD3Djo3MNAiQKeNmDFt3MNFX,0.0,0.1,0.0,Ayes,1719265182,0.0
904,big_tipper,18w8ZzqUvhNoC4BN8YTxwpyHzjsUnzFmPFj7dEMjswL9pxF,0.0,0.1,0.0,Nays,1719251760,0.0
