referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
860,fellowship_admin,15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,9640000.0,3.0,28920000.0,Ayes,1719930402,0.0
874,fellowship_admin,16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz,1.0,0.1,17999997.1,Ayes,1718988306,17999997.0
887,fellowship_admin,12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,2.5,1.0,15840002.5,Ayes,1718784816,15840000.0
887,fellowship_admin,16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,2.0,1.0,13701479.0,Ayes,1718863746,13701477.0
887,fellowship_admin,15VKhRhYBw4ztjPyr7CzUf54An2gBX8fXLJx8LWFGr5Z4dqo,2.75,1.0,11901371.75,Ayes,1718863764,11901369.0
921,fellowship_admin,1zkRkpCbD2nhB6vMEwxYxAsLh5SYYXXSVmatviKSk86SFFC,2293000.0,3.0,6879000.0,Ayes,1720266702,0.0
910,fellowship_admin,13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,2000.0,3.0,2862694.2,Ayes,1719197568,2856694.2
869,fellowship_admin,1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,1.0,1.0,2670001.0,Nays,1718305560,2670000.0
879,fellowship_admin,13Ne3Gc3gmed5dc6LY5nV8Kyd6zpEMLCXKmkeziYxMHkvj8W,799000.0,3.0,2397000.0,Ayes,1720106142,0.0
871,fellowship_admin,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,1.0,2026340.5138999878,Nays,1718999982,2026329.8708999879
887,fellowship_admin,1vcpBviYt3hhiDd3EvaE3opgCdSJWkmEfv5WZt93TmD1evD,1.95,1.0,1302691.95,Ayes,1719472938,1302690.0
887,fellowship_admin,15a9VMaAj2ZKVN3fA97r9kPVppiJLjSXmsYLQKhVnPEPCQbv,1.95,1.0,1160395.95,Ayes,1719472920,1160394.0
863,fellowship_admin,13dKEY6zDazKA1Ew7jjsEMUwy5Nt2bnh2S5UagMrcnfkPSPZ,375000.0,3.0,1125000.0,Ayes,1718361996,0.0
924,fellowship_admin,121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,250000.0,4.0,1000000.0,Ayes,1719659442,0.0
879,fellowship_admin,16aHHHXnTYAV72qngKmEDVGXwRw8cknqgioY75BsTtMNJEg3,275400.0,3.0,826200.0,Ayes,1718793336,0.0
926,fellowship_admin,14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,710966.8030011152,1.0,710966.8030011152,Nays,1719999990,0.0
887,fellowship_admin,15tjdhcPTTxPCvobkBHLB3c1pqks4iu5v1ZKPqmTUD4aZeBb,1.0,1.0,644691.0,Ayes,1718697240,644690.0
909,fellowship_admin,16ZrKNuPfhHiwNDFnwQok3UCCHscYLtU6Ku5rXB4T1yFmnzy,149999.0,4.0,599996.0,Ayes,1720106316,0.0
949,fellowship_admin,16JCybAA88yQ9t8Cus4YhB5mT5DjyBxBLEgYPCpH8HjnePTq,180000.0,3.0,540000.0,Ayes,1720259952,0.0
926,fellowship_admin,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,795.8265253603,3.0,446547.9766433483,Nays,1720228014,444160.49706726737
871,fellowship_admin,16JUJFANw7LHEBYsyyykYogBotUxgqSCQswEWbZ1rTPGuN5s,130000.0,3.0,390000.0,Ayes,1719022830,0.0
874,fellowship_admin,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,257287.8213001217,Ayes,1718535720,257277.8213001217
910,fellowship_admin,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,42000.0,5.0,210000.0,Ayes,1719986310,0.0
910,fellowship_admin,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,41300.0,5.0,206500.0,Nays,1719986382,0.0
941,fellowship_admin,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,37000.0,3.0,194262.1221141735,Ayes,1720294536,83262.1221141735
926,fellowship_admin,12e1E8ADuvrXYfQFv5L2ir7M9yerTYWWLjAzMwFT3mMP3wyu,2.0,0.1,174732.2,Ayes,1720169322,174732.0
879,fellowship_admin,14w9TR3CX7syCEgQ1w3yj1uBwVdsPucNpGQyeetAera5XgxB,10.0,1.0,172010.0,Ayes,1719303732,172000.0
864,fellowship_admin,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,1.0,153214.7497593746,Ayes,1718983986,152214.7497593746
941,fellowship_admin,15ywBU49qBuBbzP4T9dcpJuHcH4DCQib9r8MnrgVMpzb768N,46000.0,3.0,138000.0,Ayes,1720015968,0.0
910,fellowship_admin,14gEYLb4pzg3RvYS72MPRWWGAUBDdBpp9U6Wh4uMZhdQRis2,34000.0,4.0,136000.0,Nays,1719777744,0.0
863,fellowship_admin,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,5.0,100690.347091685,Ayes,1718400918,95162.847091685
882,fellowship_admin,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Nays,1718907354,86029.5035491527
934,fellowship_admin,11273kdRqdfBGL9isPvpUd32ym7Pdwy4WVFHxuKZE79EhNDy,24000.0,3.0,72000.0,Ayes,1720017828,0.0
869,fellowship_admin,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,0.1,70315.6006392737,Abstains,1718354724,70314.6006392737
873,fellowship_admin,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,12000.0,4.0,64600.0,Nays,1718793258,16600.0
921,fellowship_admin,15bXugcURZuT2WvDgm3XoST5SJTMFgwc24rX8QvzaaDssUD8,14772.0,4.0,59088.0,Nays,1719642996,0.0
926,fellowship_admin,1kEQJdnkDsNUfJ925Rx7MNJWmFuoxita5o2tuEBrJ7L31ez,11080.0,5.0,55400.0,Ayes,1719604572,0.0
926,fellowship_admin,13MovpXTsXnhWi4RKAsKAUndZtuPbeJQnHcL6SCeT87wcjzD,11080.0,5.0,55400.0,Ayes,1719605436,0.0
926,fellowship_admin,12vNAgrVkFNF4dbNNwBX1bpf7EnvXrTEMeSJTxo7EZF5q7Rz,11080.0,5.0,55400.0,Ayes,1719606372,0.0
926,fellowship_admin,14rjcoMRgYaTt4Raz19Yc3DZj1p2c5hKxHL7kfJbmJ69uDiN,11080.0,5.0,55400.0,Ayes,1719605832,0.0
939,fellowship_admin,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,1.0,51808.1089106389,Nays,1720011414,51807.1089106389
880,fellowship_admin,13Rzbog1rFD8z5HVjj8DWzipcJt6fznU3Ctcf5Dv8soPUyoV,12000.0,4.0,48000.0,Nays,1718561172,0.0
863,fellowship_admin,1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg,13400.0,3.0,40200.0,Ayes,1718267160,0.0
940,fellowship_admin,15MjWjJ8fcN2GaAQrJ7W3J9RkgTdQxGibEmqaNhjcM46ZAd5,37472.9404128017,1.0,37472.9404128017,Nays,1720061064,0.0
871,fellowship_admin,12ow3eJ3vbjeNRahUUrBnc98mWeJTSQ7rJCAVqiFQDEnzbu8,12000.0,3.0,36000.0,Ayes,1718362206,0.0
924,fellowship_admin,14h6GVCEWY49CkwWWxKMwNHyYfedDYtZCr2okVGzeNGgnZtR,33000.0,1.0,33000.0,Ayes,1720366320,0.0
906,fellowship_admin,12pXignPnq8sZvPtEsC3RdhDLAscqzFQz97pX2tpiNp3xLqo,5.5530423462,1.0,30005.5530423462,Nays,1719609546,30000.0
934,fellowship_admin,12YxXhbBGfVGTxUWTC7QGCdsRFtsZedHJZTe947siz3sPixF,10000.0,3.0,30000.0,Ayes,1720360548,0.0
879,fellowship_admin,12hAtDZJGt4of3m2GqZcUCVAjZPALfvPwvtUTFZPQUbdX1Ud,10000.0,3.0,30000.0,Ayes,1718793120,0.0
863,fellowship_admin,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,9100.0,3.0,27300.0,Ayes,1718211564,0.0
878,fellowship_admin,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,8500.0,3.0,26167.1946822495,Nays,1719249150,667.1946822494999
864,fellowship_admin,12NLgzqfhuJkc9mZ5XUTTG85N8yhhzfptwqF1xVhtK3ZX7f6,10.0,1.0,25010.0,Ayes,1718250450,25000.0
906,fellowship_admin,13mZThJSNdKUyVUjQE9ZCypwJrwdvY8G5cUCpS9Uw4bodh4t,1.1,3.0,25003.3,Nays,1719039726,25000.0
860,fellowship_admin,16ZkdRYne6geWLkhaMgraDkXXiKHwSSQkCtQ2pPJPtoroURn,5000.0,5.0,25000.0,Nays,1718347692,0.0
869,fellowship_admin,15AX5Mcq8Dzays358VobG42QT9KsWJQexNoeVruYUgtt5PcW,1.0,1.0,22451.0,Ayes,1718315340,22450.0
861,fellowship_admin,1QgMmM5QyTBVkC9cBNPVQszCTHjCBskFG1pny8zVprPSd1J,7000.0,3.0,21000.0,Ayes,1718650140,0.0
869,fellowship_admin,13a1kUyM87r2G6i5Q1rfSFvjNtPJPcBZi9mDqB6PJFEaeif,20520.0,1.0,20520.0,Ayes,1718904534,0.0
900,fellowship_admin,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,4.0,20009.9235388798,Nays,1719120186,5.9235388798
909,fellowship_admin,155G4q3yS7gW933PrdxrY4ersg2YhqWUnGC8GUd7NWiZwuKj,20000.0,1.0,20000.0,Ayes,1719830646,0.0
874,fellowship_admin,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,4.0,20000.0,Nays,1718479116,0.0
924,fellowship_admin,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,6.0,19200.0,Ayes,1719594876,18000.0
941,fellowship_admin,1557x4U7JTAcso9AHpiVfrEsadABQ2swNWhDeh5WvUn9Zdog,1000.0,3.0,18050.0,Nays,1720161258,15050.0
900,fellowship_admin,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Nays,1718996688,15000.0
873,fellowship_admin,131PZkz6A4fCFsXnefPnQwn5To6gvJFoit2boavU6ryUQoNE,7000.0,1.0,17000.0,Nays,1718861844,10000.0
926,fellowship_admin,1Qrotkokp6taAeLThuwgzR7Mu3YQonZohwrzixwGnrD1QDT,1.0,0.1,16800.1,Ayes,1719913956,16800.0
873,fellowship_admin,16k5kPkBCMi89e1a9yGZGT4gHJW5H4KUQ5eVqPc8PGPxhi1K,5500.0,3.0,16500.0,Nays,1718793270,0.0
926,fellowship_admin,15zYwHBurB6xiYbPtp4aTdd2VHeMdjtUhJo7G7yspdxUjRH6,4036.8999333584,4.0,16147.5997334336,Ayes,1719593526,0.0
879,fellowship_admin,16dUb2SzdDADYeLBWqW8NjazSbNyqhMTGKpc853k4ff5wbx3,5000.0,3.0,15000.0,Ayes,1718542566,0.0
879,fellowship_admin,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,3.0,15000.0,Nays,1718555166,0.0
949,fellowship_admin,12WQMLv8itdKJ83R4y3qNGYCRrsU6bFjyd4ZvcE4tmJoSiPv,5000.0,3.0,15000.0,Ayes,1720231644,0.0
889,fellowship_admin,13d6dUcHdqaSuQz1TrY5ofXAPA44FRokvgDKEKyFAhAxF7fp,2440.0,6.0,14640.0,Ayes,1718719938,0.0
863,fellowship_admin,12dGS1zjyiUqj7GuxDDwv9i72RMye1mT7tSWNaSx7QVeJ32H,4700.0,3.0,14100.0,Ayes,1718297448,0.0
884,fellowship_admin,12iqwZGB2sguEhjFi2ZRuWWixU8mHJnSiP1pwDefqGsBy4rV,6800.0,1.0,13900.0,Ayes,1720096170,7100.0
921,fellowship_admin,13TgZ9VJ3fs4sTDdqXjzSf27JTrVu4yi6RsV72vrzuT7ytbb,12345.0,1.0,12345.0,Nays,1720197834,0.0
863,fellowship_admin,15pQ7mYf9V69AHwpGDT25tPE8vdgfKWYFie4kuZA7h1p88Jp,4100.0,3.0,12300.0,Ayes,1718211972,0.0
921,fellowship_admin,15ZvLonEseaWZNy8LDkXXj3Y8bmAjxCjwvpy4pXWSL4nGSBs,10003.0,1.0,10003.0,Nays,1720027260,0.0
873,fellowship_admin,14V9f68WA6EAG6ZefWryFXszSLDQ5SCiL8aPt2JixeHqNXsz,1.0,0.1,10000.1,Nays,1719340002,10000.0
880,fellowship_admin,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,10000.0,1.0,10000.0,Nays,1719402144,0.0
882,fellowship_admin,16UvTJteZiHfoGjzMK5fAxwZd3wkbsFb2C1SKsMLCtxRhNWv,5000.0,2.0,10000.0,Ayes,1718616756,0.0
882,fellowship_admin,15tfUt4iQNjMyhZiJGBf4EpETE2KqtW1nfJwbBT1MvWjvcK9,10000.0,1.0,10000.0,Nays,1718711664,0.0
880,fellowship_admin,16VVNbc4m6aUxwaVwgRra6Ue7fMNGcRQHTFo1TqxmnCyuwwn,8800.0,1.0,8800.0,Nays,1718718060,0.0
924,fellowship_admin,14Weh5QRkAYafkAr1X8pTjZVFRcZnKgyr8MG19M4YPucKrMZ,85105.59,0.1,8510.559,Ayes,1720021872,0.0
869,fellowship_admin,14jHouxT1VbhBDw93VW8Z89p139Qgu7ECHz3zxM2CpQEDJDB,8000.0,1.0,8000.0,Ayes,1718349348,0.0
863,fellowship_admin,15dy3FQpDF4ZDQSzBbxNBbTbDRxzJGsmYDx469YKKfQgkCnc,2500.0,3.0,7500.0,Ayes,1718211996,0.0
926,fellowship_admin,1LmUakL8nCd9ZZoUVbKhsrwHwafL2DMZabudoEwR2hGv4Bs,1430.0,5.0,7150.0,Ayes,1719594072,0.0
864,fellowship_admin,14Sqrs7dk6gmSiuPK7VWGbPmGr4EfESzZBcpT6U15W4ajJRf,10.0,1.0,7010.0,Ayes,1718702010,7000.0
909,fellowship_admin,14wFLHaGiVGFbxeQmnJo2XnaF9aaBq42F1TBUzpW5nb4f2UX,3500.0,2.0,7000.0,Ayes,1719097608,0.0
869,fellowship_admin,14MDTfBcp3ST1FBSL9m4MbqvHUuUQym6fMPgvPt4ABmxPJam,2314.0,3.0,6942.0,Ayes,1718916120,0.0
953,fellowship_admin,13Srw7dVtGJnZrV3o6RCAJ97MaGbSKShQQiSYjbGp4Jvu4Cs,6000.0,1.0,6900.0,Ayes,1720355670,900.0
941,fellowship_admin,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,0.1,6643.200000000001,Ayes,1720085046,6643.1
910,fellowship_admin,1WgB9o954mkQi97f36azSwDt7SfRUQuJ1kCyb7Sv1WAUcSe,3200.0,2.0,6400.0,Ayes,1719138210,0.0
934,fellowship_admin,15fTH34bbKGMUjF1bLmTqxPYgpg481imThwhWcQfCyktyBzL,25.0,6.0,6150.0,Ayes,1720320804,6000.0
860,fellowship_admin,1HPKZzzd9nyr2DdvtPxytNMZm3Ld5nh3BBY4Ecgg9JxgL7G,2000.0,3.0,6000.0,Ayes,1718385162,0.0
876,fellowship_admin,15kkg1mK1tCGgqqo3c1CghtKCQsBEAPPjYNNmmRT3r29FeRX,5000.0,1.0,6000.0,Ayes,1718654196,1000.0
906,fellowship_admin,12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,5000.0,1.0,5910.458473672,Nays,1719004962,910.458473672
900,fellowship_admin,13uifUNALuwqiHZADQb2hrpwnL8kmawjqykx4yN661Tv7mR,5250.0,1.0,5250.0,Ayes,1718971944,0.0
891,fellowship_admin,13rkfSaFsMEFJAV1wcQcnbJnxiigJTb78qkkLSEvUNPA2QVZ,5000.0,1.0,5000.0,Nays,1718759502,0.0
891,fellowship_admin,15u9KTyZzjVQJaCVmAPhFNjwyyS7aHjb6m5Exa22fRXQpTp6,5000.0,1.0,5000.0,Nays,1719036888,0.0
887,fellowship_admin,14Q74NU7dG4uxiHTSCSZii5T1Y368cm7BNVNeRWmEuoDUGXQ,5000.0,1.0,5000.0,Ayes,1719744048,0.0
884,fellowship_admin,16DJbUVKFJp6igLoDxCTPesE2DMgMmiawLXG9jsGpYNTshxt,5000.0,1.0,5000.0,Ayes,1719998454,0.0
884,fellowship_admin,15CosmEmAfQAhnxwan18e5TueAe6bDzrqqxg13dToDWr7A8M,5000.0,1.0,5000.0,Ayes,1720039710,0.0
884,fellowship_admin,12rgiL4r56kPE4PuYmz8snR21isfbrcp5Vbf8VdJe2AWDuus,5000.0,1.0,5000.0,Ayes,1720039734,0.0
926,fellowship_admin,13Dh5NsiHbVTc7CX68C4xJosC2k3LMsvuN4amxLCRi3NYtaF,1543.8,3.0,4631.4,Ayes,1720187220,0.0
863,fellowship_admin,13zFreNJENQrTgnEqsWfy1Kp66e7t8ZJZUL7qRZ2FCAy6Ag,1500.0,3.0,4500.0,Ayes,1718610996,0.0
860,fellowship_admin,13mjnUDrHwYGATFB1FkFkZ1U3kYFsAQfHYTdcc8p3HP1xzZA,4000.0,1.0,4000.0,Nays,1718295708,0.0
876,fellowship_admin,1cjzHPZVgRMW78s1PNRiLbntFtYjkeJ4u1wBFR7tNdZGZSF,1272.0,3.0,3816.0,Ayes,1718648772,0.0
952,fellowship_admin,13GEk517q2rDtrRKC1yormR2Aj5enhR9nkV1VwAygmxsf7vf,800.0,4.0,3200.0,Nays,1720255626,0.0
879,fellowship_admin,13gjeiKRrbncsNh1af1SkRPYV7EZQv5tGtktN66k7d2JbhbP,760.0,4.0,3040.0,Ayes,1718551482,0.0
887,fellowship_admin,13pgGkebYEYGLhA7eR6sBM1boEvq86V9adonjswtYe1iDK2K,2.0,3.0,3006.0,Ayes,1719409416,3000.0
926,fellowship_admin,13MVd5aKnSM8ggnrMLS4uf8ysca8LXw8cSfCrizaLTg9oGZb,2800.0,1.0,2800.0,Ayes,1719664692,0.0
900,fellowship_admin,1ZSPR3zNg5Po3obkhXTPR95DepNBzBZ3CyomHXGHK9Uvx6w,400.0,5.0,2000.0,Ayes,1720365192,0.0
887,fellowship_admin,16KjnbCmBXqT3R956sHak7THsgQZ9Ek8ibnG1sFyCNtfJ8y,1000.0,1.0,1835.6063194008,Ayes,1719536934,835.6063194008
900,fellowship_admin,17MGqG1n5ZBtnk5eFm9binJ6ro9STMf481MqSw3CwrbMGFe,1.0,0.1,1800.1,Nays,1719837480,1800.0
874,fellowship_admin,14z2CnmqMX2kcWGp5VT68sovjKXZipjkNUPtaMMnz6cjXW3q,11.0,1.0,1692.5092773307001,Ayes,1718697546,1681.5092773307001
887,fellowship_admin,13wXYFy8erT1gDe94SXka5oxtTfbtn33Y6ML73GwcSbpoWHp,500.0,3.0,1500.0,Ayes,1719185094,0.0
879,fellowship_admin,1NWiinA4nt1dSKTfNQDREoXpHePxB8jVvx74GCfJLPa6723,500.0,3.0,1500.0,Ayes,1720099734,0.0
909,fellowship_admin,1ueHqrgBmWcqW1PF95kQB1hsTCPYMVGT9caHcpHAmjozMg6,15000.0,0.1,1500.0,Ayes,1720130178,0.0
926,fellowship_admin,1TjTQ1B3aFyGWbnK9oVhCWA5BBrabb3J1ra84vfCmi8TS1E,250.0,5.0,1250.0,Ayes,1719705324,0.0
924,fellowship_admin,13fp87SGGtXfCEdwqu9v7tVcb34gmhEGM1zDHvDAFzC3Yjk7,600.0,2.0,1200.0,Ayes,1719784152,0.0
926,fellowship_admin,15tKco3E2zXYrtw2DgRThZpX541EdRhhNfGKzvSeHFr3QH2N,1.0,0.1,1000.1,Nays,1720409910,1000.0
860,fellowship_admin,16ad3ehm2XsVQbQgqYPxicRB5nGinQU9zEKiCJ7ZVhRN9CyG,300.0,3.0,900.0,Ayes,1718271054,0.0
926,fellowship_admin,16ft8Nm7cNhDA1i2knKcTop9oxvbNvM51CXmzLzuxFapxV8T,300.0,3.0,900.0,Nays,1719977508,0.0
873,fellowship_admin,12sNU8BXivMj1xQmcd4T39ugCyHjmhir8jkPqfAw5ZDESrx4,400.0,2.0,800.0,Ayes,1719381480,0.0
910,fellowship_admin,14uPeytcF1xb7oMkJ9W7trR24HFnkKh11RX7n2cB32Sqw979,700.0,1.0,700.0,Ayes,1719985668,0.0
863,fellowship_admin,167Y1SbQrwQVNfkNUXtRkocfzVbaAHYjnZPkZRScWPQ46XDb,300.0,2.0,600.0,Ayes,1718608896,0.0
941,fellowship_admin,13Ec62Cvw9jmPxA23EidSwASPs9X2Vohqv9RCogCfDvXC4c8,600.0,1.0,600.0,Ayes,1720017180,0.0
880,fellowship_admin,14ae6sADN4DNDpcMHvsidNraFrX9uEGh1vD2JHnXUxv99ZwR,100.0,6.0,600.0,Ayes,1720110702,0.0
874,fellowship_admin,127zarPDhVzmCXVQ7Kfr1yyaa9wsMuJ74GJW9Q7ezHfQEgh6,5000.0,0.1,500.0,Abstains,1718388582,0.0
860,fellowship_admin,12ZhwG3obkAYwwuHSzB5Cy5BPmWxqoK2XsPCuqHZgB9XwRFU,5000.0,0.1,500.0,Nays,1718292048,0.0
860,fellowship_admin,13tvM5A12b9yQFs9TJWH1Bc9iiN7d7jZGnqJXdF85ovHruh6,5000.0,0.1,500.0,Nays,1718292060,0.0
869,fellowship_admin,13sfQD25BqMtyypndEFY7vzTJ9jCm2rdNcAzkE6Mt4F2Ed5K,500.0,1.0,500.0,Ayes,1718990742,0.0
860,fellowship_admin,13ozGG4C5CnB2aQyrdxsf1yf5n4u6252J2Gd9neWk6Zz3psW,5000.0,0.1,500.0,Nays,1718292036,0.0
909,fellowship_admin,16XYgDGN6MxvdmjhRsHLT1oqQVDwGdEPVQqC42pRXiZrE8su,80.0,6.0,480.0,Ayes,1719301182,0.0
860,fellowship_admin,1yCg8NSCgjS4K5KDK5DZGhxUCxmgVyhyG6vBPn5wqUmLuYo,150.0,3.0,450.0,Ayes,1718187072,0.0
889,fellowship_admin,1497fpQ1HztHjD8QD5SPKaWxPK6ZHPau8cqwsvBMyzqVujk8,72.4,6.0,434.4,Ayes,1718719854,0.0
887,fellowship_admin,15DCZocYEM2ThYCAj22QE4QENRvUNVrDtoLBVbCm5x4EQncr,65.0,6.0,390.0,Ayes,1718698716,0.0
900,fellowship_admin,167Pbuy2HvbHshqc7Xtk4cweCXyyZoJLttAsddDuH3tN7Fco,106.0,3.0,318.0,Ayes,1718964588,0.0
887,fellowship_admin,16DNbAdyy6QsTPdDDHL5gt7FaeAQ1UioJA6Pj7aUGJERveFd,1.0,1.0,271.1,Ayes,1719224118,270.1
880,fellowship_admin,15MZqPwJTkmPieNpT3vNXeqZ9S1B5ThmnE8jtqotEVXQoLcE,250.0,1.0,250.0,Nays,1720180158,0.0
863,fellowship_admin,12K7AbU3KTXYznR4HQicxuBK2Fz584bFXHUFj5vQwGoyXEjo,1.0,6.0,174.19416801699998,Ayes,1718364900,168.19416801699998
902,fellowship_admin,1U9NbBVpku7VYWtGE5CFTyyaTVTNBrfyXDNETK89uGDD6wm,50.0,3.0,150.0,Ayes,1720204254,0.0
