referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
930,medium_spender,15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,9640000.0,3.0,28920000.0,Nays,1719930768,0.0
886,medium_spender,16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz,1.0,0.1,17999997.1,Nays,1718988306,17999997.0
898,medium_spender,16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,2.0,1.0,13701479.0,Nays,1719493608,13701477.0
883,medium_spender,15VKhRhYBw4ztjPyr7CzUf54An2gBX8fXLJx8LWFGr5Z4dqo,2.75,1.0,11901371.75,Nays,1719913512,11901369.0
930,medium_spender,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,796.4548565444,3.0,4504945.709080155,Nays,1720400742,4502556.344510522
935,medium_spender,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,37000.0,3.0,4397252.260592075,Ayes,1720294344,4286252.260592075
875,medium_spender,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,5.0,4300690.347091685,Nays,1718997876,4295162.847091685
905,medium_spender,12pXignPnq8sZvPtEsC3RdhDLAscqzFQz97pX2tpiNp3xLqo,5.5530423462,1.0,4230005.553042347,Nays,1719609546,4230000.0
930,medium_spender,13mZThJSNdKUyVUjQE9ZCypwJrwdvY8G5cUCpS9Uw4bodh4t,1.1,3.0,4225003.3,Nays,1720169406,4225000.0
898,medium_spender,16XYgDGN6MxvdmjhRsHLT1oqQVDwGdEPVQqC42pRXiZrE8su,50.0,6.0,4200300.0,Nays,1719052836,4200000.0
930,medium_spender,12BJTP99gUerdvBhPobiTvrWwRaj1i5eFHN9qx51JWgrBtmv,10.0,0.1,4200001.0,Nays,1720060854,4200000.0
883,medium_spender,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,1.0,0.1,4200000.1,Ayes,1718719710,4200000.0
922,medium_spender,15TzZpYZa2rwfBNKhkDzuU1JApgACxD3m6pcaNt4SZneYTV5,0.0,0.1,4200000.0,Nays,1720393140,4200000.0
930,medium_spender,13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,1000.0,3.0,2859694.2,Nays,1719779880,2856694.2
875,medium_spender,15a9VMaAj2ZKVN3fA97r9kPVppiJLjSXmsYLQKhVnPEPCQbv,1.95,1.0,1160395.95,Nays,1718858040,1160394.0
905,medium_spender,13dKEY6zDazKA1Ew7jjsEMUwy5Nt2bnh2S5UagMrcnfkPSPZ,375000.0,3.0,1125000.0,Ayes,1719042162,0.0
951,medium_spender,14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,712204.1582443858,1.0,712204.1582443858,Ayes,1720290552,0.0
893,medium_spender,15tjdhcPTTxPCvobkBHLB3c1pqks4iu5v1ZKPqmTUD4aZeBb,1.0,1.0,644691.0,Nays,1718858334,644690.0
893,medium_spender,16JUJFANw7LHEBYsyyykYogBotUxgqSCQswEWbZ1rTPGuN5s,130000.0,3.0,390000.0,Ayes,1720193826,0.0
918,medium_spender,12Qn81nJ9DAPxQ6iz2jPxLcrbcpveWFbAAyvDLwnAGL6nPjG,50000.0,6.0,300000.0,Ayes,1719376140,0.0
883,medium_spender,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,268356.0434482479,Nays,1718602062,268346.0434482479
951,medium_spender,12e1E8ADuvrXYfQFv5L2ir7M9yerTYWWLjAzMwFT3mMP3wyu,1.0,0.1,174732.1,Nays,1720263486,174732.0
875,medium_spender,14Weh5QRkAYafkAr1X8pTjZVFRcZnKgyr8MG19M4YPucKrMZ,85105.59,2.0,170211.18,Nays,1720203624,0.0
951,medium_spender,14gEYLb4pzg3RvYS72MPRWWGAUBDdBpp9U6Wh4uMZhdQRis2,34000.0,5.0,170000.0,Nays,1720356606,0.0
935,medium_spender,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,42000.0,4.0,168000.0,Nays,1720335642,0.0
935,medium_spender,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,41000.0,4.0,164000.0,Nays,1720335588,0.0
886,medium_spender,15iqv4E9F7uX2Xjiyh8uopqEPaP4VTSTvJzX1ccFiwv4G56Y,52000.0,3.0,156000.0,Ayes,1718779836,0.0
893,medium_spender,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,1.0,153213.06193456,Nays,1718985018,152213.06193456
898,medium_spender,13VMMtNPxsTiJZ6rz5N9FJASnNg5iuEamf5SBBhiDTQJBKhk,50199.7038559915,3.0,150599.1115679745,Ayes,1718968200,0.0
927,medium_spender,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Nays,1719808686,86029.5035491527
875,medium_spender,1WVMfRKT8s9AJc26gvabdhMePn65euASbvHmGUPi4G7A6tB,25000.0,3.0,75000.0,Ayes,1718652180,0.0
933,medium_spender,15MjWjJ8fcN2GaAQrJ7W3J9RkgTdQxGibEmqaNhjcM46ZAd5,37472.9404128017,2.0,74945.8808256034,Nays,1720060878,0.0
951,medium_spender,11273kdRqdfBGL9isPvpUd32ym7Pdwy4WVFHxuKZE79EhNDy,24000.0,3.0,72000.0,Ayes,1720168350,0.0
915,medium_spender,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,0.1,70315.6006392737,Ayes,1720027278,70314.6006392737
883,medium_spender,1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,1.0,1.0,70001.0,Ayes,1718596128,70000.0
927,medium_spender,14h6GVCEWY49CkwWWxKMwNHyYfedDYtZCr2okVGzeNGgnZtR,33000.0,2.0,66000.0,Ayes,1720366188,0.0
