referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
913,referendum_canceller,15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,9640000.0,3.0,28920000.0,Ayes,1719314790,0.0
870,referendum_canceller,12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,2.5,1.0,15840002.5,Ayes,1718614332,15840000.0
929,referendum_canceller,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,1.0,2026360.5138999878,Ayes,1719820716,2026349.8708999879
929,referendum_canceller,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,794.2520360529,3.0,1363442.2226262027,Ayes,1719817860,1361059.466518044
870,referendum_canceller,15tjdhcPTTxPCvobkBHLB3c1pqks4iu5v1ZKPqmTUD4aZeBb,1.0,1.0,644691.0,Ayes,1718638542,644690.0
929,referendum_canceller,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,290094.1430268389,Ayes,1719909648,290084.1430268389
870,referendum_canceller,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,36000.0,3.0,173919.1310181357,Ayes,1718641416,65919.1310181357
913,referendum_canceller,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,1.0,96268.347091685,Ayes,1719528066,95162.847091685
929,referendum_canceller,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5447593316,Nays,1719808536,86029.5447593316
870,referendum_canceller,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,0.1,70315.6006392737,Ayes,1718354826,70314.6006392737
928,referendum_canceller,12pXignPnq8sZvPtEsC3RdhDLAscqzFQz97pX2tpiNp3xLqo,5.5530423462,1.0,30005.5530423462,Ayes,1719794082,30000.0
913,referendum_canceller,13mZThJSNdKUyVUjQE9ZCypwJrwdvY8G5cUCpS9Uw4bodh4t,1.1,3.0,25003.3,Ayes,1719304968,25000.0
929,referendum_canceller,15AX5Mcq8Dzays358VobG42QT9KsWJQexNoeVruYUgtt5PcW,1.0,1.0,21876.0,Nays,1719771576,21875.0
928,referendum_canceller,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,4.0,20000.0,Nays,1719734820,0.0
913,referendum_canceller,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,4.0,18800.0,Ayes,1719507756,18000.0
928,referendum_canceller,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Ayes,1719860046,15000.0
929,referendum_canceller,1Qrotkokp6taAeLThuwgzR7Mu3YQonZohwrzixwGnrD1QDT,1.0,0.1,16800.1,Ayes,1719910530,16800.0
913,referendum_canceller,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,3.0,15008.9235388798,Ayes,1719402606,5.9235388798
928,referendum_canceller,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,3.0,15000.0,Nays,1719660924,0.0
870,referendum_canceller,16UvTJteZiHfoGjzMK5fAxwZd3wkbsFb2C1SKsMLCtxRhNWv,5000.0,2.0,10000.0,Ayes,1718375364,0.0
913,referendum_canceller,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,10000.0,1.0,10000.0,Nays,1719402396,0.0
929,referendum_canceller,13Srw7dVtGJnZrV3o6RCAJ97MaGbSKShQQiSYjbGp4Jvu4Cs,5841.7366592061,1.0,6741.7366592061,Nays,1719737088,900.0
929,referendum_canceller,13rkfSaFsMEFJAV1wcQcnbJnxiigJTb78qkkLSEvUNPA2QVZ,5000.0,1.0,5000.0,Nays,1719798462,0.0
913,referendum_canceller,13GEk517q2rDtrRKC1yormR2Aj5enhR9nkV1VwAygmxsf7vf,800.0,4.0,3200.0,Ayes,1719490200,0.0
