referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
912,small_tipper,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,1.0,33750007.5,Nays,1719473394,33750000.0
912,small_tipper,16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz,1.0,0.1,17999997.1,Nays,1719503400,17999997.0
955,small_tipper,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,796.4548565444,3.0,5445380.923983186,Ayes,1720400742,5442991.559413552
947,small_tipper,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,37000.0,3.0,4397067.256016929,Nays,1720294776,4286067.256016929
912,small_tipper,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,1.0,4296268.347091685,Nays,1719526266,4295162.847091685
901,small_tipper,12pXignPnq8sZvPtEsC3RdhDLAscqzFQz97pX2tpiNp3xLqo,2.664954605,1.0,4230002.664954605,Nays,1719091038,4230000.0
901,small_tipper,13mZThJSNdKUyVUjQE9ZCypwJrwdvY8G5cUCpS9Uw4bodh4t,1.1,3.0,4225003.3,Nays,1719039798,4225000.0
901,small_tipper,16XYgDGN6MxvdmjhRsHLT1oqQVDwGdEPVQqC42pRXiZrE8su,50.0,0.1,4200005.0,Nays,1718977566,4200000.0
901,small_tipper,12BJTP99gUerdvBhPobiTvrWwRaj1i5eFHN9qx51JWgrBtmv,10.0,0.1,4200001.0,Nays,1718989434,4200000.0
958,small_tipper,15TzZpYZa2rwfBNKhkDzuU1JApgACxD3m6pcaNt4SZneYTV5,0.0,3.0,4200000.0,Nays,1720410894,4200000.0
958,small_tipper,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,1.0,2020523.5138999878,Nays,1720402992,2020512.8708999879
947,small_tipper,12e1E8ADuvrXYfQFv5L2ir7M9yerTYWWLjAzMwFT3mMP3wyu,0.0,0.1,174732.0,Nays,1720267752,174732.0
901,small_tipper,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,1.0,153213.5497593746,Nays,1718984046,152213.5497593746
901,small_tipper,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Ayes,1718935494,86029.5035491527
865,small_tipper,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,0.1,70315.6006392737,Ayes,1718354028,70314.6006392737
901,small_tipper,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,8500.0,3.0,26167.1946822495,Nays,1719249702,667.1946822494999
865,small_tipper,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,4.0,20000.0,Ayes,1718479194,0.0
865,small_tipper,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,4.0,18800.0,Ayes,1718354220,18000.0
912,small_tipper,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Nays,1719507078,15000.0
912,small_tipper,1Qrotkokp6taAeLThuwgzR7Mu3YQonZohwrzixwGnrD1QDT,1.0,0.1,16800.1,Nays,1719430452,16800.0
955,small_tipper,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,3.0,15008.9235388798,Ayes,1720284582,5.9235388798
865,small_tipper,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,3.0,15000.0,Ayes,1718315538,0.0
958,small_tipper,12WQMLv8itdKJ83R4y3qNGYCRrsU6bFjyd4ZvcE4tmJoSiPv,5000.0,3.0,15000.0,Ayes,1720271754,0.0
901,small_tipper,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,10000.0,1.0,10000.0,Nays,1719402564,0.0
865,small_tipper,16UvTJteZiHfoGjzMK5fAxwZd3wkbsFb2C1SKsMLCtxRhNWv,5000.0,2.0,10000.0,Ayes,1718253324,0.0
947,small_tipper,16VVNbc4m6aUxwaVwgRra6Ue7fMNGcRQHTFo1TqxmnCyuwwn,8800.0,1.0,8800.0,Ayes,1720177290,0.0
865,small_tipper,14jHouxT1VbhBDw93VW8Z89p139Qgu7ECHz3zxM2CpQEDJDB,8000.0,1.0,8000.0,Ayes,1718349378,0.0
865,small_tipper,14Sqrs7dk6gmSiuPK7VWGbPmGr4EfESzZBcpT6U15W4ajJRf,10.0,1.0,7010.0,Ayes,1718491302,7000.0
901,small_tipper,14MDTfBcp3ST1FBSL9m4MbqvHUuUQym6fMPgvPt4ABmxPJam,2314.0,3.0,6942.0,Ayes,1718902086,0.0
955,small_tipper,13Srw7dVtGJnZrV3o6RCAJ97MaGbSKShQQiSYjbGp4Jvu4Cs,5841.7366592061,1.0,6741.7366592061,Ayes,1720354884,900.0
901,small_tipper,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,0.1,6543.200000000001,Nays,1719230376,6543.1
865,small_tipper,15fTH34bbKGMUjF1bLmTqxPYgpg481imThwhWcQfCyktyBzL,25.0,6.0,6150.0,Ayes,1718341758,6000.0
947,small_tipper,13uifUNALuwqiHZADQb2hrpwnL8kmawjqykx4yN661Tv7mR,5250.0,1.0,5250.0,Nays,1720192350,0.0
958,small_tipper,16JUJFANw7LHEBYsyyykYogBotUxgqSCQswEWbZ1rTPGuN5s,5000.0,1.0,5000.0,Ayes,1720310472,0.0
865,small_tipper,13rkfSaFsMEFJAV1wcQcnbJnxiigJTb78qkkLSEvUNPA2QVZ,5000.0,1.0,5000.0,Ayes,1718329302,0.0
901,small_tipper,15u9KTyZzjVQJaCVmAPhFNjwyyS7aHjb6m5Exa22fRXQpTp6,5000.0,1.0,5000.0,Nays,1719036912,0.0
901,small_tipper,17MGqG1n5ZBtnk5eFm9binJ6ro9STMf481MqSw3CwrbMGFe,1.0,0.1,3648.4769787938,Nays,1718960634,3648.3769787938
901,small_tipper,13GEk517q2rDtrRKC1yormR2Aj5enhR9nkV1VwAygmxsf7vf,800.0,4.0,3200.0,Nays,1718984196,0.0
901,small_tipper,1557x4U7JTAcso9AHpiVfrEsadABQ2swNWhDeh5WvUn9Zdog,1000.0,3.0,3050.1381163386,Nays,1719031416,50.1381163386
958,small_tipper,13pgGkebYEYGLhA7eR6sBM1boEvq86V9adonjswtYe1iDK2K,2.0,3.0,3006.0,Nays,1720377486,3000.0
958,small_tipper,1mbykKu9LQppuEkAZe4dj9sLtXWYphaFT9x8fkfYX3WwBzX,3000.0,1.0,3000.0,Nays,1720344168,0.0
912,small_tipper,16KjnbCmBXqT3R956sHak7THsgQZ9Ek8ibnG1sFyCNtfJ8y,1000.0,1.0,1835.6063194008,Nays,1719537120,835.6063194008
947,small_tipper,15tU45i9Ng3aecGcT6YJ7FAjxCrFeo5BPa3K6FrDhV8KjkGa,333.666999,3.0,1001.000997,Ayes,1720118478,0.0
958,small_tipper,16ZkdRYne6geWLkhaMgraDkXXiKHwSSQkCtQ2pPJPtoroURn,6300.0,0.1,630.0,Nays,1720334232,0.0
865,small_tipper,127zarPDhVzmCXVQ7Kfr1yyaa9wsMuJ74GJW9Q7ezHfQEgh6,5000.0,0.1,500.0,Abstains,1718251704,0.0
865,small_tipper,13tvM5A12b9yQFs9TJWH1Bc9iiN7d7jZGnqJXdF85ovHruh6,5000.0,0.1,500.0,Ayes,1718292360,0.0
865,small_tipper,12ZhwG3obkAYwwuHSzB5Cy5BPmWxqoK2XsPCuqHZgB9XwRFU,5000.0,0.1,500.0,Ayes,1718292348,0.0
