referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
923,treasurer,15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,9640000.0,3.0,28920000.0,Nays,1719930750,0.0
866,treasurer,16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz,0.1,1.0,17999997.1,Nays,1718380236,17999997.0
919,treasurer,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,795.1919698845,3.0,5548200.676810497,Ayes,1720033902,5545815.100900844
919,treasurer,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,37000.0,3.0,4396742.103089805,Nays,1719589500,4285742.103089805
866,treasurer,12pXignPnq8sZvPtEsC3RdhDLAscqzFQz97pX2tpiNp3xLqo,2.664954605,1.0,4230002.664954605,Nays,1719004500,4230000.0
936,treasurer,13mZThJSNdKUyVUjQE9ZCypwJrwdvY8G5cUCpS9Uw4bodh4t,1.1,3.0,4225003.3,Nays,1720272678,4225000.0
919,treasurer,16XYgDGN6MxvdmjhRsHLT1oqQVDwGdEPVQqC42pRXiZrE8su,5.0,1.0,4200005.0,Nays,1719773286,4200000.0
936,treasurer,13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,5000.0,3.0,2871694.2,Ayes,1720112904,2856694.2
866,treasurer,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,1.0,2026340.613899988,Nays,1718913522,2026329.970899988
936,treasurer,16JUJFANw7LHEBYsyyykYogBotUxgqSCQswEWbZ1rTPGuN5s,136000.0,4.0,544000.0,Ayes,1720105368,0.0
936,treasurer,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,259473.2925469456,Ayes,1720031874,259463.2925469456
936,treasurer,12e1E8ADuvrXYfQFv5L2ir7M9yerTYWWLjAzMwFT3mMP3wyu,1.0,0.1,174732.1,Ayes,1720425582,174732.0
936,treasurer,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,42000.0,4.0,168000.0,Ayes,1719997722,0.0
936,treasurer,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,41000.0,4.0,164000.0,Ayes,1719997788,0.0
936,treasurer,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,5.0,157212.9497593746,Ayes,1720038666,152212.9497593746
866,treasurer,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,5.0,100690.347091685,Nays,1718403594,95162.847091685
923,treasurer,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Nays,1719727506,86029.5035491527
936,treasurer,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,1.0,51808.2148102862,Ayes,1720092648,51807.2148102862
936,treasurer,13Rzbog1rFD8z5HVjj8DWzipcJt6fznU3Ctcf5Dv8soPUyoV,12000.0,4.0,48000.0,Ayes,1720095816,0.0
936,treasurer,11273kdRqdfBGL9isPvpUd32ym7Pdwy4WVFHxuKZE79EhNDy,24000.0,2.0,48000.0,Ayes,1720355058,0.0
919,treasurer,16cT2wjqq18WJdNwzeDvm57GgiQHhaQeWCrA5ZUPyKhyujtF,10000.0,4.0,40000.0,Ayes,1720381374,0.0
936,treasurer,14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,391001.051984732,0.1,39100.1051984732,Ayes,1720214700,0.0
866,treasurer,16htP3atjNbcaZXx1owdKehUPn3zb6oVEcj8s43bbXycXujL,1.0,1.0,37353.0,Nays,1718374782,37352.0
936,treasurer,11n5LHLatC7eRbNigLdmCFsFAw5v7dVXi4nrow6zYfdBcVw,13200.0,2.0,26400.0,Ayes,1720123074,0.0
866,treasurer,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,8500.0,3.0,26167.1946822495,Nays,1719248550,667.1946822494999
936,treasurer,13b2BHxiamr5QCzLHqPUgKfTczRZvH47eQ9WqSQSP7UyMZU5,8042.9872152575,3.0,24128.9616457725,Ayes,1719989442,0.0
866,treasurer,15AX5Mcq8Dzays358VobG42QT9KsWJQexNoeVruYUgtt5PcW,1.0,1.0,21876.0,Ayes,1718315478,21875.0
923,treasurer,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,4.0,20000.0,Nays,1719734754,0.0
866,treasurer,16ZkdRYne6geWLkhaMgraDkXXiKHwSSQkCtQ2pPJPtoroURn,5000.0,4.0,20000.0,Nays,1718350656,0.0
919,treasurer,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,6.0,19200.0,Nays,1720251702,18000.0
923,treasurer,1557x4U7JTAcso9AHpiVfrEsadABQ2swNWhDeh5WvUn9Zdog,1000.0,3.0,18050.0,Ayes,1719815850,15050.0
866,treasurer,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Nays,1718737398,15000.0
866,treasurer,1Qrotkokp6taAeLThuwgzR7Mu3YQonZohwrzixwGnrD1QDT,1.0,0.1,16800.1,Nays,1718284200,16800.0
936,treasurer,15zYwHBurB6xiYbPtp4aTdd2VHeMdjtUhJo7G7yspdxUjRH6,4051.1572289976,4.0,16204.6289159904,Ayes,1720204134,0.0
919,treasurer,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,3.0,15008.9235388798,Nays,1719637482,5.9235388798
923,treasurer,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,3.0,15000.0,Nays,1719660798,0.0
866,treasurer,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,12000.0,1.0,12000.0,Nays,1718793840,0.0
936,treasurer,11227LqNuw357x3P3ofE8fwRjdKbP7AurKQ5z8otRCjTSnTd,3400.0,3.0,10200.0,Ayes,1720037118,0.0
866,treasurer,15ZvLonEseaWZNy8LDkXXj3Y8bmAjxCjwvpy4pXWSL4nGSBs,10003.0,1.0,10003.0,Nays,1720027152,0.0
866,treasurer,14V9f68WA6EAG6ZefWryFXszSLDQ5SCiL8aPt2JixeHqNXsz,1.0,0.1,10000.1,Nays,1719241746,10000.0
866,treasurer,16UvTJteZiHfoGjzMK5fAxwZd3wkbsFb2C1SKsMLCtxRhNWv,5000.0,2.0,10000.0,Nays,1718375442,0.0
866,treasurer,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,10000.0,1.0,10000.0,Nays,1719401982,0.0
866,treasurer,16VVNbc4m6aUxwaVwgRra6Ue7fMNGcRQHTFo1TqxmnCyuwwn,8800.0,1.0,8800.0,Nays,1718717970,0.0
866,treasurer,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,0.1,8166.200000000001,Nays,1718609928,8166.1
936,treasurer,14Sqrs7dk6gmSiuPK7VWGbPmGr4EfESzZBcpT6U15W4ajJRf,10.0,1.0,7010.0,Ayes,1720128792,7000.0
866,treasurer,131PZkz6A4fCFsXnefPnQwn5To6gvJFoit2boavU6ryUQoNE,7000.0,1.0,7000.0,Nays,1718861940,0.0
936,treasurer,13Srw7dVtGJnZrV3o6RCAJ97MaGbSKShQQiSYjbGp4Jvu4Cs,5841.7366592061,1.0,6741.7366592061,Ayes,1720010070,900.0
936,treasurer,15fTH34bbKGMUjF1bLmTqxPYgpg481imThwhWcQfCyktyBzL,25.0,6.0,6150.0,Ayes,1719974682,6000.0
936,treasurer,1HPKZzzd9nyr2DdvtPxytNMZm3Ld5nh3BBY4Ecgg9JxgL7G,2000.0,3.0,6000.0,Nays,1720291668,0.0
936,treasurer,12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,5000.0,1.0,5910.458473672,Ayes,1719989136,910.458473672
866,treasurer,16k5kPkBCMi89e1a9yGZGT4gHJW5H4KUQ5eVqPc8PGPxhi1K,5500.0,1.0,5500.0,Nays,1718793834,0.0
936,treasurer,13uifUNALuwqiHZADQb2hrpwnL8kmawjqykx4yN661Tv7mR,5250.0,1.0,5250.0,Ayes,1720192254,0.0
866,treasurer,13rkfSaFsMEFJAV1wcQcnbJnxiigJTb78qkkLSEvUNPA2QVZ,5000.0,1.0,5000.0,Nays,1718329332,0.0
866,treasurer,15u9KTyZzjVQJaCVmAPhFNjwyyS7aHjb6m5Exa22fRXQpTp6,5000.0,1.0,5000.0,Nays,1718692170,0.0
919,treasurer,14d2kv44xf9nFnYdms32dYPKQsr5C9urbDzTz7iwU8iHb9az,1000.0,4.0,4000.0,Ayes,1720381350,0.0
936,treasurer,13mjnUDrHwYGATFB1FkFkZ1U3kYFsAQfHYTdcc8p3HP1xzZA,4000.0,1.0,4000.0,Ayes,1719995256,0.0
936,treasurer,15DuPt2eNWSES5zRaZBPxQv1XzjNLiPZxppBZ9aXjoavw26Q,2000.0,2.0,4000.0,Nays,1720263804,0.0
