referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
896,whitelisted_caller,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,1.0,36079054.60955337,Ayes,1719821328,36079047.10955337
872,whitelisted_caller,15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,32116500.0,1.0,32116500.0,Ayes,1718968794,0.0
896,whitelisted_caller,14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,20126600.0,1.0,20126600.0,Ayes,1719579204,0.0
890,whitelisted_caller,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,7.5,1.0,18000007.5,Ayes,1719318408,18000000.0
896,whitelisted_caller,16hZB9GfGwuNGWyKfG9mujirTHeQpVUpf9vjgxrQh9QHGNUz,1.0,0.1,17999997.1,Ayes,1719503400,17999997.0
872,whitelisted_caller,12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,2.5,1.0,15840002.5,Ayes,1718784684,15840000.0
890,whitelisted_caller,16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,2.0,1.0,13701479.0,Ayes,1719386022,13701477.0
890,whitelisted_caller,15VKhRhYBw4ztjPyr7CzUf54An2gBX8fXLJx8LWFGr5Z4dqo,2.75,1.0,11901371.75,Ayes,1719386040,11901369.0
896,whitelisted_caller,16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,10875600.0,1.0,10875600.0,Ayes,1719579204,0.0
896,whitelisted_caller,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,9999900.0,1.0,9999900.0,Ayes,1719579204,0.0
890,whitelisted_caller,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,1.0,2027230.5138999878,Ayes,1718913522,2027219.8708999879
896,whitelisted_caller,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,791.428279045,3.0,1146540.1646250682,Ayes,1719040308,1144165.879787933
890,whitelisted_caller,121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,250000.0,4.0,1000000.0,Ayes,1718753418,0.0
896,whitelisted_caller,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,257287.8213001217,Ayes,1719048522,257277.8213001217
872,whitelisted_caller,14w9TR3CX7syCEgQ1w3yj1uBwVdsPucNpGQyeetAera5XgxB,10.0,1.0,172010.0,Ayes,1719303402,172000.0
896,whitelisted_caller,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,5.0,157214.7497593746,Ayes,1718983314,152214.7497593746
890,whitelisted_caller,15iqv4E9F7uX2Xjiyh8uopqEPaP4VTSTvJzX1ccFiwv4G56Y,52000.0,3.0,156000.0,Ayes,1718780040,0.0
890,whitelisted_caller,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,36000.0,3.0,154074.1221141735,Ayes,1718985966,46074.1221141735
896,whitelisted_caller,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,5.0,100690.347091685,Ayes,1719525714,95162.847091685
