referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
380,whitelisted_caller,GZgn2Styf1XN2UzDL2amMxMZ5BZsbe8oJ6gmTN2DLBMkoNV,132106.76731499014,2.0,264213.5346299803,Ayes,1713787764,0.0
380,whitelisted_caller,FiWi4ufpytpMM3ivqfL3fE1j4jgyGLCJCspt24uJsXtUfiJ,121130.46235394664,2.0,242260.92470789328,Ayes,1713798126,0.0
380,whitelisted_caller,DXCungXJNFY8qCycRFFVjvFJb2xmkLmyoDvJiEv8sF1dCha,116859.05922802936,2.0,233718.11845605873,Ayes,1713790146,0.0
400,whitelisted_caller,CgnThbzAUfAhxTAHovd9sHyxLKASW12VkPyHE6GzLbf3TUV,0.2,1.0,204000.2,Ayes,1716888402,204000.0
392,whitelisted_caller,CwCxSRmEQybec5sgiZuDxpYeSdusNcUXeTTB2RCsmiaWHxi,195000.0,1.0,195000.0,Ayes,1715618406,0.0
384,whitelisted_caller,EX9uchmfeSqKTM7cMMg8DkH49XV8i4R7a7rqCn8btpZBHDP,186000.0,1.0,186000.0,Ayes,1714988946,0.0
380,whitelisted_caller,Cn4ySvWgpAqPVj1pwETTPd7eqpg85Cf3KGojG9CJfoK1gp8,180000.0,1.0,180000.0,Ayes,1713801006,0.0
374,whitelisted_caller,DMHW1yWZS4qingUwcJRjZSJ8SvbvMUEKZL1oMiwcUXHBGWA,150000.0,1.0,150000.0,Ayes,1712737218,0.0
393,whitelisted_caller,Emxxc2gJEw9T7FwsNr7WTyo5VueV4EjUqCuAq1pTggqQn95,123700.0,1.0,123700.0,Ayes,1715330802,0.0
400,whitelisted_caller,G4qkRv8nMwogsumvghqEkUXLJqe6VRy6gSNfU5YybNxy5M1,1.009000000001,1.0,120001.009,Ayes,1716888420,120000.0
380,whitelisted_caller,HgTtJusFEn2gmMmB5wmJDnMRXKD6dzqCpNR7a99kkQ7BNvX,114000.0,1.0,114000.0,Ayes,1713801006,0.0
373,whitelisted_caller,G1rrUNQSk7CjjEmLSGcpNu72tVtyzbWdUvgmSer9eBitXWf,100000.0,1.0,100000.0,Ayes,1712837808,0.0
393,whitelisted_caller,JE1vUiGwh3hACQhyZtjefb4CPe6uUerYEb5k31azhC75GqS,35600.0,2.0,71200.0,Ayes,1715584368,0.0
393,whitelisted_caller,Eb8kHiihAdfEXMBZfFQgauat5ncoWoBwZNJfKAy21u2qSzz,32343.9968000022,2.0,64687.9936000044,Ayes,1715583996,0.0
371,whitelisted_caller,Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,10000.0,6.0,60000.0,Ayes,1712229714,0.0
400,whitelisted_caller,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,360.444996954112,3.0,57416.39822794226,Ayes,1716577434,56335.06323707993
400,whitelisted_caller,HqSYPjBqFnf7Xtz46WVmuoTzhYLgLx6zuhCKhHXPJGn4wBt,1.089000000001,1.0,51001.089,Ayes,1716888444,51000.0
359,whitelisted_caller,EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,400.0,2.0,17108.940590514103,Ayes,1710842190,16308.940590514103
361,whitelisted_caller,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,1.0,11214.5,Ayes,1711455600,10214.5
387,whitelisted_caller,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,1.0,10000.0,Ayes,1715009982,0.0
375,whitelisted_caller,DQQJLG14UMDaaotKEVijFj9UngZuS8AwJxbGQ2z5Ah3zn4B,0.5,1.0,8520.6,Nays,1712912472,8520.1
375,whitelisted_caller,DG7cxb3rnFEhgFxvax4FMf5EVDCT2iZgGR2sKXciw3KFUzf,0.5,1.0,7267.8,Nays,1712912280,7267.3
384,whitelisted_caller,FndpA4bc82CDtiRMaGZQJmEum8m9JzZuQnxPfMKiykDUcN6,0.3,1.0,6757.2,Ayes,1714979676,6756.9
400,whitelisted_caller,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,6.0,6600.0,Ayes,1716755988,6000.0
374,whitelisted_caller,JGwLyn5AW1Hd9nqPgyNcJvXiPKAXyBqgvnx4ioniUZouUi9,0.32,1.0,5758.82,Ayes,1713257820,5758.5
384,whitelisted_caller,G9gjsavt1JzDAqsJGXphmRtyS23WfiFYBGQdqCeJ9HTWM5F,0.15,1.0,5684.25,Ayes,1714979706,5684.1
392,whitelisted_caller,GcDZZCVPwkPqoWxx8vfLb4Yfpz9yQ1f4XEyqngSH8ygsL9p,5.0,1.0,5025.0,Ayes,1715321712,5020.0
371,whitelisted_caller,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,1.0,2610.0,Ayes,1712398788,2600.0
374,whitelisted_caller,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu,1e-12,1.0,1821.000000000001,Ayes,1713193518,1821.0
400,whitelisted_caller,JFArxqV6rqPSwBok3zQDnj5jL6vwsZQDwYXXqb1cFygnYVt,400.0,4.0,1665.01,Ayes,1716284724,65.01
357,whitelisted_caller,Cdhjt72TSezVDkUzdgyoSwXByfwQJjuXSYcDs5L8snyB8Yx,60.0,0.1,1506.0,Ayes,1710343974,1500.0
373,whitelisted_caller,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,0.3,0.1,1295.1821,Ayes,1712326710,1295.1521
371,whitelisted_caller,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,4.0,1290.5,Ayes,1712676978,1090.5
372,whitelisted_caller,G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,1.0,0.1,1200.1,Ayes,1712248776,1200.0
380,whitelisted_caller,Cb3ZF5tmeTEDR44MRLAPH3agiv5ntLG6VMZ2U5x8QM3XkGY,25.0,6.0,1020.0,Ayes,1713614616,870.0
357,whitelisted_caller,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,470.0,2.0,940.0,Nays,1710436518,0.0
374,whitelisted_caller,FaeNU3wNmWCfycr1W1bmj8LwjnikwxNUeGjpcM6utv97Rpy,916.818007377036,1.0,916.818007377036,Ayes,1712256276,0.0
364,whitelisted_caller,J6ixMhTj9UmgZtNiWVGs1SdGm9HXSj7z2Emjc9syMgGdN5X,250.0,3.0,750.0,Ayes,1711735086,0.0
357,whitelisted_caller,Cu2z7dVVdzFyDVTjUPm7feV9RFQ8QiG3yLGsVEj5NohFXk7,300.0,2.0,600.0,Nays,1710545664,0.0
387,whitelisted_caller,EtommijqrHDFWFvBxP515oUbkXx9vK2qohzrmwpCXbU7Yx2,1.0,1.0,583.0,Ayes,1715296230,582.0
392,whitelisted_caller,D8DtYYJUUBoACJwJrLNyn8aYArumdViVWAcZRUKcxnSoV9D,550.0,1.0,550.0,Ayes,1715588772,0.0
372,whitelisted_caller,CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,40.0,1.0,491.7192,Ayes,1712174790,451.7192
357,whitelisted_caller,Dfg9gbTwG6aghwLYTfYoV4dXyhCRBLbRyFwENADHmg4zfDF,230.0,2.0,460.0,Nays,1710545682,0.0
