referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
324,auction_admin,JLQDhDpU3Z1uUfdMQUoKXambPuDsYFdbcZybDF2yME8aVNa,66000.0,1.0,66000.0,Ayes,1702903134,0.0
324,auction_admin,CfrvyqdQZSaQdvFvjEv9Rbyi225PmTefffqteNvSTCJg3Vq,63100.0,1.0,63100.0,Ayes,1702903374,0.0
320,auction_admin,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,60.0,6.0,53499.26131448817,Ayes,1701899184,53139.26131448817
324,auction_admin,GZPJSqoN3u49yyAZfcxtfHxBDrvxJ79BfZe2Q9aQvv2HrAN,50600.0,1.0,50600.0,Ayes,1702908204,0.0
324,auction_admin,DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed,0.2,1.0,41000.2,Ayes,1702821936,41000.0
324,auction_admin,CaxqdeqM8z5eLNN2Zytf3iaggp33acSTJgjYu5vU1aG6ZjZ,0.5,1.0,40454.1,Ayes,1702820586,40453.6
324,auction_admin,G2C5EyyUhKPXcDNZBbd2KgFS9RzEPazt4uT6pZ2oC9Pj5fK,0.07,1.0,40000.07,Ayes,1702889718,40000.0
324,auction_admin,DQQJLG14UMDaaotKEVijFj9UngZuS8AwJxbGQ2z5Ah3zn4B,0.2,1.0,28520.3,Ayes,1702821360,28520.1
324,auction_admin,DG7cxb3rnFEhgFxvax4FMf5EVDCT2iZgGR2sKXciw3KFUzf,0.5,1.0,27267.8,Ayes,1702889664,27267.3
324,auction_admin,FndpA4bc82CDtiRMaGZQJmEum8m9JzZuQnxPfMKiykDUcN6,0.3,1.0,26757.2,Ayes,1702820508,26756.9
320,auction_admin,JGwLyn5AW1Hd9nqPgyNcJvXiPKAXyBqgvnx4ioniUZouUi9,0.32,1.0,25758.82,Ayes,1702307940,25758.5
324,auction_admin,G9gjsavt1JzDAqsJGXphmRtyS23WfiFYBGQdqCeJ9HTWM5F,0.15,1.0,25684.25,Ayes,1702820538,25684.1
324,auction_admin,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,1.0,15513.708,Ayes,1702888596,14513.708
324,auction_admin,DSoJSqyrvwzKbNgnSLivM4y4K7FmsHwMe8gvdnsqUyDAiSK,0.2,1.0,15000.2,Ayes,1702823772,15000.0
324,auction_admin,H44xTCRGC7Lc9UNQYYt2zLM4PwbfhfLBsusFNNDqfXZEHZf,0.09,1.0,15000.09,Ayes,1702889820,15000.0
320,auction_admin,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,3.0,6300.0,Ayes,1702377690,6000.0
320,auction_admin,G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,0.008877550444,0.1,4941.000887755044,Ayes,1701908520,4941.0
320,auction_admin,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,1.0,2410.0,Ayes,1702245444,2400.0
320,auction_admin,GU77syTfPXdzKCuqASura9ZKgxmD2rEDhj89c9TGL6vc9Qw,50.0,1.0,1244.0,Ayes,1701850902,1194.0
