referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
289,big_spender,JLQDhDpU3Z1uUfdMQUoKXambPuDsYFdbcZybDF2yME8aVNa,57000.0,4.0,228000.0,Nays,1698133692,0.0
289,big_spender,GD6J9zAkhPpNppdqD4JVRfTUjiV3ys62H7h96vyq8Wh8g9L,17000.0,6.0,102000.0,Ayes,1698091296,0.0
287,big_spender,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,60.0,6.0,77594.21316001586,Nays,1697630976,77234.21316001586
289,big_spender,CaxqdeqM8z5eLNN2Zytf3iaggp33acSTJgjYu5vU1aG6ZjZ,0.5,1.0,40454.1,Nays,1698214470,40453.6
289,big_spender,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,4.0,40000.0,Ayes,1697768454,0.0
289,big_spender,DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,9700.0,4.0,38800.0,Ayes,1698038484,0.0
289,big_spender,HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,9200.0,4.0,36800.0,Ayes,1697768466,0.0
289,big_spender,FZoqYy3tPwys7Rxnh4MbH1DaqokcFnXDK7urF6TskViDWRE,15000.0,2.0,30000.0,Nays,1698067386,0.0
289,big_spender,G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,9500.0,3.0,28500.0,Nays,1697809248,0.0
289,big_spender,FndpA4bc82CDtiRMaGZQJmEum8m9JzZuQnxPfMKiykDUcN6,0.3,1.0,26757.2,Nays,1698040884,26756.9
321,big_spender,JGwLyn5AW1Hd9nqPgyNcJvXiPKAXyBqgvnx4ioniUZouUi9,0.32,1.0,25758.82,Ayes,1702309896,25758.5
289,big_spender,G9gjsavt1JzDAqsJGXphmRtyS23WfiFYBGQdqCeJ9HTWM5F,0.15,1.0,25684.25,Nays,1698214446,25684.1
289,big_spender,HWWqWaUVzsKjUWndXRhvyXhm9C5MevEXk74CXfdE6XbBok9,25500.0,1.0,25500.0,Nays,1698162474,0.0
289,big_spender,FUFgDE24fyYqW4jiQ87tzjK2zBBSixvXhyjgegQCjuyfJja,5850.0,4.0,23400.0,Ayes,1698038430,0.0
316,big_spender,DREQKFXhEa7UxRqwkih4xHUEcg2B1eDLe4nKzfwaNbwf9pZ,5555.0,4.0,22220.0,Nays,1702299372,0.0
289,big_spender,G77MNUM4sHzZdhmbQrnoEjFbgKgoAdsbPpFGNpmQXtbxRjH,5545.0,4.0,22180.0,Ayes,1697768484,0.0
287,big_spender,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,6.0,20910.808,Nays,1697619858,14910.808
316,big_spender,Gtc5H4eX33uijXFsQCyt2MwrQyUWcLE53PwRLBMZvMFZvyy,3000.0,6.0,18000.0,Ayes,1702284792,0.0
289,big_spender,HwWKsFgt8k2LmLPtei8FeFQbgP4826t74qKNWf1cBhy4qxT,4333.0,4.0,17332.0,Ayes,1697538126,0.0
289,big_spender,Df9wxcFDTvUephtwYNvZyaweiZBJc8rtCmDeQYr4nZc7Hse,4250.0,4.0,17000.0,Ayes,1697538096,0.0
289,big_spender,CsDsqzXnnY12g8r1St1iKz4JQo2mj8gJE1opppCNPvWrBL3,4200.0,4.0,16800.0,Ayes,1697538222,0.0
289,big_spender,GegsQZDJNv7t1VfYdRdCB3s1L859eHTUiiyhXZSjZHn3WtV,16000.0,1.0,16000.0,Nays,1698067434,0.0
316,big_spender,EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,400.0,3.0,15805.0,Ayes,1701708360,14605.0
289,big_spender,Fsv2Vn8MVcv76oi85XEtmA6sz7nQCsxLymRdndFyrnAntnt,2271.0,6.0,13626.0,Ayes,1697545680,0.0
316,big_spender,CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,1667.0,6.0,10002.0,Nays,1701114138,0.0
289,big_spender,HNJUTDoHN8jv74HybLRJa5ZSPyjykFbBdhz6pcAt1ezp9Sq,2350.0,4.0,9400.0,Ayes,1697538066,0.0
289,big_spender,EGVQCe73TpFyAZx5uKfE1222XfkT3BSKozjgcqzLBnc5eYo,3671.0,2.0,7352.0,Nays,1697651562,10.0
316,big_spender,Hk7xzDRvDDTCaasaqkZqtQriUzUkYHRy5K4EDs7t88zdykN,1193.765188729165,6.0,7162.59113237499,Ayes,1702283544,0.0
289,big_spender,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,1.0,6100.0,Nays,1698045354,6000.0
321,big_spender,DKamidiu72ZUKNvP4Yqm8FtSF1ooEo5jj7ijp3ycv2AGjPD,1165.0,5.0,5825.0,Ayes,1702914276,0.0
289,big_spender,HpaRVaJxsJ36BMqC32Te9cveDfkvRQDZyCwF9QBqLg7Ti3e,5800.0,1.0,5800.0,Nays,1698642096,0.0
289,big_spender,CzBwcfFuWHRw5JJ3ZZF5xWvKZKrvQgcsg2XJPUwMLx9fm1u,1800.0,3.0,5400.0,Nays,1698064296,0.0
