referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
286,lease_admin,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,1.0,15812.308,Ayes,1697081862,14812.308
286,lease_admin,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,1.0,10000.0,Ayes,1697288028,0.0
286,lease_admin,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,1.0,6100.0,Ayes,1697462316,6000.0
286,lease_admin,G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,0.008877550444,0.1,4941.000887755044,Ayes,1697205078,4941.0
286,lease_admin,DDbQ9YnjeLS6DvZgvTgFvttnqJZrD12gVq4889yh9opXVS6,1.0,1.0,3013.0,Ayes,1697565540,3012.0
286,lease_admin,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,1.0,2410.0,Ayes,1696976064,2400.0
286,lease_admin,G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,1.0,0.1,1200.1,Ayes,1697032746,1200.0
286,lease_admin,EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,400.0,3.0,1200.0,Ayes,1697713566,0.0
286,lease_admin,GU77syTfPXdzKCuqASura9ZKgxmD2rEDhj89c9TGL6vc9Qw,50.0,1.0,1003.05,Ayes,1697199414,953.05
286,lease_admin,JFArxqV6rqPSwBok3zQDnj5jL6vwsZQDwYXXqb1cFygnYVt,300.0,3.0,965.0,Ayes,1696928976,65.0
286,lease_admin,D8DtYYJUUBoACJwJrLNyn8aYArumdViVWAcZRUKcxnSoV9D,400.0,2.0,800.0,Ayes,1697446440,0.0
286,lease_admin,D2r9AudNkHHpKfGtS5rpVHkchBoBhRsR6TmNcTuU4yiTp6w,188.312,1.0,700.812,Ayes,1697485680,512.5
286,lease_admin,JBmYvpebasxckBsohyyWse7yggsowfgt5xRJvkzu2txUJdi,100.0,1.0,700.0,Ayes,1697009304,600.0
286,lease_admin,E2gCFEisQ3k4LmaJHBysj8f1SRoG6jCo5ffFdX9XidqsjDC,80.0,1.0,644.5,Ayes,1697011272,564.5
286,lease_admin,DczAw1iwYjCftH3NJC1Cp3oXLxUbLSKnb4d2UrXNVLMKrgo,120.0,5.0,600.0,Ayes,1696930122,0.0
286,lease_admin,FGASn5MVrRKpvYkULb9UsMoqjJQFG2p3izNSzCGSzYa2dAP,60.0,1.0,600.0,Ayes,1697201190,540.0
286,lease_admin,D5aAp1y8XfkrmtPqsGFZtCjJrPZqKrsG2ceSha846jy6RMU,121.159114092605,0.1,589.115911409261,Ayes,1697040012,577.0
286,lease_admin,JBwJ33SrTv6jFZroGBWNdpR2Kat3GW5CfSvhDFqvwxLUU4C,60.0,1.0,540.4,Ayes,1697025270,480.4
286,lease_admin,HvshspvW9yk29mrCSBLcpv8MRbna4incDkt5C86ezZ6XKPH,100.0,1.0,532.0,Ayes,1696945248,432.0
286,lease_admin,FALhH3XMMbXiKoG6u9XS8CJuxiA2eKA2HFn4oh3JpfwvBNF,0.0,1.0,498.5,Ayes,1697179878,498.5
286,lease_admin,GJEb4yszWSHdZFPjgBn8rWHXcmCWpzxeRAFUzSkEMUWQLj8,122.223963176267,4.0,488.895852705068,Ayes,1697129340,0.0
286,lease_admin,Cx8jJMMwTcEwTMHSQDdwTwFJCmmTsMVz25auV95WkFBZnZv,50.0,1.0,485.5,Ayes,1697179866,435.5
286,lease_admin,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,6.0,484.3,Ayes,1696927416,184.3
