referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
296,referendum_killer,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,60.0,6.0,75706.58905974485,Nays,1698102234,75346.58905974485
296,referendum_killer,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,3.0,30000.0,Ayes,1698147750,0.0
296,referendum_killer,HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,9200.0,3.0,27600.0,Ayes,1698147762,0.0
296,referendum_killer,FUFgDE24fyYqW4jiQ87tzjK2zBBSixvXhyjgegQCjuyfJja,5850.0,3.0,17550.0,Ayes,1698147792,0.0
296,referendum_killer,DREQKFXhEa7UxRqwkih4xHUEcg2B1eDLe4nKzfwaNbwf9pZ,5555.0,3.0,16665.0,Ayes,1698147786,0.0
296,referendum_killer,G77MNUM4sHzZdhmbQrnoEjFbgKgoAdsbPpFGNpmQXtbxRjH,5545.0,3.0,16635.0,Ayes,1698147774,0.0
296,referendum_killer,CsDsqzXnnY12g8r1St1iKz4JQo2mj8gJE1opppCNPvWrBL3,4200.0,3.0,12600.0,Ayes,1698147804,0.0
295,referendum_killer,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,1.0,6100.0,Nays,1698047040,6000.0
295,referendum_killer,G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,0.008877550444,0.1,4941.000887755044,Nays,1698185934,4941.0
296,referendum_killer,DMF8a34emwapz9mV5P5PTDcghh1ZR3miH9ad9mHzfAUMSXU,4000.0,1.0,4000.0,Nays,1698074958,0.0
295,referendum_killer,CzBwcfFuWHRw5JJ3ZZF5xWvKZKrvQgcsg2XJPUwMLx9fm1u,1900.0,2.0,3800.0,Nays,1698920100,0.0
296,referendum_killer,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,1.0,2410.0,Nays,1697999268,2400.0
296,referendum_killer,GPeyGKPDX5mEdLvrMYyEQyvzL49iVezQBaGZR7Hw7gXhzE6,750.0,3.0,2250.0,Nays,1698338394,0.0
296,referendum_killer,GU77syTfPXdzKCuqASura9ZKgxmD2rEDhj89c9TGL6vc9Qw,50.0,1.0,1244.05,Nays,1698058350,1194.05
296,referendum_killer,E5djM6u2p67C1LfkSyNDfRnvYwg6HAQxwPB8yK6Q5eAwdjn,208.0,5.0,1040.0,Nays,1698369528,0.0
295,referendum_killer,HWyLYmpW68JGJYoVJcot6JQ1CJbtUQeTdxfY1kUTsvGCB1r,111.0,6.0,1035.03670791593,Ayes,1698995238,369.03670791593
295,referendum_killer,D2r9AudNkHHpKfGtS5rpVHkchBoBhRsR6TmNcTuU4yiTp6w,188.312,1.0,700.812,Nays,1698081522,512.5
295,referendum_killer,JBmYvpebasxckBsohyyWse7yggsowfgt5xRJvkzu2txUJdi,100.0,1.0,700.0,Nays,1697970072,600.0
296,referendum_killer,E2gCFEisQ3k4LmaJHBysj8f1SRoG6jCo5ffFdX9XidqsjDC,80.0,1.0,644.5,Nays,1697869482,564.5
296,referendum_killer,DczAw1iwYjCftH3NJC1Cp3oXLxUbLSKnb4d2UrXNVLMKrgo,120.0,5.0,600.0,Nays,1697904918,0.0
296,referendum_killer,FGASn5MVrRKpvYkULb9UsMoqjJQFG2p3izNSzCGSzYa2dAP,60.0,1.0,600.0,Nays,1698140988,540.0
296,referendum_killer,D5aAp1y8XfkrmtPqsGFZtCjJrPZqKrsG2ceSha846jy6RMU,122.305864624705,0.1,589.230586462471,Nays,1698051606,577.0
296,referendum_killer,FALhH3XMMbXiKoG6u9XS8CJuxiA2eKA2HFn4oh3JpfwvBNF,50.0,1.0,548.5,Nays,1698085830,498.5
