referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
299,root,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,60.0,6.0,72755.06043335918,Nays,1699134084,72395.06043335918
293,root,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,6.0,60000.0,Ayes,1698757224,0.0
293,root,DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,9600.0,6.0,57600.0,Ayes,1698757206,0.0
293,root,JLQDhDpU3Z1uUfdMQUoKXambPuDsYFdbcZybDF2yME8aVNa,57000.0,1.0,57000.0,Nays,1698044520,0.0
293,root,HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,9200.0,6.0,55200.0,Ayes,1698757230,0.0
293,root,CaxqdeqM8z5eLNN2Zytf3iaggp33acSTJgjYu5vU1aG6ZjZ,0.5,1.0,40454.1,Nays,1698825390,40453.6
293,root,FUFgDE24fyYqW4jiQ87tzjK2zBBSixvXhyjgegQCjuyfJja,5850.0,6.0,35100.0,Ayes,1698757260,0.0
293,root,DREQKFXhEa7UxRqwkih4xHUEcg2B1eDLe4nKzfwaNbwf9pZ,5555.0,6.0,33330.0,Ayes,1698757254,0.0
293,root,G77MNUM4sHzZdhmbQrnoEjFbgKgoAdsbPpFGNpmQXtbxRjH,5545.0,6.0,33270.0,Ayes,1698757242,0.0
293,root,GegsQZDJNv7t1VfYdRdCB3s1L859eHTUiiyhXZSjZHn3WtV,16000.0,2.0,32000.0,Nays,1698067170,0.0
293,root,FZoqYy3tPwys7Rxnh4MbH1DaqokcFnXDK7urF6TskViDWRE,15000.0,2.0,30000.0,Nays,1698067242,0.0
293,root,DQQJLG14UMDaaotKEVijFj9UngZuS8AwJxbGQ2z5Ah3zn4B,0.2,1.0,28520.3,Nays,1698825264,28520.1
293,root,DG7cxb3rnFEhgFxvax4FMf5EVDCT2iZgGR2sKXciw3KFUzf,0.5,1.0,27267.8,Nays,1698825246,27267.3
293,root,FndpA4bc82CDtiRMaGZQJmEum8m9JzZuQnxPfMKiykDUcN6,0.3,1.0,26757.2,Nays,1698040818,26756.9
293,root,HwWKsFgt8k2LmLPtei8FeFQbgP4826t74qKNWf1cBhy4qxT,4333.0,6.0,25998.0,Ayes,1698757278,0.0
293,root,JGwLyn5AW1Hd9nqPgyNcJvXiPKAXyBqgvnx4ioniUZouUi9,0.32,1.0,25758.82,Nays,1698041874,25758.5
293,root,HWWqWaUVzsKjUWndXRhvyXhm9C5MevEXk74CXfdE6XbBok9,25500.0,1.0,25500.0,Nays,1698162528,0.0
293,root,Df9wxcFDTvUephtwYNvZyaweiZBJc8rtCmDeQYr4nZc7Hse,4250.0,6.0,25500.0,Ayes,1698757290,0.0
293,root,CsDsqzXnnY12g8r1St1iKz4JQo2mj8gJE1opppCNPvWrBL3,4200.0,6.0,25200.0,Ayes,1698757272,0.0
318,root,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,6.0,20585.601000000002,Nays,1701520446,14585.601
293,root,DSoJSqyrvwzKbNgnSLivM4y4K7FmsHwMe8gvdnsqUyDAiSK,0.2,1.0,15000.2,Nays,1698825342,15000.0
293,root,HNJUTDoHN8jv74HybLRJa5ZSPyjykFbBdhz6pcAt1ezp9Sq,2500.0,6.0,15000.0,Ayes,1698757308,0.0
318,root,EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,0.0,1.0,10115.0,Ayes,1701857022,10115.0
293,root,EGVQCe73TpFyAZx5uKfE1222XfkT3BSKozjgcqzLBnc5eYo,3671.0,2.0,7356.0,Nays,1697891676,14.0
293,root,Day71GSJAxUUiFic8bVaWoAczR3Ue3jNonBZthVHp2BKzyJ,700.42,3.0,5541.457159009948,Nays,1697827890,3440.197159009947
318,root,G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,0.008877550444,0.1,4941.000887755044,Nays,1701908298,4941.0
293,root,DMF8a34emwapz9mV5P5PTDcghh1ZR3miH9ad9mHzfAUMSXU,4000.0,1.0,4000.0,Nays,1698074868,0.0
293,root,CzBwcfFuWHRw5JJ3ZZF5xWvKZKrvQgcsg2XJPUwMLx9fm1u,1900.0,2.0,3800.0,Nays,1698919836,0.0
299,root,DDbQ9YnjeLS6DvZgvTgFvttnqJZrD12gVq4889yh9opXVS6,1.0,1.0,3013.0,Nays,1699280628,3012.0
293,root,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,1.0,2410.0,Nays,1697999208,2400.0
293,root,GPeyGKPDX5mEdLvrMYyEQyvzL49iVezQBaGZR7Hw7gXhzE6,750.0,3.0,2250.0,Nays,1698338478,0.0
293,root,D8DtYYJUUBoACJwJrLNyn8aYArumdViVWAcZRUKcxnSoV9D,500.0,3.0,1500.0,Nays,1697819052,0.0
293,root,GU77syTfPXdzKCuqASura9ZKgxmD2rEDhj89c9TGL6vc9Qw,50.0,1.0,1243.05,Nays,1698058314,1193.05
318,root,Ew4JDQENKYKdBkgW6bJfFqYYXaDw4kupXBrXyMcJoU6Lc9Z,100.0,1.0,1220.0,Ayes,1701773448,1120.0
299,root,G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,1.0,0.1,1200.1,Nays,1699421238,1200.0
293,root,GyUiHqdLNZqer1zWaaWu6dxEF2T2KJ8jpMtRzmyy5GzPr1m,190.0,6.0,1140.0,Ayes,1698777522,0.0
293,root,E5djM6u2p67C1LfkSyNDfRnvYwg6HAQxwPB8yK6Q5eAwdjn,208.0,5.0,1040.0,Nays,1697822526,0.0
293,root,HWyLYmpW68JGJYoVJcot6JQ1CJbtUQeTdxfY1kUTsvGCB1r,111.0,6.0,1012.78670791593,Nays,1698995208,346.78670791593
293,root,JFArxqV6rqPSwBok3zQDnj5jL6vwsZQDwYXXqb1cFygnYVt,300.0,3.0,965.02,Nays,1697980782,65.02
318,root,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,410.0,2.0,820.0,Ayes,1701437658,0.0
318,root,DzF1mzay4Nm1vepKtMWAAMaxZeovTjCZEzBLEx6J7Bnf4bd,45.0,4.0,750.0,Nays,1701871596,570.0
318,root,D2r9AudNkHHpKfGtS5rpVHkchBoBhRsR6TmNcTuU4yiTp6w,188.312,1.0,700.812,Nays,1701684054,512.5
318,root,JBmYvpebasxckBsohyyWse7yggsowfgt5xRJvkzu2txUJdi,100.0,1.0,700.0,Ayes,1701343590,600.0
299,root,DyxpaKdwEUP5XCN4Jme11hVRLu87AqKz2q1xBH9xNKzmirx,70.0,2.0,680.0,Nays,1699299030,540.0
318,root,E2gCFEisQ3k4LmaJHBysj8f1SRoG6jCo5ffFdX9XidqsjDC,100.0,1.0,665.0,Nays,1701336942,565.0
318,root,DDL4xHwuxi6HFa5wtiikEGQ7yZxTCju3bUXazTxku1Vydrr,80.0,1.0,650.0,Ayes,1701330174,570.0
318,root,GbmW3q2Hv5UaiRreQuBtevXb8DHdvsRFkBGXe2Xz1Y9FM8a,53.0,1.0,633.25,Nays,1701856092,580.25
299,root,Hgjqt5NUcKzNckgz23xfaJL89onmvmTrywZ6xH5FhY7LfKG,57.0,1.0,622.0,Nays,1699113834,565.0
318,root,FGASn5MVrRKpvYkULb9UsMoqjJQFG2p3izNSzCGSzYa2dAP,80.0,1.0,620.0,Ayes,1701435468,540.0
318,root,FfbuQ6wUEfGKxCQpiQcxfMBY5oxKBHiGQVDzAz61Ui57TPY,55.5555,1.0,600.5555,Ayes,1701388566,545.0
318,root,D5aAp1y8XfkrmtPqsGFZtCjJrPZqKrsG2ceSha846jy6RMU,144.107853138439,0.1,591.410785313844,Ayes,1702047606,577.0
318,root,FALhH3XMMbXiKoG6u9XS8CJuxiA2eKA2HFn4oh3JpfwvBNF,80.0,1.0,578.5,Ayes,1701361368,498.5
318,root,HRfqVd1FL77o9EdYDZtooZ7cPxRx2xYvWnSe3YstKTGmJPK,95.0,1.0,575.0,Ayes,1702065456,480.0
293,root,FfbGaF1B6hNMPNKcjgyciU2RqbAgF8UmW1dAxTi667odgR5,100.0,1.0,572.0,Nays,1698116292,472.0
318,root,JBwJ33SrTv6jFZroGBWNdpR2Kat3GW5CfSvhDFqvwxLUU4C,70.0,1.0,550.4,Nays,1701530532,480.4
318,root,GD6MTUJG9Ym7tS6PLF42yreHpqpvFgPcqPwcyRGiMv2TSGR,100.0,1.0,550.0,Ayes,1701350046,450.0
318,root,HvshspvW9yk29mrCSBLcpv8MRbna4incDkt5C86ezZ6XKPH,100.0,1.0,532.0,Ayes,1701295770,432.0
318,root,Cx8jJMMwTcEwTMHSQDdwTwFJCmmTsMVz25auV95WkFBZnZv,80.0,1.0,515.5,Nays,1701361428,435.5
318,root,Cu2z7dVVdzFyDVTjUPm7feV9RFQ8QiG3yLGsVEj5NohFXk7,250.0,2.0,500.0,Ayes,1701437688,0.0
