referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
312,small_tipper,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,60.0,6.0,55663.14292878732,Nays,1701107382,55303.14292878732
312,small_tipper,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,6.0,20905.808,Nays,1700866746,14905.808
312,small_tipper,CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,1667.0,6.0,10002.0,Nays,1701114096,0.0
285,small_tipper,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,1.0,10000.0,Ayes,1697288046,0.0
314,small_tipper,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,1.0,6100.0,Nays,1701294990,6000.0
312,small_tipper,G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,0.008877550444,1.0,4941.008877550444,Nays,1701123312,4941.0
314,small_tipper,DDbQ9YnjeLS6DvZgvTgFvttnqJZrD12gVq4889yh9opXVS6,1.0,1.0,3013.0,Nays,1701283260,3012.0
314,small_tipper,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,1.0,2410.0,Nays,1701170850,2400.0
314,small_tipper,GU77syTfPXdzKCuqASura9ZKgxmD2rEDhj89c9TGL6vc9Qw,50.0,1.0,1243.05,Nays,1700829594,1193.05
312,small_tipper,G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,1.0,0.1,1200.1,Nays,1701348684,1200.0
314,small_tipper,HWyLYmpW68JGJYoVJcot6JQ1CJbtUQeTdxfY1kUTsvGCB1r,111.0,6.0,1014.03670791593,Nays,1700778468,348.03670791593
325,small_tipper,JFArxqV6rqPSwBok3zQDnj5jL6vwsZQDwYXXqb1cFygnYVt,300.0,3.0,900.0,Ayes,1702970862,0.0
314,small_tipper,FGASn5MVrRKpvYkULb9UsMoqjJQFG2p3izNSzCGSzYa2dAP,80.0,4.0,860.0,Nays,1700777190,540.0
325,small_tipper,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,420.0,2.0,840.0,Ayes,1702924404,0.0
314,small_tipper,DzF1mzay4Nm1vepKtMWAAMaxZeovTjCZEzBLEx6J7Bnf4bd,45.0,4.0,750.0,Nays,1701871560,570.0
314,small_tipper,D2r9AudNkHHpKfGtS5rpVHkchBoBhRsR6TmNcTuU4yiTp6w,188.312,1.0,700.812,Nays,1700802252,512.5
325,small_tipper,JBmYvpebasxckBsohyyWse7yggsowfgt5xRJvkzu2txUJdi,100.0,1.0,700.0,Ayes,1703160210,600.0
285,small_tipper,Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,90.0,2.0,687.0,Ayes,1697096772,507.0
312,small_tipper,E2gCFEisQ3k4LmaJHBysj8f1SRoG6jCo5ffFdX9XidqsjDC,100.0,1.0,664.5,Nays,1700847480,564.5
285,small_tipper,DczAw1iwYjCftH3NJC1Cp3oXLxUbLSKnb4d2UrXNVLMKrgo,120.0,5.0,600.0,Ayes,1696945452,0.0
325,small_tipper,D5aAp1y8XfkrmtPqsGFZtCjJrPZqKrsG2ceSha846jy6RMU,152.02880317017,0.1,592.202880317017,Ayes,1703156406,577.0
325,small_tipper,FALhH3XMMbXiKoG6u9XS8CJuxiA2eKA2HFn4oh3JpfwvBNF,80.0,1.0,578.5,Ayes,1702931214,498.5
325,small_tipper,JBwJ33SrTv6jFZroGBWNdpR2Kat3GW5CfSvhDFqvwxLUU4C,70.0,1.0,550.4,Ayes,1703266818,480.4
314,small_tipper,HvshspvW9yk29mrCSBLcpv8MRbna4incDkt5C86ezZ6XKPH,100.0,1.0,532.0,Nays,1700867478,432.0
325,small_tipper,Cu2z7dVVdzFyDVTjUPm7feV9RFQ8QiG3yLGsVEj5NohFXk7,260.0,2.0,520.0,Ayes,1702924614,0.0
325,small_tipper,Cx8jJMMwTcEwTMHSQDdwTwFJCmmTsMVz25auV95WkFBZnZv,80.0,1.0,515.5,Ayes,1702931238,435.5
285,small_tipper,CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,39.0,1.0,492.8001,Ayes,1696963080,453.8001
314,small_tipper,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu,1e-12,1.0,490.000000000001,Nays,1700981184,490.0
285,small_tipper,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,6.0,484.3,Ayes,1697048124,184.3
325,small_tipper,HTyzs9XAxUpHpNe7Kwhp3M5kCJuxFm4AYRCpYjcHdhiVDFE,50.0,1.0,458.0,Ayes,1703182776,408.0
325,small_tipper,Dtdb7sR6NYGJbrHYqeW2ANwvY1mXSh1yuP2JHJm9ZmxMwyF,60.0,1.0,420.0,Ayes,1703087010,360.0
314,small_tipper,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,0.2,0.1,404.2548,Nays,1701178686,404.2348
325,small_tipper,Dfg9gbTwG6aghwLYTfYoV4dXyhCRBLbRyFwENADHmg4zfDF,190.0,2.0,380.0,Ayes,1702924578,0.0
285,small_tipper,GJEb4yszWSHdZFPjgBn8rWHXcmCWpzxeRAFUzSkEMUWQLj8,122.223963176267,3.0,366.671889528801,Ayes,1697129310,0.0
325,small_tipper,GL7MYnpQr7jgJqK8wSRUQuob1TvTY7uRJP6LUNeUyvMUhQR,170.0,2.0,340.0,Ayes,1702924596,0.0
314,small_tipper,GXNQDB52HeFUpgbcCBMbWsbMmG4ntu9JNXXx34mADjTe4wV,60.0,1.0,300.0,Nays,1701948318,240.0
285,small_tipper,GJWFwL8bxZszS5nJNWCV6vC5nBERLgscKSeNF3U9ZcQxL12,70.0,4.0,280.0,Ayes,1697000670,0.0
314,small_tipper,E84ypSizBDJDxwhtYy4Q4t5RKsy1DppPuU1AP47HVeKhXYt,55.0,5.0,275.0,Nays,1701803724,0.0
325,small_tipper,G4urZifj85pm9wXefakQwYfBW86C7cfnbZaLZzZSEnAZzGJ,50.0,0.1,275.0,Ayes,1703162358,270.0
314,small_tipper,DVasGX5qBMrCwNM8SnLyFrRpeniAwAsWe2noN6jPdx1jjao,275.0,1.0,275.0,Nays,1701249210,0.0
