referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
301,whitelisted_caller,Cn4ySvWgpAqPVj1pwETTPd7eqpg85Cf3KGojG9CJfoK1gp8,250000.0,2.0,500000.0,Ayes,1699441692,0.0
294,whitelisted_caller,CwCxSRmEQybec5sgiZuDxpYeSdusNcUXeTTB2RCsmiaWHxi,195000.0,1.0,195000.0,Ayes,1698308310,0.0
294,whitelisted_caller,EX9uchmfeSqKTM7cMMg8DkH49XV8i4R7a7rqCn8btpZBHDP,186000.0,1.0,186000.0,Ayes,1698308196,0.0
294,whitelisted_caller,DMHW1yWZS4qingUwcJRjZSJ8SvbvMUEKZL1oMiwcUXHBGWA,150000.0,1.0,150000.0,Ayes,1698308148,0.0
294,whitelisted_caller,Emxxc2gJEw9T7FwsNr7WTyo5VueV4EjUqCuAq1pTggqQn95,123700.0,1.0,123700.0,Ayes,1698308100,0.0
294,whitelisted_caller,HgTtJusFEn2gmMmB5wmJDnMRXKD6dzqCpNR7a99kkQ7BNvX,114000.0,1.0,114000.0,Ayes,1698308274,0.0
301,whitelisted_caller,G1rrUNQSk7CjjEmLSGcpNu72tVtyzbWdUvgmSer9eBitXWf,100000.0,1.0,100000.0,Ayes,1699352610,0.0
297,whitelisted_caller,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,60.0,6.0,78023.76885772642,Ayes,1698102234,77663.76885772642
297,whitelisted_caller,JLQDhDpU3Z1uUfdMQUoKXambPuDsYFdbcZybDF2yME8aVNa,65000.0,1.0,65000.0,Ayes,1698504606,0.0
297,whitelisted_caller,CfrvyqdQZSaQdvFvjEv9Rbyi225PmTefffqteNvSTCJg3Vq,62000.0,1.0,62000.0,Ayes,1698513024,0.0
297,whitelisted_caller,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,6.0,60000.0,Nays,1698593028,0.0
297,whitelisted_caller,GtRQd4YsEJiHWyWws5yBCMLhWPTUELHVQEDFRCvfPMfnWKW,59800.0,1.0,59800.0,Ayes,1698495024,0.0
301,whitelisted_caller,DKPTcrQCX4op7MbBGTDUGtRJ1VHnPWqr1CSqUMr8bz17hZE,9700.0,6.0,58200.0,Nays,1699370688,0.0
301,whitelisted_caller,HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,9200.0,6.0,55200.0,Nays,1699370658,0.0
305,whitelisted_caller,GZPJSqoN3u49yyAZfcxtfHxBDrvxJ79BfZe2Q9aQvv2HrAN,50000.0,1.0,50000.0,Ayes,1700580486,0.0
297,whitelisted_caller,EPVX8ZxarAfG4o9PN6yUnkSaP4jA3b6Nj6irnDApixMMeWY,44400.0,1.0,44400.0,Ayes,1698521508,0.0
305,whitelisted_caller,DV8mbVPenHC5JrpWqAjkTXQRAnMDyFk2SzoxKWqRnrXkqed,0.1,1.0,41000.1,Ayes,1700558010,41000.0
301,whitelisted_caller,CaxqdeqM8z5eLNN2Zytf3iaggp33acSTJgjYu5vU1aG6ZjZ,0.5,1.0,40454.1,Ayes,1699272708,40453.6
297,whitelisted_caller,G2C5EyyUhKPXcDNZBbd2KgFS9RzEPazt4uT6pZ2oC9Pj5fK,0.07,1.0,40000.07,Ayes,1698214578,40000.0
305,whitelisted_caller,H4635Bjj3X7TjnQhd55p9DyFPK39JiRypmCnsDhS3NHSMS5,39000.0,1.0,39000.0,Ayes,1700582574,0.0
297,whitelisted_caller,HbU6yWNQp188SsrKtfrq9ZzJFhjjQisyFjcVxRp25ZPrB8M,38600.0,1.0,38600.0,Ayes,1698579990,0.0
