referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
381,medium_spender,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,6.0,60000.0,Ayes,1714222494,0.0
381,medium_spender,HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,9400.0,6.0,56400.0,Ayes,1714222512,0.0
396,medium_spender,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,359.142797186587,3.0,50313.190004272445,Nays,1716318216,49235.76161271268
381,medium_spender,HLYNphFbqtLhgFVbtdS8fgv6nU2wV9sxTtxhpRVdLAtZfpk,7302.875449462148,5.0,36514.37724731074,Nays,1714377186,0.0
396,medium_spender,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,1.0,36100.0,Nays,1716756246,36000.0
381,medium_spender,E3FoH1T2E2Lnf27UFLczyYA8yqNyaJQB2p2GtewXiTUrAvS,7201.653931380554,5.0,36008.26965690277,Nays,1714377228,0.0
397,medium_spender,G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,12000.0,3.0,36000.0,Ayes,1715931306,0.0
381,medium_spender,HhdCvwy2ZQkbVL4S7hiJxuWeLzjxJU2BttS79uT9FVSFLJa,7045.009944766133,5.0,35225.04972383066,Nays,1714377150,0.0
381,medium_spender,HERTWZK4ZpmuXsEgW3UfL5x27XCdT5fE9x4QRbyNWifafdU,7.0,1.0,33457.0,Nays,1714521762,33450.0
381,medium_spender,DREQKFXhEa7UxRqwkih4xHUEcg2B1eDLe4nKzfwaNbwf9pZ,5555.0,6.0,33330.0,Ayes,1714222584,0.0
381,medium_spender,G77MNUM4sHzZdhmbQrnoEjFbgKgoAdsbPpFGNpmQXtbxRjH,5545.0,6.0,33270.0,Ayes,1714222542,0.0
396,medium_spender,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,4.0,31491.5,Nays,1715888208,31291.5
381,medium_spender,Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,100.0,1.0,30100.0,Nays,1714110990,30000.0
397,medium_spender,FDL99LDYERjevxPnXBjNGHZv13FxCGHrqh2N5zWQXx1finf,90.0,1.0,30090.0,Ayes,1716804252,30000.0
397,medium_spender,EocabFvqttEamwQKoFyQxLPnx9HWDdVDS9wwrUX1aKKbJ5g,70.0,0.1,30007.0,Ayes,1716466470,30000.0
358,medium_spender,J9FdcwiNLso4hcJFTeQvy7f7zszGhKoVh5hdBM2qF7joJQa,0.1,1.0,30000.1,Ayes,1711480572,30000.0
358,medium_spender,EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,410.0,3.0,18725.0,Ayes,1710634506,17495.0
381,medium_spender,Fsv2Vn8MVcv76oi85XEtmA6sz7nQCsxLymRdndFyrnAntnt,2271.0,5.0,11355.0,Nays,1714560570,0.0
358,medium_spender,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,1.0,11229.5,Ayes,1711455702,10229.5
381,medium_spender,HRs3r9sUx16zv1ihw12ztch7a5gNFzuHnSx77HdXsHfEY1V,100.0,3.0,9100.0,Ayes,1714343160,8800.0
381,medium_spender,FtUXQRjFbo4ZYv8eMma9oV4haLwMeWzyjSvNeYSNPfMue9W,1400.0,5.0,7000.0,Nays,1714522632,0.0
381,medium_spender,DKamidiu72ZUKNvP4Yqm8FtSF1ooEo5jj7ijp3ycv2AGjPD,1165.0,5.0,5825.0,Nays,1714560654,0.0
381,medium_spender,Dw2JuXQYjtrN4oHxEfrALeHvGQTKybpsZxov5H89rZ1Sz1z,1002.0,5.0,5010.0,Nays,1714561068,0.0
381,medium_spender,EUiTJHZyhpTbRX4ywRzxK47JMoPnbxN7Ex4DJ4Lj4g3SsqJ,999.0,5.0,4995.0,Nays,1714560900,0.0
397,medium_spender,GKycVDHctU5wzkvUoYQLNr8a1wtJQzCwY8tfRTBYK52mHLF,1100.0,3.0,3300.0,Ayes,1715931348,0.0
381,medium_spender,Day71GSJAxUUiFic8bVaWoAczR3Ue3jNonBZthVHp2BKzyJ,800.0,4.0,3288.009592600811,Nays,1714555452,88.009592600811
381,medium_spender,EQSDJuPF9FrLnR7s4o2QCzgXJ6KTz2HzAu4YwvKgC7Fx1ak,635.0,5.0,3175.0,Nays,1714168986,0.0
381,medium_spender,EfB7mXZhB8rgWZkPhewSSigqK3jWArVkVtC2YTMSqg9XDTe,1340.0,2.0,2680.0,Ayes,1714378032,0.0
385,medium_spender,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,1.0,2610.0,Nays,1715544420,2600.0
358,medium_spender,D5zK1XNGudsuj5cLahLTTMypVZwAibvMNuC9dNDm9wyQESm,505.0,5.0,2525.0,Ayes,1710634746,0.0
