referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
355,referendum_canceller,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,328.414622569964,3.0,59040.14980223639,Nays,1709948832,58054.9059345265
355,referendum_canceller,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,1.0,11038.5,Nays,1709816544,10038.5
355,referendum_canceller,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,1.0,6100.0,Nays,1709839272,6000.0
355,referendum_canceller,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu,1e-12,1.0,1821.000000000001,Nays,1709891922,1821.0
355,referendum_canceller,Cdhjt72TSezVDkUzdgyoSwXByfwQJjuXSYcDs5L8snyB8Yx,60.0,0.1,1506.0,Nays,1710170556,1500.0
355,referendum_canceller,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,0.2,0.1,1295.1721,Nays,1709891892,1295.1521
355,referendum_canceller,G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,1.0,0.1,1200.1,Nays,1710494322,1200.0
355,referendum_canceller,JFArxqV6rqPSwBok3zQDnj5jL6vwsZQDwYXXqb1cFygnYVt,400.0,3.0,1200.0,Nays,1709887296,0.0
355,referendum_canceller,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,470.0,2.0,940.0,Nays,1709942130,0.0
355,referendum_canceller,Cu2z7dVVdzFyDVTjUPm7feV9RFQ8QiG3yLGsVEj5NohFXk7,300.0,2.0,600.0,Nays,1709942148,0.0
355,referendum_canceller,E5hWebLmPSFSUq3nSfGuFYopAK65fooqiXV91gQwuZGuMad,100.0,1.0,600.0,Nays,1710559002,500.0
355,referendum_canceller,Dfg9gbTwG6aghwLYTfYoV4dXyhCRBLbRyFwENADHmg4zfDF,230.0,2.0,460.0,Nays,1709942160,0.0
355,referendum_canceller,CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,40.0,0.1,452.7192,Nays,1709793510,448.7192
355,referendum_canceller,GL7MYnpQr7jgJqK8wSRUQuob1TvTY7uRJP6LUNeUyvMUhQR,210.0,2.0,420.0,Nays,1709942178,0.0
355,referendum_canceller,EPbpqewHLsudtHdJnyMSR3SqP3fwUSSGssP18qsW1UABaFr,190.0,2.0,380.0,Ayes,1710701886,0.0
355,referendum_canceller,EQMipshNYYvHL427XS2HyTvisAhTokXKZfhaRkKxz6sKxQd,90.0,3.0,270.0,Nays,1710254886,0.0
355,referendum_canceller,J6ixMhTj9UmgZtNiWVGs1SdGm9HXSj7z2Emjc9syMgGdN5X,250.0,1.0,250.0,Nays,1710855330,0.0
355,referendum_canceller,CgatoWx7Zu4yfaREFsuet3RzBcrRkYXA6sevo1VgjnLB8c3,0.06,1.0,240.3,Nays,1709821050,240.24
355,referendum_canceller,D5WxiuCkRfGrFpRjH4uvmjdUQYH6bvHXiUVYp4eRnr7E1DA,55.0,4.0,220.0,Nays,1709796456,0.0
355,referendum_canceller,E84ypSizBDJDxwhtYy4Q4t5RKsy1DppPuU1AP47HVeKhXYt,55.0,4.0,220.0,Nays,1709796438,0.0
355,referendum_canceller,CzB1XBwkko3Az7DNZDPigZ1bjzLxELAGnLBnFGRdQ4PXTqZ,60.0,3.0,180.0,Nays,1709883702,0.0
355,referendum_canceller,DN2oxCHnJviLK1NoYdzSNo9n9gmH3eBTfLGXSUcoFcq5khX,60.0,3.0,180.0,Nays,1710254946,0.0
