referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
401,small_spender,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,362.360598077029,3.0,57359.51408845364,Ayes,1716966258,56272.43229422255
401,small_spender,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,3.0,36300.0,Ayes,1716756228,36000.0
376,small_spender,G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,11200.0,3.0,33600.0,Ayes,1712822172,0.0
390,small_spender,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,4.0,31295.78,Ayes,1715282790,31095.78
390,small_spender,Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,100.0,1.0,30100.0,Ayes,1715351328,30000.0
389,small_spender,FDL99LDYERjevxPnXBjNGHZv13FxCGHrqh2N5zWQXx1finf,90.0,1.0,30090.0,Nays,1715528628,30000.0
376,small_spender,EocabFvqttEamwQKoFyQxLPnx9HWDdVDS9wwrUX1aKKbJ5g,70.0,0.1,30007.0,Ayes,1712905626,30000.0
389,small_spender,J9FdcwiNLso4hcJFTeQvy7f7zszGhKoVh5hdBM2qF7joJQa,0.1,0.1,30000.01,Nays,1715701842,30000.0
356,small_spender,EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,400.0,2.0,17108.940590514103,Ayes,1710842592,16308.940590514103
356,small_spender,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,1.0,11528.5,Ayes,1710151212,10528.5
376,small_spender,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,1.0,10000.0,Nays,1712935524,0.0
382,small_spender,FtUXQRjFbo4ZYv8eMma9oV4haLwMeWzyjSvNeYSNPfMue9W,1400.0,5.0,7000.0,Ayes,1714522668,0.0
382,small_spender,GcDZZCVPwkPqoWxx8vfLb4Yfpz9yQ1f4XEyqngSH8ygsL9p,5.0,1.0,5025.0,Ayes,1714129176,5020.0
382,small_spender,Day71GSJAxUUiFic8bVaWoAczR3Ue3jNonBZthVHp2BKzyJ,800.0,4.0,3288.009592600811,Ayes,1714555470,88.009592600811
356,small_spender,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,1.0,2610.0,Ayes,1709916984,2600.0
389,small_spender,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu,1e-12,1.0,1790.000000000001,Nays,1715075100,1790.0
390,small_spender,JFArxqV6rqPSwBok3zQDnj5jL6vwsZQDwYXXqb1cFygnYVt,400.0,4.0,1600.0,Ayes,1715066544,0.0
356,small_spender,Cdhjt72TSezVDkUzdgyoSwXByfwQJjuXSYcDs5L8snyB8Yx,60.0,0.1,1506.0,Ayes,1710170586,1500.0
376,small_spender,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,0.2,0.1,1295.1721,Abstains,1712929248,1295.1521
401,small_spender,G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,1.0,0.1,1200.1,Nays,1717357590,1200.0
390,small_spender,HLtkdUMw4wzE8GwBMhtmF1Cra6vZc69NoAiq93krXxzhPrr,1000.224645912115,1.0,1000.224645912115,Ayes,1715828358,0.0
356,small_spender,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,470.0,2.0,940.0,Ayes,1709942202,0.0
356,small_spender,Cu2z7dVVdzFyDVTjUPm7feV9RFQ8QiG3yLGsVEj5NohFXk7,300.0,2.0,600.0,Ayes,1709942214,0.0
382,small_spender,E5hWebLmPSFSUq3nSfGuFYopAK65fooqiXV91gQwuZGuMad,100.0,1.0,600.0,Ayes,1714681302,500.0
401,small_spender,EtommijqrHDFWFvBxP515oUbkXx9vK2qohzrmwpCXbU7Yx2,1.0,0.1,582.1,Ayes,1716537174,582.0
382,small_spender,D8DtYYJUUBoACJwJrLNyn8aYArumdViVWAcZRUKcxnSoV9D,550.0,1.0,550.0,Ayes,1714465830,0.0
356,small_spender,CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,40.0,1.0,488.0,Ayes,1710096270,448.0
356,small_spender,Dfg9gbTwG6aghwLYTfYoV4dXyhCRBLbRyFwENADHmg4zfDF,230.0,2.0,460.0,Ayes,1709942232,0.0
356,small_spender,GL7MYnpQr7jgJqK8wSRUQuob1TvTY7uRJP6LUNeUyvMUhQR,210.0,2.0,420.0,Ayes,1709942250,0.0
356,small_spender,EPbpqewHLsudtHdJnyMSR3SqP3fwUSSGssP18qsW1UABaFr,190.0,2.0,380.0,Nays,1710701916,0.0
369,small_spender,G4urZifj85pm9wXefakQwYfBW86C7cfnbZaLZzZSEnAZzGJ,60.0,1.0,330.0,Nays,1712229282,270.0
389,small_spender,EQMipshNYYvHL427XS2HyTvisAhTokXKZfhaRkKxz6sKxQd,100.0,3.0,300.0,Nays,1716212490,0.0
401,small_spender,FQ11qFsooitS49a5aWGJGy2q9kAo1ZG77wnaDFUm1NhSJbC,150.0,2.0,300.0,Ayes,1716926130,0.0
356,small_spender,JBmYvpebasxckBsohyyWse7yggsowfgt5xRJvkzu2txUJdi,100.0,3.0,300.0,Ayes,1710093024,0.0
356,small_spender,D5WxiuCkRfGrFpRjH4uvmjdUQYH6bvHXiUVYp4eRnr7E1DA,55.0,5.0,275.0,Ayes,1709963100,0.0
356,small_spender,E84ypSizBDJDxwhtYy4Q4t5RKsy1DppPuU1AP47HVeKhXYt,55.0,5.0,275.0,Ayes,1709963130,0.0
390,small_spender,FqoyFHg87YVYvRLGRr2M2x3AZ8SKEt4D7vQb9uPFHnCDN66,29.201861372199,4.0,246.80744548879602,Ayes,1715966292,130.0
376,small_spender,CgatoWx7Zu4yfaREFsuet3RzBcrRkYXA6sevo1VgjnLB8c3,0.06,1.0,240.3,Nays,1712767494,240.24
401,small_spender,GJWFwL8bxZszS5nJNWCV6vC5nBERLgscKSeNF3U9ZcQxL12,70.0,3.0,210.0,Ayes,1716556434,0.0
376,small_spender,DN2oxCHnJviLK1NoYdzSNo9n9gmH3eBTfLGXSUcoFcq5khX,70.0,3.0,210.0,Ayes,1713169734,0.0
376,small_spender,DczAw1iwYjCftH3NJC1Cp3oXLxUbLSKnb4d2UrXNVLMKrgo,60.0,3.0,180.0,Ayes,1712933868,0.0
382,small_spender,CzB1XBwkko3Az7DNZDPigZ1bjzLxELAGnLBnFGRdQ4PXTqZ,60.0,3.0,180.0,Ayes,1714156278,0.0
369,small_spender,EQF693vsen6WxMdoYgf2cypvH4saFJWFzDupoFUT79MffeW,58.064,3.0,174.192,Ayes,1711881198,0.0
382,small_spender,DhK6qU2U5kDWeJKvPRtmnWRs8ETUGZ9S9QmNmQFuzrNoKm4,110.0,1.0,168.0,Ayes,1714557972,58.0
401,small_spender,CaVLqgMmajk7ySYjo4SPqauXwsZu8Y5tP9vVDvJvcecbp3n,50.0,3.0,150.0,Ayes,1716627948,0.0
401,small_spender,J7XHBQxacqTTVkoNoSgcG6CgREb9JVh2DHBbBQ1ycvkLBq4,50.0,3.0,150.0,Ayes,1717412196,0.0
356,small_spender,EctdZvgkphLJMQmKntaPP74LKpGvDKaj1cbqC8fUT4HzqiC,25.0,1.0,130.0,Ayes,1710057690,105.0
382,small_spender,CgfnpLpYfJeCuZ1TKXCMXK9Pq5jYpchS17d4pDe8f3ZuuCC,0.001,0.1,119.90010000000001,Ayes,1714166118,119.9
382,small_spender,GefTiMd4roQrRkJzurdLdGsoAUkmMkiGoYd6Cvu5oqCgamX,18.0,3.0,114.0,Ayes,1714583334,60.0
369,small_spender,GjrCYnVS59dsRkydpM6QSRLvpoR8MUPnkyVS3SNWqsxWW7r,108.186941549078,1.0,108.186941549078,Ayes,1712442468,0.0
401,small_spender,GZeiCMQMMU3yPV2GMwZoiNvC1cqMWx7HTSBXeJsd27b3Wnj,105.0,1.0,105.0,Ayes,1716882162,0.0
389,small_spender,EkedWnuzp6hH2vevLLDyMoQfgmngMUvp5fwpmmjL6BmTNf7,102.500054258407,1.0,102.500054258407,Nays,1716226542,0.0
369,small_spender,DMNWV5U4GHvc28LNbYzckpPqihSqSu6C4WnKQWgSXbZqwJy,101.0,1.0,101.0,Nays,1713040350,0.0
382,small_spender,DPoJe9z9k36jJpCj32K6m2eT6DAnwvkrUsUkXHnRXWiEuyY,101.0,1.0,101.0,Ayes,1714748898,0.0
389,small_spender,DXuN5rty7aNtc3rb7s1HQFsNuiXYtQvFv5HtfkWGq5yyhP9,101.0,1.0,101.0,Nays,1716017778,0.0
389,small_spender,JKzwkX6JcARutZvJpArnUFZnYnbsZedCTJfbhrqTtPuxezU,101.0,1.0,101.0,Nays,1716017832,0.0
389,small_spender,GPTwmqixpfnum8jCBVmYBYnseb8q6g9b4kxWRRuuRTAqMoX,101.0,1.0,101.0,Nays,1716017874,0.0
389,small_spender,ESM8k6WhtMu8gotAkmuNrGhrG9RR7mAfvLARyif9Gqjvu2P,101.0,1.0,101.0,Nays,1716017922,0.0
382,small_spender,HTiHYfSRCkUn5u58KRHWjkNPRPP1MNahuXdEr2TtJ5xXfZU,101.0,1.0,101.0,Ayes,1714748856,0.0
390,small_spender,Dmkww4FsXG3gjCTdpuyAXxfKWtXfYcxV1VJfy7JyPxvjUPA,100.0,1.0,100.0,Nays,1716017976,0.0
390,small_spender,EmAFBdRFbJiyThqSt9vv2vVECcdTU9nJqa3wTxgKCVKMoC4,100.0,1.0,100.0,Nays,1716018018,0.0
390,small_spender,EtuN1h92gaV961S15PwxN6GHyeonaojALZ8Dddgn1oDPRFt,100.0,1.0,100.0,Nays,1716018060,0.0
390,small_spender,DQ2JCQDo7BtsxsBbURLK1djr3W3CQgumNys888pPmsF8XpU,50.0,2.0,100.0,Ayes,1715162424,0.0
390,small_spender,GPeAgenYP4rngtRtFufgCcn3oezWRRHgzCPJUSSqbNfxFkm,100.0,1.0,100.0,Nays,1716017730,0.0
390,small_spender,HyeiEyrdKTvJBpgSXNFtsYGLZiaWjSLjTSTDwZT7WDNwzi2,100.0,1.0,100.0,Nays,1716017634,0.0
390,small_spender,FS8nKS5ReuaA999xUKTEzDDCA8BXyyrxD73KKyqwbRRt2Hf,50.0,2.0,100.0,Ayes,1715229762,0.0
382,small_spender,EzAUyKjTG4BooK598kPGAWJzXqBAzfL77KYYfdqxPzW1G4f,100.0,1.0,100.0,Ayes,1714308918,0.0
382,small_spender,FUDBmPmHvoLnCtxbW55MhyYnhiN33CwtvFYux5CcfSSC8As,100.0,1.0,100.0,Ayes,1714308942,0.0
369,small_spender,DdkRZjqtZUXdN6XGR8tuoUSEmWgQYwoUR8PQXLdnyp44JLy,96.9902,1.0,96.9902,Ayes,1712092740,0.0
356,small_spender,JJiV1xrj1814BVDDG2pFCsgzdbR7K29VcyXQGXEUhn7LWhK,96.0,1.0,96.0,Nays,1710666054,0.0
390,small_spender,EUpZJBP4ycthqtGQum4ZUTMCxissiage6ffBgDBorJY7XRn,95.0,1.0,95.0,Ayes,1715615700,0.0
369,small_spender,D3Fh5td8SjuWn3GR7WEQyZx6TncxwFLaix2YTvygMyxDcU9,94.0911,1.0,94.0911,Ayes,1712092914,0.0
376,small_spender,GeSU3Yv52v5Bux66tUYRemisbSmWQ8ykPoUt4N7rBy88LxM,10.0,3.0,93.0,Ayes,1712991060,63.0
401,small_spender,GXKtAuDCUA5vZTYSqJcisdT9E7XPCuHJp3pyDmhZv2mW7B4,18.0,5.0,90.0,Ayes,1716499884,0.0
390,small_spender,EyJgtqqbVsxArS7zuDq8rGTCA7m5WAqxv32msopPfWxwwpA,90.0,1.0,90.0,Ayes,1715322894,0.0
382,small_spender,E7njcoMxryWRdeLuieJxsDWvnj4pDgJJ3Z7j5BCw8oZuMVX,50.0,0.1,81.597393635268,Ayes,1714273266,76.597393635268
401,small_spender,EVhWhw6w6i5C9SV3FbHdM1rroTxsM5UzxEKMyXCwnct2EnH,50.0,1.0,74.0,Ayes,1716977418,24.0
376,small_spender,DE1edhv8VoeE8qtGPaiJ7qUdAaSCApymA8Ksw3n6qayVwEa,67.012510120051,1.0,67.012510120051,Ayes,1713419154,0.0
382,small_spender,CpF6D3kCL9u1ZvZrM1AC1chww6yBzK35zqixQstxFBqmCFw,60.0,1.0,60.0,Ayes,1714308894,0.0
401,small_spender,JHTfbt39EL1CcbKteN6hG5L5pWo9XWi9XFiyuS9q24cAc8u,1.952139001135,1.0,52.952139001135,Ayes,1716953010,51.0
356,small_spender,CmjHFdR59QAZMuyjDF5Sn4mwTgGbKMH2cErUFuf6UT51UwS,18.0,0.1,51.8,Ayes,1710367650,50.0
