referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
362,treasurer,GD6J9zAkhPpNppdqD4JVRfTUjiV3ys62H7h96vyq8Wh8g9L,17000.0,6.0,102000.0,Ayes,1712222682,0.0
362,treasurer,Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,10000.0,6.0,60000.0,Nays,1712229714,0.0
391,treasurer,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,356.412466586492,3.0,57222.92995772884,Ayes,1715607996,56153.69255796936
362,treasurer,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,3.0,30000.0,Ayes,1712244444,0.0
362,treasurer,HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,9300.0,3.0,27900.0,Ayes,1712244480,0.0
362,treasurer,EuTwaQimMkb7JgwJKmegAXeyQuCGuzLbdtzFpUBDUoKrvK2,7300.0,3.0,21900.0,Ayes,1712244546,0.0
362,treasurer,EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,400.0,2.0,21523.940590514103,Ayes,1711273662,20723.940590514103
362,treasurer,DREQKFXhEa7UxRqwkih4xHUEcg2B1eDLe4nKzfwaNbwf9pZ,5555.0,3.0,16665.0,Ayes,1712244702,0.0
362,treasurer,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,1.0,11724.592562617776,Ayes,1711455690,10724.592562617776
362,treasurer,FndpA4bc82CDtiRMaGZQJmEum8m9JzZuQnxPfMKiykDUcN6,0.3,1.0,6757.2,Nays,1711440768,6756.9
362,treasurer,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,5.0,6500.0,Nays,1712243736,6000.0
362,treasurer,JGwLyn5AW1Hd9nqPgyNcJvXiPKAXyBqgvnx4ioniUZouUi9,0.32,1.0,5758.82,Nays,1711440786,5758.5
362,treasurer,G9gjsavt1JzDAqsJGXphmRtyS23WfiFYBGQdqCeJ9HTWM5F,0.15,1.0,5684.25,Nays,1711440804,5684.1
362,treasurer,CaxqdeqM8z5eLNN2Zytf3iaggp33acSTJgjYu5vU1aG6ZjZ,0.5,1.0,2954.1,Nays,1711441788,2953.6
362,treasurer,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,1.0,2610.0,Ayes,1711536288,2600.0
362,treasurer,Hq6D31izVPF4VPicYQLZxax9VaRNgMjkUFeVg7AsypQQyrf,770.0,3.0,2310.0,Ayes,1712041908,0.0
362,treasurer,EyXct79ZDWdQfcSgJTG5texKM9wJj3quyh1ugPDVSkSt3Xm,2000.0,1.0,2000.0,Ayes,1712042154,0.0
362,treasurer,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu,1e-12,1.0,1731.000000000001,Nays,1711137042,1731.0
