referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
385,medium_spender,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,1.0,33750007.5,Nays,1703699346,33750000.0
187,medium_spender,16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,10000000.0,3.0,30000000.0,Ayes,1697793852,0.0
299,medium_spender,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,5.0,1.0,18000005.0,Nays,1700849460,18000000.0
385,medium_spender,12DEpb9ZfeeUaFXCjZPHjakfkB5nhE3FttHjebRMkYf2y5bP,5321031.0,3.0,15963093.0,Ayes,1704285900,0.0
299,medium_spender,16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,4860.0,5.0,12591842.789430737,Nays,1701447522,12567542.789430737
295,medium_spender,13mXyFxnmuNKAAy2aVbx4xvm8LUNPb9oqteYa52kCikYyL9G,1547868.1688455937,3.0,4643604.506536781,Ayes,1700909292,0.0
213,medium_spender,142H5Qn7HHfkd3r4s5wdQwt3sJMw3aiUK96495Rbr91Ewnzf,1048000.0,4.0,4192000.0,Nays,1700047620,0.0
385,medium_spender,1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,5.0,4.0,4000020.0,Ayes,1703707782,4000000.0
374,medium_spender,13Ne3Gc3gmed5dc6LY5nV8Kyd6zpEMLCXKmkeziYxMHkvj8W,750000.0,4.0,3000000.0,Ayes,1704708966,0.0
255,medium_spender,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,650000.0,4.0,2600000.0,Nays,1701050322,0.0
213,medium_spender,144CGH3QZaF3g2hkZkMqpRfeAs62MXy3ycuvVSZiCyTCfBXU,650000.0,4.0,2600000.0,Nays,1699438326,0.0
213,medium_spender,19EgSXHYT7gvK2UNztYcuxntrBim2BuPeo6fAPNhuaAMvJR,499978.959,4.0,1999915.836,Nays,1699480878,0.0
362,medium_spender,12sFJzHz9Xkkua5vnv9rAUMLMgLPMUd8SZx61tBZGmEnqUUJ,1800000.0,1.0,1800000.0,Nays,1704576690,0.0
385,medium_spender,13LNT7fAGZqEQfH4YTpN7SGZaujB3eW98LmqUXPmBqLpptfk,270000.0,6.0,1620000.0,Ayes,1704033090,0.0
255,medium_spender,15rJFntZQy5R88nRU1D6mDFjqoMHZktxKDfXiCkfJrTs7m6T,300000.0,5.0,1500000.0,Nays,1701365874,0.0
187,medium_spender,12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,250000.0,6.0,1500000.0,Nays,1698686478,0.0
213,medium_spender,12ztGE9cY2p7kPJFpfvMrL6NsCUeqoiaBY3jciMqYFuFNJ2o,500000.0,3.0,1500000.0,Ayes,1698773586,0.0
213,medium_spender,13eBaC1tgAKDgZcsPBxE7r4yzWi13jQpwXKCqQG1t4i42cg6,315000.0,4.0,1260000.0,Nays,1699438548,0.0
213,medium_spender,15Dy29bn4HmtSfYR6FPqqMUj2wCnn2irouDAep9zsv7iUtNE,622585.1770014717,2.0,1245170.3540029435,Nays,1699623156,0.0
209,medium_spender,1Se84UuwsPq94C9Te3CB1EoAZ6Nz6UE3NuC3KkH24GuwjJu,600000.0,2.0,1200000.0,Ayes,1698116832,0.0
213,medium_spender,1ug1Lw6RuVh5RKvkz4T8YLR7GWWMtH3NKZhw47VnktfYbcu,399950.0,3.0,1199850.0,Nays,1698773910,0.0
213,medium_spender,1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih,594130.1477,2.0,1188260.2954,Ayes,1699437690,0.0
