referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
226,small_spender,16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,10000000.0,3.0,30000000.0,Ayes,1699025598,0.0
282,small_spender,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,1.0,18750007.5,Nays,1700848920,18750000.0
273,small_spender,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,3.0,2.0,18000006.0,Nays,1700647128,18000000.0
225,small_spender,16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,4860.0,5.0,12591857.789430737,Nays,1699632102,12567557.789430737
222,small_spender,11gqpAyU17G9EFW5n5MNngh824F3Y2as72V2rgc7Wq5JVRd,5000000.0,1.0,5000000.0,Ayes,1698588048,0.0
221,small_spender,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,585.0,5.0,2458714.022019834,Nays,1699130232,2455789.022019834
203,small_spender,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,600000.0,4.0,2400000.0,Nays,1698940638,0.0
218,small_spender,12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,250000.0,6.0,1500000.0,Nays,1698686556,0.0
240,small_spender,126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,150.0,1.0,527200.0,Nays,1699897074,527050.0
264,small_spender,1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,0.0,0.1,510000.0,Nays,1700744268,510000.0
218,small_spender,14Gaex7pUXLpvfE88r9CBcGWYfz19kFaZN8AoeB43F7nc5yE,153692.0,3.0,461076.0,Nays,1699477212,0.0
214,small_spender,15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,7774.241,3.0,412172.6780872271,Ayes,1699394604,388849.9550872271
221,small_spender,14z3ZGv5mehZQehr4YbqNUhPoUfW1G7yYFxSKUTPAeM88899,120000.0,3.0,360000.0,Nays,1699508916,0.0
254,small_spender,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,307327.8672759103,Nays,1700047374,307317.8672759103
243,small_spender,12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,57716.0,4.0,230864.0,Nays,1699324704,0.0
333,small_spender,14iDcTjWtTJKcZ6f51APskbCtR6g3p8JHEMHe7cQYguuxh7D,110000.0,2.0,220000.0,Ayes,1701828084,0.0
221,small_spender,1pveAZNCEYXwqYyhDARrBHH7gnzBdJyUtdKnSFKH1Ck9999,70000.0,3.0,210000.0,Nays,1699508838,0.0
218,small_spender,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,40200.0,5.0,201000.0,Nays,1699466214,0.0
218,small_spender,16hoWBmzHqaYjLtuL5KxsT7BEDw3adYEvPAtQ6ZkqVAmCD7H,29429.0,6.0,176574.0,Nays,1698962424,0.0
199,small_spender,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,5.0,157262.2762275017,Nays,1698613398,152262.2762275017
286,small_spender,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,37850.0,4.0,151400.0,Ayes,1700649924,0.0
281,small_spender,12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,50000.0,3.0,150000.0,Nays,1700652546,0.0
254,small_spender,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,1.0,142731.4427722325,Nays,1699830408,142730.4427722325
218,small_spender,13BD8qt1Ptb2NRijSTCt9ef467ctDUNdqrFTrskB544vs8p2,46001.0,3.0,138003.0,Nays,1699214406,0.0
291,small_spender,14gEYLb4pzg3RvYS72MPRWWGAUBDdBpp9U6Wh4uMZhdQRis2,33630.0,4.0,134520.0,Nays,1701363282,0.0
389,small_spender,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,29000.0,4.0,121536.2885414648,Ayes,1703885292,5536.2885414648
389,small_spender,15wU1en9YV7AR5nuqTs2erTzBLP1CAc7jChbAYYtzaT9Zhj,28000.0,4.0,112000.0,Ayes,1704666636,0.0
221,small_spender,14Weh5QRkAYafkAr1X8pTjZVFRcZnKgyr8MG19M4YPucKrMZ,52268.0,2.0,104536.0,Nays,1699284222,0.0
364,small_spender,15zYrye2ZW9tDVQJfXrVxFMmYcTRVGZjCqc4ZPMCvvgBV5vM,51401.8308191526,2.0,102803.6616383052,Nays,1703692608,0.0
240,small_spender,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Nays,1699545642,86029.5035491527
389,small_spender,121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,15900.0,6.0,95400.0,Ayes,1704627426,0.0
290,small_spender,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,0.1,85526.46160000001,Ayes,1701173862,85525.46160000001
286,small_spender,148V9TEV4uCCytuQU16DkTipMkkdZ4dhf17sq2VXPZC3Swa9,20000.0,4.0,80000.0,Ayes,1702090416,0.0
308,small_spender,15Dn1B9aKU2V5qQC7ZfAHGQHoEGdfSFBeq8RWQCc9eeBAfmQ,1.0,3.0,75003.9,Nays,1701191814,75000.9
218,small_spender,11273kdRqdfBGL9isPvpUd32ym7Pdwy4WVFHxuKZE79EhNDy,24000.0,3.0,72000.0,Nays,1699108872,0.0
291,small_spender,13eHizCdjJPSMnuN5GZK4rupVWB54M8HebHWAet6hjafVNZK,68693.0,1.0,68693.0,Nays,1702894680,0.0
243,small_spender,13mgf7fcn9nUSPN6Tnw96rj2QLiot6AAssyMwzM5BzgujwBM,16942.0,4.0,67768.0,Nays,1699324674,0.0
261,small_spender,16hWeT9jKPgdH7NYa8kB1Q6mSoxtEdQqqZQcJwYy9DvwLbob,33550.0,2.0,67100.0,Nays,1700773404,0.0
384,small_spender,16cT2wjqq18WJdNwzeDvm57GgiQHhaQeWCrA5ZUPyKhyujtF,10000.0,5.0,65000.0,Nays,1703671938,15000.0
218,small_spender,1sp6gTWNKUDwfb59TXNyycRfTHTMfGcwFgeciTzb65mZLoV,21000.0,3.0,63000.0,Nays,1699375842,0.0
220,small_spender,15ZvLonEseaWZNy8LDkXXj3Y8bmAjxCjwvpy4pXWSL4nGSBs,10003.0,5.0,62015.0,Nays,1698340614,12000.0
