referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
190,small_tipper,16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,10000000.0,3.0,30000000.0,Ayes,1697121036,0.0
197,small_tipper,16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,4860.0,5.0,8105821.088901451,Ayes,1697938338,8081521.088901451
398,small_tipper,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,741.5235719569,3.0,2345453.4630604107,Nays,1704578988,2343228.89234454
253,small_tipper,126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,150.0,1.0,527200.0,Nays,1699899030,527050.0
210,small_tipper,1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,0.0,0.1,510000.0,Ayes,1698087708,510000.0
378,small_tipper,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,309204.2386884512,Ayes,1703431092,309194.2386884512
393,small_tipper,12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,76136.0,3.0,228408.0,Ayes,1704100146,0.0
315,small_tipper,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,4.0,156262.8762275017,Nays,1701295356,152262.8762275017
320,small_tipper,12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,50000.0,3.0,150000.0,Ayes,1701164964,0.0
210,small_tipper,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,1.0,142731.4427722325,Ayes,1698037842,142730.4427722325
398,small_tipper,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Nays,1704410832,86029.5035491527
316,small_tipper,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,0.1,85526.46160000001,Nays,1701178158,85525.46160000001
320,small_tipper,15Dn1B9aKU2V5qQC7ZfAHGQHoEGdfSFBeq8RWQCc9eeBAfmQ,1.0,3.0,75003.0,Ayes,1701190950,75000.0
398,small_tipper,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,30000.0,2.0,70536.2885414648,Nays,1704506478,10536.2885414648
197,small_tipper,16hWeT9jKPgdH7NYa8kB1Q6mSoxtEdQqqZQcJwYy9DvwLbob,33334.0,2.0,66668.0,Nays,1697644170,0.0
210,small_tipper,1eGtATyy4ayn77dsrhdW8N3Vs1yjqjzJcintksNmScqy31j,1.0,1.0,60015.4404391654,Ayes,1698257190,60014.4404391654
303,small_tipper,16cT2wjqq18WJdNwzeDvm57GgiQHhaQeWCrA5ZUPyKhyujtF,10000.0,4.0,55000.0,Nays,1700761644,15000.0
303,small_tipper,15tfUt4iQNjMyhZiJGBf4EpETE2KqtW1nfJwbBT1MvWjvcK9,10000.0,4.0,52750.0,Nays,1700781642,12750.0
393,small_tipper,13mgf7fcn9nUSPN6Tnw96rj2QLiot6AAssyMwzM5BzgujwBM,17357.0,3.0,52071.0,Ayes,1704100116,0.0
319,small_tipper,16Jh21ThTh2tW98NuN2gM7Q3KaYiuJLbxCNbuBkFpwcDkRqx,10000.0,4.0,52050.0,Nays,1701122874,12050.0
399,small_tipper,15ZvLonEseaWZNy8LDkXXj3Y8bmAjxCjwvpy4pXWSL4nGSBs,10003.0,3.0,42009.0,Nays,1704449922,12000.0
190,small_tipper,15yhxUC89ULF3WxvH2P6r4ktWRPhF7r7LtXMaGGADoyVxs2B,1.0,1.0,38526.0,Ayes,1697101896,38525.0
253,small_tipper,16ZkdRYne6geWLkhaMgraDkXXiKHwSSQkCtQ2pPJPtoroURn,6300.0,6.0,37800.0,Nays,1699768938,0.0
393,small_tipper,1D51dxpuGv1mWxstx7ERWyEWieLHSeQ8NBVX7VxkxT5PuKg,5000.0,6.0,30000.0,Ayes,1703988522,0.0
253,small_tipper,1241GAjHmHVFdJbahkFM5gWmzsyLjE1E5Yt4Qndqk8ZEt993,28997.0,1.0,28997.0,Nays,1699969812,0.0
267,small_tipper,12YUDdiZCHE47WqR6etGD4gfdpSUhrRFvASrVhtc1RcbLva8,5000.0,3.0,27960.0,Nays,1700277606,12960.0
314,small_tipper,1BdoL1BP36SZGEKR4iX8ksou2GTnrDd5of99SWK82c3A4aB,5111.0,3.0,25388.0,Nays,1701212244,10055.0
399,small_tipper,13j1gyUymLf1VYnE8BF5UKEcnoKf52nLQHjNDhe6wHzqNGHh,8000.0,1.0,23000.0,Nays,1704440112,15000.0
321,small_tipper,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,7000.0,3.0,21667.1946822495,Nays,1701519414,667.1946822494999
398,small_tipper,13b2BHxiamr5QCzLHqPUgKfTczRZvH47eQ9WqSQSP7UyMZU5,8042.9872152575,1.0,20072.9872152575,Nays,1704394344,12030.0
190,small_tipper,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,4.0,20000.0,Ayes,1697000814,0.0
393,small_tipper,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1500.0,3.0,19500.0,Nays,1703927550,15000.0
253,small_tipper,16ccn3xe5tAeR8kvzCRTcqHZjMJHvuF2pnLfTqyF1EmMusCU,10000.0,1.0,19320.0,Nays,1699912626,9320.0
314,small_tipper,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,6001.0,3.0,18003.0,Nays,1701158526,0.0
253,small_tipper,1657q1KAuK2aebVc5pSNkuZ2gPMNY6y6vDMLQANdakXnwQ1W,5800.0,3.0,17498.0,Nays,1700233830,98.0
197,small_tipper,12eKXDMUnGVp2ScEKXbFNxbgktL7DEchLKTFrayspgqwDraq,6000.0,1.0,17250.0,Ayes,1697920374,11250.0
393,small_tipper,16WzVw5JDCXLiA3t5D4LL15S2sqSBtCsjVNXkwLCVxGdeQGj,10.0,0.1,17131.8944890486,Nays,1704039414,17130.8944890486
267,small_tipper,14PkBX3BUF71wDh44BLeNby2u7X9ZBu36V28LMcBrdK35yC2,5300.0,3.0,15900.0,Ayes,1700411454,0.0
398,small_tipper,12pHJra8Wm8TKmUhVjDJgcWbYQm5q7BPtzm7mmZGaJHBcf7u,5300.0,3.0,15900.0,Nays,1704709956,0.0
317,small_tipper,149riLdwAVzXg7Cm88RcXhbuFi3zUgwrGsJSSPjC47PRxHQW,8000.0,1.0,15500.0,Nays,1701315156,7500.0
314,small_tipper,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,3.0,15008.9235388798,Nays,1701202410,5.9235388798
319,small_tipper,1gatoakSkH4be8KD9Ekj5xCXMdAiGxieg2NfTg41s2UME5J,1.0,1.0,15006.0,Nays,1701192492,15005.0
319,small_tipper,1bG5MdYcqMX8RdBHmgtkDv2qW6GM8iCQhwTkvw9SAo93QSr,1.0,1.0,15001.0,Nays,1701707856,15000.0
314,small_tipper,1zkynXdGj8p2JbXR7CesPuhbJvZt4G8k8T8q2jYgoattgKy,0.1,1.0,15000.1,Nays,1701370452,15000.0
314,small_tipper,11SMuMsi6yPy7HMGaidM113gKrB4hUMtxG9pEyfUATjZwN6,0.1,1.0,15000.1,Nays,1701322566,15000.0
317,small_tipper,14tfEiQ2DUK8Q8upjtMBa5GmWNZnKCwvtJrrpfUGfjXiyoH2,0.1,1.0,15000.1,Nays,1701199764,15000.0
315,small_tipper,14p3QPfNeBwTiSjEVCjhTDCftyyzqoe7aW6SLD7jpTLXizri,5000.0,3.0,15000.0,Nays,1702217286,0.0
315,small_tipper,12eVBx2xjVFzHyyGVHCqEQMp2yntKiSzE2JuGYM1kQAjVKzu,5000.0,3.0,15000.0,Nays,1702216722,0.0
315,small_tipper,1jZGoE9teJBzaQxNpYgdJnTJ3a8rUsy7Ws6X3JcwHWTrsgf,5000.0,3.0,15000.0,Nays,1702213506,0.0
315,small_tipper,18zLxNjoSpuQDFz9eSf3cLoZrPXM1dJrkwfYq6sWqLSfFD3,5000.0,3.0,15000.0,Nays,1702212900,0.0
315,small_tipper,133JUUgdpD4DGtPgZaUQZmnW3VYu1QHt2DYTyy6GWC7HMQCn,5000.0,3.0,15000.0,Nays,1702214196,0.0
315,small_tipper,15N2nvyikmU96F5wE919Gc6YLAKGtL6NoQ5ixKLeLp4T4LBV,5000.0,3.0,15000.0,Nays,1702217712,0.0
315,small_tipper,1To8mJLPm9spZdQF1ziHMoc7ZCDHYUeCjDzQfN4j2qY6XRe,5000.0,3.0,15000.0,Nays,1702218138,0.0
315,small_tipper,13r8ZXgYi7KZPhAVXjpznzbmyXwWBegebtr5gJwUnvNYXwp,5000.0,3.0,15000.0,Ayes,1702222284,0.0
315,small_tipper,16VVLeYXGMXW2kHD5haYKUCXQZfb5XharQeqaHgG2cnywfsZ,5000.0,3.0,15000.0,Nays,1702218642,0.0
315,small_tipper,12bwaiu2AN7944nT1n3VX9UR2F16PuVDbtGC61Wk5DLzQJsc,5000.0,3.0,15000.0,Nays,1702214658,0.0
315,small_tipper,15ybn9sXnosquc4v8G1GUQrgcWD6BU5nZGpERMEyCqJygMPV,5000.0,3.0,15000.0,Nays,1702215546,0.0
315,small_tipper,15kXizCQG5qCphnqsZvLax4zG8D9GfKdixsLbPXtP52BBU94,5000.0,3.0,15000.0,Nays,1702216200,0.0
315,small_tipper,16euDe2owvJq7LkwSujGxAFezCWopCKPENxwc2EKdzYTRBae,5000.0,3.0,15000.0,Nays,1702212474,0.0
197,small_tipper,131Qzz7SvHUn7zdDAt2jFZmzVsP2KkoiDWLZa9N7FivGTXpB,5000.0,2.0,13334.0,Ayes,1697870988,3334.0
398,small_tipper,16UgRGtYLuDWsBvjLLtc6FYVB3qSCV9c4sidcN4zaFm9qCFR,6600.0,2.0,13200.0,Nays,1704506496,0.0
320,small_tipper,15roJ4ZrgrZam5BQWJgiGHpgp7ShFQBRNLq6qUfiNqXDZjMK,2400.0,5.0,12000.0,Ayes,1701130992,0.0
319,small_tipper,16CxXYoq9joofWE13zWuWBfd4tx3kQhXJECLLkhMLgWjYyHG,1.0,1.0,11665.0505492725,Nays,1701356718,11664.0505492725
303,small_tipper,15AX5Mcq8Dzays358VobG42QT9KsWJQexNoeVruYUgtt5PcW,0.1898,1.0,11345.1898,Ayes,1701210408,11345.0
315,small_tipper,13pZskDR7Pt67NtcChSr4uFRBf9ZS52nQeyrceSykq8MDrMe,11000.0,1.0,11000.0,Nays,1701297222,0.0
267,small_tipper,12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,5000.0,2.0,10797.0,Nays,1700390166,797.0
197,small_tipper,13mdEPcL8qgJuMkgpqeP4dvMgyRJSSNGSB5Px6G1eZHYJ2SB,5050.0,1.0,10350.0,Nays,1697637006,5300.0
267,small_tipper,12WNzfWXzogo8N27yNuE9T1xXC2VyJYmTqRDuePp2CNJLgPk,5000.0,2.0,10090.0,Nays,1700390154,90.0
210,small_tipper,15wnPRex2QwgWNCMRVSqgqp2syDn8Gf6LPGGabRhA8zoohpt,5000.0,1.0,10031.4332747966,Ayes,1697989080,5031.4332747966
318,small_tipper,13Hp4FEF7z7famvakw8cgioHqDxcnhnyQkvd1jF4dxn7cayG,5001.0,1.0,10003.0,Nays,1701163548,5002.0
314,small_tipper,14V9f68WA6EAG6ZefWryFXszSLDQ5SCiL8aPt2JixeHqNXsz,1.0,0.1,10000.1,Nays,1701350208,10000.0
253,small_tipper,1LUckyocmz9YzeQZHVpBvYYRGXb3rnSm2tvfz79h3G3JDgP,10000.0,1.0,10000.0,Nays,1699874706,0.0
393,small_tipper,14jHouxT1VbhBDw93VW8Z89p139Qgu7ECHz3zxM2CpQEDJDB,10000.0,1.0,10000.0,Ayes,1704095406,0.0
210,small_tipper,1eTPAR2TuqLyidmPT9rMmuycHVm9s9czu78sePqg2KHMDrE,2000.0,5.0,10000.0,Ayes,1697967522,0.0
267,small_tipper,139YLKvyLxEeG7asCwBZniVKacCibNMNdMPrq3ukrzagMqUV,1.0,1.0,9858.4,Nays,1700613366,9857.4
319,small_tipper,15x1gKGjYQQi42D4ER8Wvn4gGDQn8FBTqU9faBum27CCsLQY,5076.0,1.0,9276.0,Nays,1701692220,4200.0
378,small_tipper,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,9000.0,1.0,9000.0,Ayes,1703523444,0.0
321,small_tipper,15wepZh1jWNqxBjsgErm8HmYiE21n79c5krQJeTsYAjHddeM,2100.0,4.0,8700.0,Nays,1701558870,300.0
393,small_tipper,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,8200.0,1.0,8200.0,Ayes,1704221286,0.0
378,small_tipper,13mjnUDrHwYGATFB1FkFkZ1U3kYFsAQfHYTdcc8p3HP1xzZA,4000.0,2.0,8000.0,Ayes,1703311554,0.0
318,small_tipper,13KoLANqZqUtyfj6hVDzLh3euJZmabuhepT8xG2VrNsF5XjA,5055.5555,1.0,7675.5555,Nays,1701388386,2620.0
307,small_tipper,16Uy431wfRy44tHbfaTQYyJvw4E6DBcV6rBrU3m1EG2KvyyG,1800.0,4.0,7200.0,Ayes,1701041700,0.0
378,small_tipper,16VVNbc4m6aUxwaVwgRra6Ue7fMNGcRQHTFo1TqxmnCyuwwn,7000.0,1.0,7000.0,Nays,1703236230,0.0
315,small_tipper,1NebF2xZHb4TJJpiqZZ3reeTo8dZov6LZ49qZqcHHbsmHfo,6500.0,1.0,6500.0,Nays,1701329910,0.0
267,small_tipper,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,1.0,1.0,6402.2518093986,Nays,1700795934,6401.2518093986
321,small_tipper,14Sqrs7dk6gmSiuPK7VWGbPmGr4EfESzZBcpT6U15W4ajJRf,10.0,1.0,6010.0,Nays,1701251082,6000.0
197,small_tipper,12RXTLiaYh59PokjZVhQvKzcfBEB5CvDnjKKUmDUotzcTH3S,6000.0,1.0,6000.0,Ayes,1697657772,0.0
267,small_tipper,1NDfob1C1FinYufpHc1z4V9vSNFaEaFK4EgMFNiKv19NFBS,2000.0,3.0,6000.0,Ayes,1700314734,0.0
314,small_tipper,127zarPDhVzmCXVQ7Kfr1yyaa9wsMuJ74GJW9Q7ezHfQEgh6,5000.0,1.0,6000.0,Nays,1701900462,1000.0
303,small_tipper,13kz33kotYa3M75u5avMS367zJY3Fx2y5ZYASEPunqfEeCjD,1115.0,3.0,5984.5396441162,Nays,1700814444,2639.5396441162
253,small_tipper,14Weh5QRkAYafkAr1X8pTjZVFRcZnKgyr8MG19M4YPucKrMZ,58081.5093182863,0.1,5808.1509318286,Nays,1700169432,0.0
314,small_tipper,1CB5qsUGcGnRodRTpLS9ZrNhWxLbC9CNnHEgnuXJ2f17suu,50.0,2.0,5800.0,Nays,1701434586,5700.0
314,small_tipper,12b843A8c1w4CnHNkLJxtAyMe6AjiiKvZqJ7R6kD66phq4eu,5000.0,1.0,5800.0,Nays,1701157062,800.0
398,small_tipper,129QVy2hCC4fdLsjK7d6vt6DrT6Mj8A3M4nr8oL1jEXcdVVm,5000.0,1.0,5500.0,Nays,1704491574,500.0
319,small_tipper,14iv55u5DvgqKSSTvcRjP3ySEeUcQTjvGY3zFdA9JeHXqyb3,5500.0,1.0,5500.0,Nays,1701531258,0.0
317,small_tipper,16iiKwFsRKRsjAiEpD4zgNgEX84nzHtHHNFKXhz1sHtan3ne,5000.0,1.0,5495.0670582369,Nays,1701157314,495.0670582369
317,small_tipper,13ujCsf3t2YAdAhcpcEFVoJAPRYzMLHUHEnLroQp41sJCSnm,5250.0,1.0,5250.0,Nays,1701248724,0.0
399,small_tipper,13uifUNALuwqiHZADQb2hrpwnL8kmawjqykx4yN661Tv7mR,5250.0,1.0,5250.0,Nays,1704710316,0.0
378,small_tipper,15dTancD5HTn3Zn5RcgojF76znNu9HrpTtBTBGc5oPBDfxBy,5100.0,1.0,5100.0,Ayes,1703610678,0.0
307,small_tipper,15KX9B5ksRHq3vw1Un4D7DvrodZqoS2FLkZV38CSkR4FnZjh,5050.0,1.0,5050.0,Nays,1701124560,0.0
398,small_tipper,14i6Wxp8nYxotNCq8MCgTU2j4rV4NGVW9xfrPuxk8qMUtvuC,5030.0,1.0,5030.0,Nays,1704586236,0.0
321,small_tipper,12ZNJzjPBZUh8VV5cuJFkbbwMttFNkH39EhoeYcgGHsJd4MG,5005.1,1.0,5005.1,Nays,1701380796,0.0
319,small_tipper,16DJbUVKFJp6igLoDxCTPesE2DMgMmiawLXG9jsGpYNTshxt,5001.2609611098,1.0,5001.2609611098,Nays,1701948474,0.0
253,small_tipper,13pBLqciqvBMZpZT2ZkavANK66PxyG1xZ72bBo849c5NDHgh,5000.4157112867,1.0,5000.4157112867,Nays,1699982016,0.0
398,small_tipper,15tKco3E2zXYrtw2DgRThZpX541EdRhhNfGKzvSeHFr3QH2N,1.0,0.1,5000.1,Nays,1704553608,5000.0
314,small_tipper,16XxKGBRWSCQZwrpgcnzE1HqcYC3xJBcSJrM1pRazfmuSrio,5000.0,1.0,5000.0,Nays,1701238788,0.0
398,small_tipper,1UQC7Vs4zbywp8CbxcCCRUyyRqeUZxq9aXeD8UZ3MpLUy12,5000.0,1.0,5000.0,Nays,1704661692,0.0
