referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
394,treasurer,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,1.0,1.0,290562.4984917626,Ayes,1704144654,290561.4984917626
394,treasurer,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,1.0,153262.2762275017,Ayes,1704381738,152262.2762275017
394,treasurer,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Ayes,1704410748,86029.5035491527
394,treasurer,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,30000.0,2.0,70639.1310391948,Ayes,1704505662,10639.1310391948
394,treasurer,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,0.1,70314.80500000001,Ayes,1704707214,70313.80500000001
394,treasurer,1eGtATyy4ayn77dsrhdW8N3Vs1yjqjzJcintksNmScqy31j,1.0,1.0,60124.8450775531,Ayes,1704657618,60123.8450775531
394,treasurer,15Dn1B9aKU2V5qQC7ZfAHGQHoEGdfSFBeq8RWQCc9eeBAfmQ,1.0,1.0,60002.0,Nays,1704146106,60001.0
394,treasurer,1To8mJLPm9spZdQF1ziHMoc7ZCDHYUeCjDzQfN4j2qY6XRe,5000.0,3.0,30000.0,Ayes,1704542064,15000.0
394,treasurer,18zLxNjoSpuQDFz9eSf3cLoZrPXM1dJrkwfYq6sWqLSfFD3,5000.0,3.0,30000.0,Ayes,1704459618,15000.0
394,treasurer,126gTJ1q3eJE8fFVjCqkfmz7KKr9g6rZSARXE2yeT1PRpFzj,4500.0,1.0,27150.0,Ayes,1704228756,22650.0
394,treasurer,1BdoL1BP36SZGEKR4iX8ksou2GTnrDd5of99SWK82c3A4aB,5111.0,3.0,25388.0,Ayes,1704233286,10055.0
394,treasurer,15ZvLonEseaWZNy8LDkXXj3Y8bmAjxCjwvpy4pXWSL4nGSBs,10003.0,1.0,22003.0,Ayes,1704267516,12000.0
394,treasurer,16cT2wjqq18WJdNwzeDvm57GgiQHhaQeWCrA5ZUPyKhyujtF,10000.0,1.0,22000.0,Ayes,1704396876,12000.0
394,treasurer,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,7000.0,3.0,21667.1946822495,Ayes,1704301254,667.1946822494999
394,treasurer,13b2BHxiamr5QCzLHqPUgKfTczRZvH47eQ9WqSQSP7UyMZU5,8042.9872152575,1.0,20072.9872152575,Ayes,1704394332,12030.0
394,treasurer,1557x4U7JTAcso9AHpiVfrEsadABQ2swNWhDeh5WvUn9Zdog,1000.0,3.0,18050.0,Ayes,1704450804,15050.0
394,treasurer,13j1gyUymLf1VYnE8BF5UKEcnoKf52nLQHjNDhe6wHzqNGHh,8000.0,1.0,18000.0,Ayes,1704222984,10000.0
394,treasurer,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Ayes,1704570948,15000.0
394,treasurer,12eKXDMUnGVp2ScEKXbFNxbgktL7DEchLKTFrayspgqwDraq,6000.0,1.0,17250.0,Ayes,1704238800,11250.0
394,treasurer,16WzVw5JDCXLiA3t5D4LL15S2sqSBtCsjVNXkwLCVxGdeQGj,1.0,0.1,17130.994489048597,Ayes,1704294318,17130.8944890486
394,treasurer,16Jh21ThTh2tW98NuN2gM7Q3KaYiuJLbxCNbuBkFpwcDkRqx,5000.0,1.0,17000.0,Ayes,1704380394,12000.0
394,treasurer,149riLdwAVzXg7Cm88RcXhbuFi3zUgwrGsJSSPjC47PRxHQW,8000.0,1.0,15500.0,Nays,1704692790,7500.0
394,treasurer,1gatoakSkH4be8KD9Ekj5xCXMdAiGxieg2NfTg41s2UME5J,1.0,1.0,15006.0,Ayes,1704295122,15005.0
394,treasurer,1bG5MdYcqMX8RdBHmgtkDv2qW6GM8iCQhwTkvw9SAo93QSr,1.0,1.0,15001.0,Ayes,1704648258,15000.0
394,treasurer,11SMuMsi6yPy7HMGaidM113gKrB4hUMtxG9pEyfUATjZwN6,0.1,1.0,15000.1,Ayes,1704477372,15000.0
394,treasurer,14tfEiQ2DUK8Q8upjtMBa5GmWNZnKCwvtJrrpfUGfjXiyoH2,0.1,1.0,15000.1,Ayes,1704693432,15000.0
394,treasurer,13r8ZXgYi7KZPhAVXjpznzbmyXwWBegebtr5gJwUnvNYXwp,5000.0,3.0,15000.0,Ayes,1704542214,0.0
394,treasurer,1jZGoE9teJBzaQxNpYgdJnTJ3a8rUsy7Ws6X3JcwHWTrsgf,5000.0,3.0,15000.0,Ayes,1704459768,0.0
394,treasurer,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,3.0,15000.0,Ayes,1704271026,0.0
394,treasurer,15tfUt4iQNjMyhZiJGBf4EpETE2KqtW1nfJwbBT1MvWjvcK9,2000.0,1.0,14750.0,Ayes,1704312414,12750.0
394,treasurer,16UgRGtYLuDWsBvjLLtc6FYVB3qSCV9c4sidcN4zaFm9qCFR,6600.0,2.0,13200.0,Ayes,1704505710,0.0
394,treasurer,16CxXYoq9joofWE13zWuWBfd4tx3kQhXJECLLkhMLgWjYyHG,1.0,1.0,10355.096587228,Ayes,1704192390,10354.096587228
394,treasurer,13Hp4FEF7z7famvakw8cgioHqDxcnhnyQkvd1jF4dxn7cayG,5001.0,1.0,10003.0,Ayes,1704184944,5002.0
394,treasurer,14V9f68WA6EAG6ZefWryFXszSLDQ5SCiL8aPt2JixeHqNXsz,1.0,0.1,10000.1,Nays,1704265470,10000.0
394,treasurer,14jHouxT1VbhBDw93VW8Z89p139Qgu7ECHz3zxM2CpQEDJDB,10000.0,1.0,10000.0,Ayes,1704397944,0.0
394,treasurer,12YUDdiZCHE47WqR6etGD4gfdpSUhrRFvASrVhtc1RcbLva8,5000.0,0.1,9460.0,Ayes,1704164238,8960.0
394,treasurer,15x1gKGjYQQi42D4ER8Wvn4gGDQn8FBTqU9faBum27CCsLQY,5076.0,1.0,9276.0,Ayes,1704269850,4200.0
394,treasurer,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,3000.0,3.0,9005.9235388798,Ayes,1704199320,5.9235388798
394,treasurer,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,9000.0,1.0,9000.0,Ayes,1704382410,0.0
394,treasurer,15wepZh1jWNqxBjsgErm8HmYiE21n79c5krQJeTsYAjHddeM,2100.0,4.0,8704.0,Ayes,1704661902,304.0
394,treasurer,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,8200.0,1.0,8200.0,Nays,1704221172,0.0
394,treasurer,14aZsGMA4aPrSuV4MSSpumtYwxuNNrDc3vHu12K85xYh9qcB,2700.0,3.0,8100.0,Ayes,1704313998,0.0
394,treasurer,16VVNbc4m6aUxwaVwgRra6Ue7fMNGcRQHTFo1TqxmnCyuwwn,7000.0,1.0,7000.0,Ayes,1704355254,0.0
394,treasurer,1NebF2xZHb4TJJpiqZZ3reeTo8dZov6LZ49qZqcHHbsmHfo,6500.0,1.0,6500.0,Ayes,1704272508,0.0
394,treasurer,14Sqrs7dk6gmSiuPK7VWGbPmGr4EfESzZBcpT6U15W4ajJRf,10.0,1.0,6010.0,Ayes,1704201624,6000.0
394,treasurer,12RXTLiaYh59PokjZVhQvKzcfBEB5CvDnjKKUmDUotzcTH3S,6000.0,1.0,6000.0,Ayes,1704535866,0.0
394,treasurer,12b843A8c1w4CnHNkLJxtAyMe6AjiiKvZqJ7R6kD66phq4eu,5000.0,1.0,5800.0,Ayes,1704245310,800.0
394,treasurer,12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,5000.0,1.0,5797.0,Ayes,1704393606,797.0
394,treasurer,14PkBX3BUF71wDh44BLeNby2u7X9ZBu36V28LMcBrdK35yC2,5600.0,1.0,5600.0,Ayes,1704634806,0.0
394,treasurer,16iiKwFsRKRsjAiEpD4zgNgEX84nzHtHHNFKXhz1sHtan3ne,5000.0,1.0,5495.0670582369,Ayes,1704245460,495.0670582369
394,treasurer,12pHJra8Wm8TKmUhVjDJgcWbYQm5q7BPtzm7mmZGaJHBcf7u,5300.0,1.0,5300.0,Ayes,1704709824,0.0
