referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
268,whitelisted_caller,15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,32116500.0,1.0,32116500.0,Ayes,1701078108,0.0
211,whitelisted_caller,16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,10000000.0,3.0,30000000.0,Ayes,1699025634,0.0
380,whitelisted_caller,14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,20126600.0,1.0,20126600.0,Ayes,1704288186,0.0
380,whitelisted_caller,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,1.0,18750007.5,Ayes,1703698752,18750000.0
380,whitelisted_caller,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,5.0,1.0,18000005.0,Ayes,1703320374,18000000.0
380,whitelisted_caller,16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,10875600.0,1.0,10875600.0,Ayes,1704288210,0.0
241,whitelisted_caller,16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,4860.0,5.0,10681850.089430736,Nays,1699630662,10657550.089430736
268,whitelisted_caller,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,9999900.0,1.0,9999900.0,Ayes,1701094416,0.0
268,whitelisted_caller,12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,6529000.0,1.0,6529000.0,Ayes,1701094470,0.0
211,whitelisted_caller,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,585.0,5.0,2252025.5750354826,Ayes,1698707388,2249100.5750354826
211,whitelisted_caller,12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,250000.0,4.0,1000000.0,Nays,1698166776,0.0
211,whitelisted_caller,126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,150.0,1.0,527200.0,Ayes,1699049694,527050.0
211,whitelisted_caller,1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,0.0,0.1,510000.0,Ayes,1698173232,510000.0
380,whitelisted_caller,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,307594.2491188646,Ayes,1703432112,307584.2491188646
241,whitelisted_caller,12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,57716.0,4.0,230864.0,Ayes,1699324020,0.0
211,whitelisted_caller,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,5.0,157836.8512674005,Ayes,1698064932,152836.8512674005
380,whitelisted_caller,14iNZHkmLNyY4b2reCHUuZLWDNvouzQZfUUChU3YHDxupzDf,50000.0,3.0,150000.0,Ayes,1703401362,0.0
211,whitelisted_caller,152SMqD4TkRV4MFVZ5PuCmqhmMwkKDGjn6njtMwETxhE8QZR,125000.0,1.0,125000.0,Ayes,1698916242,0.0
241,whitelisted_caller,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5035491527,Ayes,1699545504,86029.5035491527
211,whitelisted_caller,12e1E8ADuvrXYfQFv5L2ir7M9yerTYWWLjAzMwFT3mMP3wyu,0.1,0.1,92861.4008670066,Ayes,1698308844,92861.3908670066
