referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
806,big_tipper,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,1.0,33750007.5,Nays,1716877848,33750000.0
806,big_tipper,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,783.5726891541,3.0,7411680.735465658,Nays,1716860688,7409330.017398195
782,big_tipper,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,35000.0,3.0,6154001.395953668,Ayes,1716256038,6049001.395953668
606,big_tipper,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,4.0,6018800.0,Nays,1711563318,6018000.0
602,big_tipper,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,0.1,6006543.199999999,Nays,1711493430,6006543.1
726,big_tipper,15fTH34bbKGMUjF1bLmTqxPYgpg481imThwhWcQfCyktyBzL,25.0,6.0,6006150.0,Nays,1714575318,6006000.0
724,big_tipper,1ZSPR3zNg5Po3obkhXTPR95DepNBzBZ3CyomHXGHK9Uvx6w,400.0,5.0,6002000.0,Nays,1714739934,6000000.0
711,big_tipper,12mP4sjCfKbDyMRAEyLpkeHeoYtS5USY4x34n9NMwQrcEyoh,48.0,3.0,6000144.0,Ayes,1714388400,6000000.0
764,big_tipper,1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,10.0,1.0,4000010.0,Ayes,1715608944,4000000.0
753,big_tipper,13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,5000.0,6.0,2886694.2,Nays,1715311596,2856694.2
559,big_tipper,121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,340000.0,4.0,2855000.0,Ayes,1709920320,1495000.0
806,big_tipper,1zkRkpCbD2nhB6vMEwxYxAsLh5SYYXXSVmatviKSk86SFFC,2200000.0,1.0,2200000.0,Nays,1716688062,0.0
727,big_tipper,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,700000.0,3.0,2100000.0,Ayes,1714589916,0.0
