referendum_index,origin,address,amount,conviction,total_votes,status,voting_time,delegated_votes
722,general_admin,156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,2695000.0,4.0,10780000.0,Ayes,1716877074,0.0
594,general_admin,15QupQzf9Gir1b4cGpt5Nc3JuRo645vkTeLm1XJNszBz9r2h,2312000.0,3.0,6936000.0,Ayes,1711642830,0.0
594,general_admin,1649c4indT6Dr3W2yVGZeEsTPpqgzAq67VMdQbsYRCTz8qyv,2225000.0,3.0,6675000.0,Ayes,1711642680,0.0
594,general_admin,13NyeyHnRUoYww2Xs9sHzVMRatC2PsqvbAgbm8J8aLj4ZCtg,1500000.0,3.0,4500000.0,Ayes,1711642932,0.0
594,general_admin,127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,996449.0,4.0,3985796.0,Ayes,1711642602,0.0
594,general_admin,14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,850000.0,3.0,2550000.0,Ayes,1711643034,0.0
722,general_admin,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,1.0,2031214.5138999878,Ayes,1715028588,2031203.8708999879
722,general_admin,1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,1.0,1.0,1565641.0,Nays,1714402104,1565640.0
594,general_admin,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,765.1390143562,3.0,1224161.514184901,Ayes,1711574592,1221866.0971418323
594,general_admin,14UdfsH3mCoSTD7LnikDVaRRPwgNq1pWCtsLPWtDHKUaftx2,350000.0,3.0,1050000.0,Ayes,1711643130,0.0
722,general_admin,15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,5000.0,3.0,422920.4382074516,Nays,1714402374,407920.4382074516
594,general_admin,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,1.0,337618.7244135924,Ayes,1712241114,337608.7244135924
722,general_admin,12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,51000.0,4.0,204000.0,Ayes,1715702862,0.0
722,general_admin,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,40000.0,4.0,160000.0,Ayes,1714404294,0.0
722,general_admin,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,40000.0,4.0,160000.0,Ayes,1714404312,0.0
722,general_admin,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,5.0,157213.5497593746,Ayes,1716546942,152213.5497593746
722,general_admin,154jnYuSvtnpCRNjQuunWpcRhzzU2J7ZhHE5vCZiwq6oKWUR,24500.0,6.0,147000.0,Nays,1716324594,0.0
722,general_admin,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,35000.0,3.0,132491.2709548758,Ayes,1716397296,27491.2709548758
594,general_admin,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1045.0,5.0,100401.60093593171,Ayes,1710965838,95176.60093593171
594,general_admin,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,1.0,96029.5447593316,Ayes,1711079664,86029.5447593316
594,general_admin,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,0.1,70315.6006392737,Ayes,1711448280,70314.6006392737
594,general_admin,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,1.0,60198.1360637799,Ayes,1711119522,60197.1360637799
722,general_admin,16QTaBxvDCmHsaxBZ48Q4TixnSdEWFZN5JTu3Bu3e5738bcG,8944.7067946146,3.0,26834.1203838438,Ayes,1714667364,0.0
722,general_admin,13mZThJSNdKUyVUjQE9ZCypwJrwdvY8G5cUCpS9Uw4bodh4t,1.1,3.0,25003.3,Ayes,1714938702,25000.0
722,general_admin,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,7500.0,3.0,23167.1946822495,Ayes,1715600568,667.1946822494999
722,general_admin,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,4.0,20009.9235388798,Nays,1714419186,5.9235388798
722,general_admin,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,4.0,18800.0,Ayes,1715670108,18000.0
594,general_admin,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Ayes,1711562166,15000.0
722,general_admin,1Qrotkokp6taAeLThuwgzR7Mu3YQonZohwrzixwGnrD1QDT,1.0,0.1,16800.1,Ayes,1714445904,16800.0
722,general_admin,13Srw7dVtGJnZrV3o6RCAJ97MaGbSKShQQiSYjbGp4Jvu4Cs,5061.0,3.0,15183.0,Nays,1714457508,0.0
722,general_admin,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,3.0,15000.0,Nays,1714451142,0.0
594,general_admin,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,3.0,15000.0,Ayes,1711171170,0.0
594,general_admin,12oubVqGFUFbY9RWsXZh5ivsnjf72dqkVRWby9Ca2NYGjLWy,1.0,0.1,13120.1,Ayes,1711936656,13120.0
722,general_admin,15zYwHBurB6xiYbPtp4aTdd2VHeMdjtUhJo7G7yspdxUjRH6,3933.4669570769,3.0,11800.4008712307,Ayes,1714709040,0.0
594,general_admin,12pHJra8Wm8TKmUhVjDJgcWbYQm5q7BPtzm7mmZGaJHBcf7u,5500.0,2.0,11000.0,Ayes,1711532568,0.0
594,general_admin,138X9xiStmfrWkPB8aogTyLyP25TkrGj6nEv3tYDZaxyjEgz,3.0,0.1,10000.3,Ayes,1711883310,10000.0
594,general_admin,14V9f68WA6EAG6ZefWryFXszSLDQ5SCiL8aPt2JixeHqNXsz,1.0,0.1,10000.1,Ayes,1712051400,10000.0
722,general_admin,16UvTJteZiHfoGjzMK5fAxwZd3wkbsFb2C1SKsMLCtxRhNWv,5000.0,2.0,10000.0,Nays,1714452090,0.0
594,general_admin,12YxXhbBGfVGTxUWTC7QGCdsRFtsZedHJZTe947siz3sPixF,10000.0,1.0,10000.0,Ayes,1711457394,0.0
722,general_admin,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,10000.0,1.0,10000.0,Nays,1714555656,0.0
594,general_admin,139YLKvyLxEeG7asCwBZniVKacCibNMNdMPrq3ukrzagMqUV,1.0,0.1,9857.5,Ayes,1711914864,9857.4
722,general_admin,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,9100.0,1.0,9100.0,Nays,1715653416,0.0
722,general_admin,16fY45exgWE6FzSbLD3WnhmvdHDGRqJTtUetBahg9ibaQets,3000.0,3.0,9000.0,Ayes,1716751950,0.0
722,general_admin,15hqnsaZVtLZPvp1rzQhBsgr9Zhry7hrS9FwjSg1zBnfdc6r,5.0,0.1,8300.5,Nays,1716574848,8300.0
594,general_admin,12iqwZGB2sguEhjFi2ZRuWWixU8mHJnSiP1pwDefqGsBy4rV,6800.0,0.1,7780.0,Ayes,1711003452,7100.0
594,general_admin,16VVNbc4m6aUxwaVwgRra6Ue7fMNGcRQHTFo1TqxmnCyuwwn,7400.0,1.0,7400.0,Ayes,1711635354,0.0
594,general_admin,14Sqrs7dk6gmSiuPK7VWGbPmGr4EfESzZBcpT6U15W4ajJRf,10.0,1.0,7010.0,Ayes,1711041234,7000.0
722,general_admin,14jHouxT1VbhBDw93VW8Z89p139Qgu7ECHz3zxM2CpQEDJDB,7000.0,1.0,7000.0,Nays,1714721532,0.0
722,general_admin,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,0.1,6543.200000000001,Ayes,1716356556,6543.1
722,general_admin,15fTH34bbKGMUjF1bLmTqxPYgpg481imThwhWcQfCyktyBzL,25.0,6.0,6150.0,Ayes,1716524202,6000.0
722,general_admin,15jrQX54HczCKJgtYYoKvzJ2kgyCyyA4kyvMv2bC8x9UtDpn,6000.0,1.0,6000.0,Ayes,1716738630,0.0
722,general_admin,131PZkz6A4fCFsXnefPnQwn5To6gvJFoit2boavU6ryUQoNE,6000.0,1.0,6000.0,Nays,1714822788,0.0
722,general_admin,12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,5000.0,1.0,5910.458473672,Ayes,1714759098,910.458473672
722,general_admin,16k5kPkBCMi89e1a9yGZGT4gHJW5H4KUQ5eVqPc8PGPxhi1K,5400.0,1.0,5400.0,Ayes,1717318086,0.0
722,general_admin,13uifUNALuwqiHZADQb2hrpwnL8kmawjqykx4yN661Tv7mR,5250.0,1.0,5250.0,Nays,1714750914,0.0
722,general_admin,12WNzfWXzogo8N27yNuE9T1xXC2VyJYmTqRDuePp2CNJLgPk,5000.0,1.0,5090.0,Ayes,1714759104,90.0
594,general_admin,14i6Wxp8nYxotNCq8MCgTU2j4rV4NGVW9xfrPuxk8qMUtvuC,5030.0,1.0,5030.0,Ayes,1711228584,0.0
594,general_admin,12zqozWYvokd2pN7Rr9JEtpfxAcUP7UmwS7ocGmf7rXpLeFG,5020.0,1.0,5020.0,Ayes,1711809846,0.0
722,general_admin,15tKco3E2zXYrtw2DgRThZpX541EdRhhNfGKzvSeHFr3QH2N,1.0,0.1,5000.1,Ayes,1716874344,5000.0
722,general_admin,127zarPDhVzmCXVQ7Kfr1yyaa9wsMuJ74GJW9Q7ezHfQEgh6,5000.0,1.0,5000.0,Nays,1714406814,0.0
722,general_admin,15u9KTyZzjVQJaCVmAPhFNjwyyS7aHjb6m5Exa22fRXQpTp6,5000.0,1.0,5000.0,Nays,1714538238,0.0
722,general_admin,13rkfSaFsMEFJAV1wcQcnbJnxiigJTb78qkkLSEvUNPA2QVZ,5000.0,1.0,5000.0,Nays,1714439838,0.0
594,general_admin,1LUckyocmz9YzeQZHVpBvYYRGXb3rnSm2tvfz79h3G3JDgP,5000.0,1.0,5000.0,Ayes,1711816344,0.0
722,general_admin,14Q74NU7dG4uxiHTSCSZii5T1Y368cm7BNVNeRWmEuoDUGXQ,5000.0,1.0,5000.0,Ayes,1717272618,0.0
594,general_admin,16ZkdRYne6geWLkhaMgraDkXXiKHwSSQkCtQ2pPJPtoroURn,5000.0,1.0,5000.0,Ayes,1711346916,0.0
594,general_admin,12RXTLiaYh59PokjZVhQvKzcfBEB5CvDnjKKUmDUotzcTH3S,5000.0,1.0,5000.0,Ayes,1711129698,0.0
722,general_admin,13YUxm83yzJrx7xN1JBc3y1cQBN1jvpbdZGYHq3EYnEZ3LJ9,1000.0,5.0,5000.0,Ayes,1715482020,0.0
594,general_admin,13J6LkvsEtdZpvRwUMVNbag26md9ycmGe5PM8UnEokhL6Tgk,5000.0,1.0,5000.0,Ayes,1711145856,0.0
722,general_admin,16HvKyV9B61hsop3ZY6pWYeV537S29kd9pb9FMrPzx49ym5X,5000.0,1.0,5000.0,Nays,1714668816,0.0
