referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
817,auction_admin,12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,2.5,2.999999053030751,15840002.5,Ayes,1717066260,15840000.0,5280000.0
817,auction_admin,16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,2.0,2.999999124182397,13701479.0,Ayes,1717066176,13701477.0,4567159.0
817,auction_admin,15a9VMaAj2ZKVN3fA97r9kPVppiJLjSXmsYLQKhVnPEPCQbv,1.95,2.9999899172686035,1160395.95,Ayes,1716987396,1160394.0,386798.0
817,auction_admin,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,35000.0,1.456934288785042,152858.3066915691,Ayes,1717263840,47858.3066915691,69917.7769156904
817,auction_admin,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,0.6887471502472241,59808.1089106389,Ayes,1717382904,59807.1089106389,86835.0891063882
817,auction_admin,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Ayes,1717001976,15000.0,5000.0
817,auction_admin,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,2.315790797310652,17507.9235388798,Ayes,1716992844,7505.9235388798,2559.2353887976
817,auction_admin,1Qrotkokp6taAeLThuwgzR7Mu3YQonZohwrzixwGnrD1QDT,1.0,5.997893609425205,16800.1,Ayes,1717016322,16800.0,2800.0
817,auction_admin,15zYwHBurB6xiYbPtp4aTdd2VHeMdjtUhJo7G7yspdxUjRH6,3984.2861743152,4.0,15937.1446972608,Ayes,1717065456,0.0,0.0
817,auction_admin,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,3.0,15000.0,Ayes,1717048950,0.0,0.0
817,auction_admin,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,11000.0,1.0,11000.0,Ayes,1717100256,0.0,0.0
817,auction_admin,14V9f68WA6EAG6ZefWryFXszSLDQ5SCiL8aPt2JixeHqNXsz,1.0,0.9999100089991001,10000.1,Ayes,1717393500,10000.0,10000.0
817,auction_admin,16UvTJteZiHfoGjzMK5fAxwZd3wkbsFb2C1SKsMLCtxRhNWv,5000.0,2.0,10000.0,Ayes,1717064718,0.0,0.0
817,auction_admin,14jHouxT1VbhBDw93VW8Z89p139Qgu7ECHz3zxM2CpQEDJDB,8000.0,1.0,8000.0,Ayes,1717187916,0.0,0.0
817,auction_admin,14Sqrs7dk6gmSiuPK7VWGbPmGr4EfESzZBcpT6U15W4ajJRf,10.0,5.563492063492063,7010.0,Ayes,1717164426,7000.0,1250.0
817,auction_admin,13Srw7dVtGJnZrV3o6RCAJ97MaGbSKShQQiSYjbGp4Jvu4Cs,5841.7366592061,1.0,6741.7366592061,Ayes,1717085322,900.0,900.0
817,auction_admin,16k5kPkBCMi89e1a9yGZGT4gHJW5H4KUQ5eVqPc8PGPxhi1K,5400.0,1.0,5400.0,Ayes,1717100268,0.0,0.0
817,auction_admin,15u9KTyZzjVQJaCVmAPhFNjwyyS7aHjb6m5Exa22fRXQpTp6,5000.0,1.0,5000.0,Ayes,1717387464,0.0,0.0
817,auction_admin,13rkfSaFsMEFJAV1wcQcnbJnxiigJTb78qkkLSEvUNPA2QVZ,5000.0,1.0,5000.0,Ayes,1717045758,0.0,0.0
817,auction_admin,1557x4U7JTAcso9AHpiVfrEsadABQ2swNWhDeh5WvUn9Zdog,1000.0,2.9047619047619047,3050.0,Ayes,1717043748,50.0,50.0
817,auction_admin,16KjnbCmBXqT3R956sHak7THsgQZ9Ek8ibnG1sFyCNtfJ8y,1000.0,0.9732475164313668,1835.6063194008,Ayes,1716976206,835.6063194008,886.0631940079
817,auction_admin,16frLykgLH5w8pNsvzEMTzCESMpLqWJMr4SGJUJQgYniDzdb,100.0,6.0,600.0,Ayes,1716982206,0.0,0.0
817,auction_admin,127zarPDhVzmCXVQ7Kfr1yyaa9wsMuJ74GJW9Q7ezHfQEgh6,5000.0,0.1,500.0,Abstains,1716977238,0.0,0.0
817,auction_admin,1zkLKr5TdWi7q2CCXRychcG36knyc3cwg6UebcYbkDzdv2p,4000.0,0.1,400.0,Ayes,1716978138,0.0,0.0
817,auction_admin,167Pbuy2HvbHshqc7Xtk4cweCXyyZoJLttAsddDuH3tN7Fco,106.0,3.0,318.0,Ayes,1716982470,0.0,0.0
817,auction_admin,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL,100.0,1.0,100.0,Ayes,1716972936,0.0,0.0
817,auction_admin,15kd4R9Fcgq5UFdUjrTDAK65q9Atc93iG2w9DEk2MHDFDfkr,3.0,6.0,18.0,Ayes,1717067742,0.0,0.0
817,auction_admin,162XCRVSmGnKdvAgyhbA9CbTyMDPDJsP8ijpArkKT9VMGvET,3.0,6.0,18.0,Ayes,1717068318,0.0,0.0
817,auction_admin,15dLWAUwegTVMNivZS8iTDyxSu2yYkBAk4ePvE3MYgjj9CJw,10.0,1.0,10.0,Ayes,1716983868,0.0,0.0
817,auction_admin,121NqPL1TNk9pGGdzH19LfeV9W97Qjt3huWUbEncM6yaT18V,50.0,0.1,5.0,Ayes,1716973242,0.0,0.0
817,auction_admin,15JjaHXBC6whzYhWiEi7uExsTboAC4tibbeBKPxh5CVk5Jfq,50.0,0.1,5.0,Ayes,1716975882,0.0,0.0
817,auction_admin,14T281eqSTFg2NjAfm4JQ9eTQFM7SycXZWNhPFGCFtvyZu9v,1.0,3.0,3.0,Ayes,1717007670,0.0,0.0
817,auction_admin,15AX5Mcq8Dzays358VobG42QT9KsWJQexNoeVruYUgtt5PcW,1.0,1.0,1.0,Ayes,1717099164,0.0,0.0
817,auction_admin,1438jkUR8M15MiSzgzAqGYJz1AzwnVgrRCykpcfoW5NmjKPz,0.0,,0.0,Ayes,1717367592,0.0,0.0
