referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
611,medium_spender,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,2.9999986666675555,33750007.5,Ayes,1711637052,33750000.0,11250000.0
770,medium_spender,12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,6392222.0,3.0,19176666.0,Nays,1715771064,0.0,0.0
591,medium_spender,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,7.5,2.999997500003125,18000007.5,Ayes,1712145072,18000000.0,6000000.0
763,medium_spender,12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,2.5,2.999999053030751,15840002.5,Ayes,1715932350,15840000.0,5280000.0
797,medium_spender,16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,2.0,2.999999124182397,13701479.0,Nays,1716877500,13701477.0,4567159.0
797,medium_spender,156U1ffF2ZSR5sBpYNUxvXu3rprh4x4of3WdYuBcReD87qcc,2695000.0,4.0,10780000.0,Nays,1716962970,0.0,0.0
773,medium_spender,13mXyFxnmuNKAAy2aVbx4xvm8LUNPb9oqteYa52kCikYyL9G,1547868.1688455937,5.0,7739340.844227968,Ayes,1716382506,0.0,0.0
807,medium_spender,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,785.4418249821,2.085031101879972,7657436.56095356,Nays,1717378962,7655080.2354786135,3671791.2185659446
760,medium_spender,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,35000.0,5.576414105562566,6154186.400528815,Ayes,1715629884,6049186.400528815,1068610.0052881495
790,medium_spender,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,5.999601275917065,6018800.0,Ayes,1716899214,6018000.0,1003000.0
656,medium_spender,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,5.992906358626029,6006642.1,Ayes,1713511380,6006641.1,1002291.0
582,medium_spender,15fTH34bbKGMUjF1bLmTqxPYgpg481imThwhWcQfCyktyBzL,25.0,6.0,6006150.0,Ayes,1712495136,6006000.0,1001000.0
754,medium_spender,1ZSPR3zNg5Po3obkhXTPR95DepNBzBZ3CyomHXGHK9Uvx6w,400.0,5.999600159936025,6002000.0,Nays,1715572038,6000000.0,1000000.0
728,medium_spender,12mP4sjCfKbDyMRAEyLpkeHeoYtS5USY4x34n9NMwQrcEyoh,40.0,5.999920003199872,6000160.0,Ayes,1715852172,6000000.0,1000000.0
611,medium_spender,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,700000.0,6.0,4200000.0,Nays,1712643720,0.0,0.0
690,medium_spender,1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,10.0,3.999968000351996,4000012.0,Ayes,1715676546,4000002.0,1000001.0
773,medium_spender,127Y9PPKUCNs3cEJk9ay4uALzrG245AatN7c2DhATQS2b2nE,996449.0,4.0,3985796.0,Ayes,1716964368,0.0,0.0
735,medium_spender,13Ne3Gc3gmed5dc6LY5nV8Kyd6zpEMLCXKmkeziYxMHkvj8W,790000.0,5.0,3950000.0,Ayes,1714986162,0.0,0.0
577,medium_spender,121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,350000.0,5.660377358490566,3000000.0,Ayes,1712891508,900000.0,180000.0
748,medium_spender,13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,5000.0,6.0,2886694.2,Ayes,1715498964,2856694.2,476115.7
557,medium_spender,14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,691110.2068777956,4.0,2764440.8275111825,Nays,1710115890,0.0,0.0
577,medium_spender,14ggEp4Bv3WeQ52x4LFdoid8pPWQvFxahHCZHNyF7gHiGCTf,850000.0,3.0,2550000.0,Ayes,1712834256,0.0,0.0
748,medium_spender,1v7pFmYFtFWJ56VLmPE6wsHmfxZixADpuv4bpwPg87YNQe9,395000.0,4.0,1580000.0,Ayes,1715846130,0.0,0.0
597,medium_spender,12gneUo33SvJu2dSRxJgpgfdbygekDJ8ghqkTXv9tzPA47ao,750000.0,2.0,1500000.0,Ayes,1711648830,0.0,0.0
683,medium_spender,13MSZpWBGTM7aWramN2rhz2fSacxvMwwyMApp5vQ38GronAt,290000.0,5.0,1450000.0,Ayes,1715051034,0.0,0.0
687,medium_spender,1vcpBviYt3hhiDd3EvaE3opgCdSJWkmEfv5WZt93TmD1evD,1.45,2.999993321533942,1302691.45,Nays,1715153772,1302690.0,434230.0
748,medium_spender,15a9VMaAj2ZKVN3fA97r9kPVppiJLjSXmsYLQKhVnPEPCQbv,1.95,2.9999899172686035,1160395.95,Ayes,1715876874,1160394.0,386798.0
733,medium_spender,13dKEY6zDazKA1Ew7jjsEMUwy5Nt2bnh2S5UagMrcnfkPSPZ,375000.0,3.0,1125000.0,Ayes,1714812018,0.0,0.0
773,medium_spender,1H1aMkpYrkjtcQHXc5Zqd2jXxMQqBh7ZnkkRSu62Yz2vEbK,320670.0,3.0,962010.0,Ayes,1717055592,0.0,0.0
773,medium_spender,13zVKZtF7pCXYzd2ydJJqUUNHsXAVtXUqS1ecsorx3Jjew9j,299999.3822308876,3.0,899998.1466926628,Ayes,1717055712,0.0,0.0
773,medium_spender,155NMRUQXoAfZtgjjZfaSNX1iMqV3H2R6qciUAGqor6oUnJg,299999.0,3.0,899997.0,Ayes,1717055760,0.0,0.0
773,medium_spender,1vDmwb5htYYzNjnXUtYRtWvVsPUSVqL3z3RToa3pRHYLz6z,299998.6220110508,3.0,899995.8660331524,Ayes,1717055634,0.0,0.0
735,medium_spender,16DPjY93e92jPsj2LHRPpdtouZC1CyRu9G88kMieZmUVBcaP,164000.0,5.0,820000.0,Ayes,1715455536,0.0,0.0
