referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
823,small_tipper,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,785.4418249821,1.985511522879879,7248781.781379263,Nays,1717378962,7246425.455904316,3650052.993433903
799,small_tipper,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,35000.0,5.58560995313495,6154001.395953668,Ayes,1716859428,6049001.395953668,1066759.959536685
659,small_tipper,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,5.999601275917065,6018800.0,Ayes,1712731362,6018000.0,1003000.0
708,small_tipper,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,5.989020226816335,6006544.1,Ayes,1714027530,6006543.1,1002925.0
780,small_tipper,15fTH34bbKGMUjF1bLmTqxPYgpg481imThwhWcQfCyktyBzL,25.0,6.0,6006150.0,Nays,1716014748,6006000.0,1001000.0
707,small_tipper,1ZSPR3zNg5Po3obkhXTPR95DepNBzBZ3CyomHXGHK9Uvx6w,400.0,5.999600159936025,6002000.0,Nays,1714178748,6000000.0,1000000.0
628,small_tipper,12mP4sjCfKbDyMRAEyLpkeHeoYtS5USY4x34n9NMwQrcEyoh,48.0,5.999856006911668,6000144.0,Ayes,1711798830,6000000.0,1000000.0
756,small_tipper,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,3.911562638150247,2028548.5138999878,Ayes,1715536530,2028537.8708999879,518592.45799987955
715,small_tipper,1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,1.0,5.018167206664703,1380001.0,Nays,1714150998,1380000.0,275000.0
628,small_tipper,121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,300000.0,4.0,1200000.0,Ayes,1711685994,0.0,0.0
579,small_tipper,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,2.338662844786276,296140.5494767483,Ayes,1710592356,296130.5494767483,126618.1499861994
767,small_tipper,12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,51000.0,4.0,204000.0,Ayes,1715702892,0.0,0.0
780,small_tipper,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,3.9872770732006884,158213.5497593746,Nays,1716752124,152213.5497593746,38679.5975937465
799,small_tipper,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,2.06811890664805,100690.347091685,Ayes,1716494700,95162.847091685,47581.4235458425
589,small_tipper,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,0.9443525421276879,96029.5035491527,Ayes,1711080420,86029.5035491527,91688.19298436149
708,small_tipper,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,2.9977799377536374,70315.6006392737,Ayes,1714035786,70314.6006392737,23445.8913927365
708,small_tipper,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,0.6634400546885375,60198.1360637799,Ayes,1714124940,60197.1360637799,90735.3606377985
660,small_tipper,152QVNLesJAu4saeSZ53JSQU6iMuSqt5p8LCVBicyawGrcMf,12600.0,3.0,37800.0,Ayes,1712719590,0.0,0.0
799,small_tipper,16QTaBxvDCmHsaxBZ48Q4TixnSdEWFZN5JTu3Bu3e5738bcG,9027.3407083568,4.0,36109.3628334272,Ayes,1716478086,0.0,0.0
715,small_tipper,12ow3eJ3vbjeNRahUUrBnc98mWeJTSQ7rJCAVqiFQDEnzbu8,9500.0,3.0,28500.0,Ayes,1714207878,0.0,0.0
707,small_tipper,13mZThJSNdKUyVUjQE9ZCypwJrwdvY8G5cUCpS9Uw4bodh4t,1.1,1.0000879961281703,25003.3,Nays,1714937592,25000.0,25000.0
578,small_tipper,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,5.0,25000.0,Ayes,1710537924,0.0,0.0
628,small_tipper,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,7500.0,1.6347221008109658,23167.1946822495,Ayes,1711736238,667.1946822494999,6671.946822494499
588,small_tipper,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,3.9543463893355577,20009.9235388798,Ayes,1710998730,5.9235388798,59.2353887976
588,small_tipper,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,4.0,20000.0,Ayes,1710954948,0.0,0.0
717,small_tipper,12KK58ncKnnozV3MjmtTGMr6dZjBR5Ryc2Gm4v2ADrayoLQd,10000.0,2.0,20000.0,Ayes,1714247172,0.0,0.0
578,small_tipper,16UgRGtYLuDWsBvjLLtc6FYVB3qSCV9c4sidcN4zaFm9qCFR,6600.0,3.0,19800.0,Ayes,1710551694,0.0,0.0
767,small_tipper,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,9100.0,2.0390455531453364,18800.0,Ayes,1715635944,600.0,120.0
708,small_tipper,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Ayes,1713977562,15000.0,5000.0
629,small_tipper,1Qrotkokp6taAeLThuwgzR7Mu3YQonZohwrzixwGnrD1QDT,1.0,5.997893609425205,16800.1,Ayes,1711752048,16800.0,2800.0
585,small_tipper,1gatoakSkH4be8KD9Ekj5xCXMdAiGxieg2NfTg41s2UME5J,1.0,1.9992006394884092,15006.0,Ayes,1710849876,15005.0,7505.0
571,small_tipper,12oubVqGFUFbY9RWsXZh5ivsnjf72dqkVRWby9Ca2NYGjLWy,1.0,2.376399203042927,13120.1,Ayes,1710422916,13120.0,5520.0
679,small_tipper,15wnPRex2QwgWNCMRVSqgqp2syDn8Gf6LPGGabRhA8zoohpt,5000.0,1.0633798335973217,12031.4332747966,Nays,1713686286,7031.4332747966,6314.3327479658
610,small_tipper,12pHJra8Wm8TKmUhVjDJgcWbYQm5q7BPtzm7mmZGaJHBcf7u,5500.0,2.0,11000.0,Ayes,1711532832,0.0,0.0
780,small_tipper,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,11000.0,1.0,11000.0,Nays,1716580956,0.0,0.0
571,small_tipper,138X9xiStmfrWkPB8aogTyLyP25TkrGj6nEv3tYDZaxyjEgz,3.0,1.998860683589846,10000.3,Ayes,1710422964,10000.0,5000.0
629,small_tipper,14V9f68WA6EAG6ZefWryFXszSLDQ5SCiL8aPt2JixeHqNXsz,1.0,0.9999100089991001,10000.1,Ayes,1712249376,10000.0,10000.0
