referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
615,whitelisted_caller,15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,32116500.0,1.0,32116500.0,Ayes,1713168162,0.0,0.0
688,whitelisted_caller,14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,20126600.0,1.0,20126600.0,Ayes,1714391430,0.0,0.0
630,whitelisted_caller,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,2.99999760000288,18750007.5,Ayes,1712480100,18750000.0,6250000.0
630,whitelisted_caller,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,7.5,2.999997500003125,18000007.5,Ayes,1712480082,18000000.0,6000000.0
740,whitelisted_caller,16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,2.0,2.999999124182397,13701479.0,Ayes,1715844318,13701477.0,4567159.0
630,whitelisted_caller,16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,10875600.0,1.0,10875600.0,Ayes,1712564658,0.0,0.0
740,whitelisted_caller,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,9999900.0,1.0,9999900.0,Ayes,1715864460,0.0,0.0
680,whitelisted_caller,13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,5000.0,6.0,2886694.2,Ayes,1715314194,2856694.2,476115.7
716,whitelisted_caller,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,3.9242468935949026,2032230.5138999878,Ayes,1714342782,2032219.8708999879,517854.45799987955
791,whitelisted_caller,1v7pFmYFtFWJ56VLmPE6wsHmfxZixADpuv4bpwPg87YNQe9,395000.0,3.0,1185000.0,Ayes,1716342804,0.0,0.0
791,whitelisted_caller,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,781.9867923439,0.4343804566703665,1150954.6282808974,Ayes,1716478644,1148608.6679038657,2648864.4478176497
648,whitelisted_caller,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,700000.0,1.0,700000.0,Ayes,1712644398,0.0,0.0
639,whitelisted_caller,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,2.4366149799015875,289972.3213001217,Ayes,1712101236,289962.3213001217,118996.2130012159
581,whitelisted_caller,12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,95231.0,3.0,285693.0,Ayes,1710755766,0.0,0.0
648,whitelisted_caller,12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,51000.0,4.0,204000.0,Ayes,1713435858,0.0,0.0
680,whitelisted_caller,12e1E8ADuvrXYfQFv5L2ir7M9yerTYWWLjAzMwFT3mMP3wyu,0.0,3.0,174732.0,Ayes,1714140852,174732.0,58244.0
791,whitelisted_caller,14w9TR3CX7syCEgQ1w3yj1uBwVdsPucNpGQyeetAera5XgxB,10.0,1.9998837344494826,172010.0,Ayes,1716538002,172000.0,86000.0
688,whitelisted_caller,14Weh5QRkAYafkAr1X8pTjZVFRcZnKgyr8MG19M4YPucKrMZ,84130.5979927551,2.0,168261.1959855102,Ayes,1715012700,0.0,0.0
716,whitelisted_caller,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,40000.0,4.0,160000.0,Ayes,1714148106,0.0,0.0
716,whitelisted_caller,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,40000.0,4.0,160000.0,Nays,1714406274,0.0,0.0
791,whitelisted_caller,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,3.987277169392419,158214.7497593746,Ayes,1716750900,152214.7497593746,38679.8975937465
740,whitelisted_caller,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,35000.0,1.353355114117435,133058.2620509136,Ayes,1715625252,28058.2620509136,63317.3305091362
680,whitelisted_caller,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,2.0625747183869607,100704.10093593171,Ayes,1714815048,95176.60093593171,47718.9619883092
593,whitelisted_caller,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,0.9443525421276879,96029.5035491527,Ayes,1711079040,86029.5035491527,91688.19298436149
615,whitelisted_caller,1eGtATyy4ayn77dsrhdW8N3Vs1yjqjzJcintksNmScqy31j,1.0,3.981598405395163,80010.4046383877,Ayes,1711487598,80009.4046383877,20094.0463838773
