referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
311,big_tipper,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,60.0,3.016237114366951,55706.44817861586,Nays,1701107382,55346.44817861586,18408.85575184879
292,big_tipper,CtuE3upm8EoERNsaCmoomWLfeg97nELcrDAef7S3v6N5amM,4213.0,4.0,16852.0,Ayes,1698054966,0.0,0.0
307,big_tipper,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,3.000698003017515,15914.808,Ayes,1699988484,14914.808,4303.702
311,big_tipper,CjUaA1Wx7keH4yZvKmf6NyDDZu6Y5U9xv3jZQ9u5FfgxXXc,1667.0,6.0,10002.0,Nays,1701114114,0.0,0.0
292,big_tipper,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,1.0,10000.0,Ayes,1697989746,0.0,0.0
310,big_tipper,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,3.263157894736842,6200.0,Ayes,1700817210,6000.0,1800.0
292,big_tipper,G4qFCkKu7BiaWFNLXfcdZpY94hndyKnzqY1JtmiSBsTPSxC,0.008877550444,0.9999983829627517,4941.000887755044,Ayes,1697650374,4941.0,4941.0
311,big_tipper,DDbQ9YnjeLS6DvZgvTgFvttnqJZrD12gVq4889yh9opXVS6,1.0,3.003988035892323,3013.0,Nays,1701283302,3012.0,1002.0
307,big_tipper,H1tAQMm3eizGcmpAhL9aA9gR844kZpQfkU7pkmMiLx9jSzE,10.0,5.878048780487805,2410.0,Ayes,1700044896,2400.0,400.0
310,big_tipper,GU77syTfPXdzKCuqASura9ZKgxmD2rEDhj89c9TGL6vc9Qw,50.0,2.958501783590963,1244.05,Ayes,1700829606,1194.05,370.5
311,big_tipper,G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,1.0,5.970646766169153,1200.1,Nays,1701348660,1200.0,200.0
311,big_tipper,HWyLYmpW68JGJYoVJcot6JQ1CJbtUQeTdxfY1kUTsvGCB1r,111.0,3.6758125826327968,1022.78670791593,Nays,1700778438,356.78670791593,167.247784652655
311,big_tipper,FGASn5MVrRKpvYkULb9UsMoqjJQFG2p3izNSzCGSzYa2dAP,80.0,5.0588235294117645,860.0,Nays,1700777166,540.0,90.0
292,big_tipper,E5djM6u2p67C1LfkSyNDfRnvYwg6HAQxwPB8yK6Q5eAwdjn,208.0,4.0,832.0,Ayes,1697815740,0.0,0.0
311,big_tipper,D2r9AudNkHHpKfGtS5rpVHkchBoBhRsR6TmNcTuU4yiTp6w,188.312,2.4098455359476225,700.812,Nays,1700802234,512.5,102.5
311,big_tipper,JBmYvpebasxckBsohyyWse7yggsowfgt5xRJvkzu2txUJdi,100.0,3.5,700.0,Nays,1700912502,600.0,100.0
310,big_tipper,JBwJ33SrTv6jFZroGBWNdpR2Kat3GW5CfSvhDFqvwxLUU4C,70.0,4.599600266489007,690.4,Ayes,1700832174,480.4,80.1
311,big_tipper,E2gCFEisQ3k4LmaJHBysj8f1SRoG6jCo5ffFdX9XidqsjDC,100.0,3.4234930448222567,664.5,Nays,1700847474,564.5,94.1
311,big_tipper,Hgjqt5NUcKzNckgz23xfaJL89onmvmTrywZ6xH5FhY7LfKG,57.0,3.6588235294117646,622.0,Nays,1701937656,565.0,113.0
310,big_tipper,FfbuQ6wUEfGKxCQpiQcxfMBY5oxKBHiGQVDzAz61Ui57TPY,55.5555,3.6495620018777863,600.5555,Ayes,1700739102,545.0,109.0
292,big_tipper,DczAw1iwYjCftH3NJC1Cp3oXLxUbLSKnb4d2UrXNVLMKrgo,120.0,5.0,600.0,Ayes,1697715402,0.0,0.0
311,big_tipper,D5aAp1y8XfkrmtPqsGFZtCjJrPZqKrsG2ceSha846jy6RMU,139.630679901632,1.6524395170814494,590.963067990163,Nays,1701266406,577.0,218.0
310,big_tipper,FALhH3XMMbXiKoG6u9XS8CJuxiA2eKA2HFn4oh3JpfwvBNF,80.0,3.5469037400367873,578.5,Ayes,1701009972,498.5,83.1
310,big_tipper,Dtdb7sR6NYGJbrHYqeW2ANwvY1mXSh1yuP2JHJm9ZmxMwyF,60.0,4.5,540.0,Ayes,1700832234,360.0,60.0
311,big_tipper,HvshspvW9yk29mrCSBLcpv8MRbna4incDkt5C86ezZ6XKPH,100.0,3.0930232558139537,532.0,Nays,1700867490,432.0,72.0
292,big_tipper,FqoyFHg87YVYvRLGRr2M2x3AZ8SKEt4D7vQb9uPFHnCDN66,500.0,1.0,520.0,Ayes,1697900298,20.0,20.0
310,big_tipper,Cx8jJMMwTcEwTMHSQDdwTwFJCmmTsMVz25auV95WkFBZnZv,80.0,3.084979054458408,515.5,Ayes,1701010038,435.5,87.1
310,big_tipper,CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,39.0,1.0,492.0809,Ayes,1700762238,453.0809,453.0809
292,big_tipper,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,5.43851768669287,484.3,Ayes,1697774946,184.3,39.05
292,big_tipper,HTyzs9XAxUpHpNe7Kwhp3M5kCJuxFm4AYRCpYjcHdhiVDFE,50.0,3.8813559322033897,458.0,Ayes,1697714706,408.0,68.0
292,big_tipper,DPb2z99bbieLXWADo1dsLTijTc84vktx5nZmu79NztbC3NS,25.0,2.26,452.0,Ayes,1697736336,427.0,175.0
311,big_tipper,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,0.2,0.9995549344418433,404.2548,Nays,1701178620,404.2348,404.2348
311,big_tipper,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,400.0,1.0,400.0,Nays,1700861766,0.0,0.0
311,big_tipper,EvoLanodoqDsgHb98Ymbu41uXXKfCPDKxeM6dXHyJ2JoVus,400.0,1.0,400.0,Nays,1701857082,0.0,0.0
311,big_tipper,Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,100.0,1.0,357.0,Nays,1701165570,257.0,257.0
311,big_tipper,E5hWebLmPSFSUq3nSfGuFYopAK65fooqiXV91gQwuZGuMad,100.0,1.0,320.0,Nays,1701165558,220.0,220.0
292,big_tipper,GJWFwL8bxZszS5nJNWCV6vC5nBERLgscKSeNF3U9ZcQxL12,70.0,4.0,280.0,Ayes,1697696844,0.0,0.0
311,big_tipper,DVasGX5qBMrCwNM8SnLyFrRpeniAwAsWe2noN6jPdx1jjao,275.0,1.0,275.0,Nays,1701249192,0.0,0.0
311,big_tipper,E84ypSizBDJDxwhtYy4Q4t5RKsy1DppPuU1AP47HVeKhXYt,55.0,5.0,275.0,Nays,1701803754,0.0,0.0
292,big_tipper,FDL99LDYERjevxPnXBjNGHZv13FxCGHrqh2N5zWQXx1finf,65.0,4.0,260.0,Ayes,1698056226,0.0,0.0
307,big_tipper,EPV1c7jjoCFPkWqTzTkbuT3oGRM8HkjbTVHeuvsyiAbB2aZ,64.0,4.0,256.0,Ayes,1700029128,0.0,0.0
307,big_tipper,EPV2HxrBnVB2n4p7Mb38A3BrzCyREWbzQ75cC9rkZhRYcRE,64.0,4.0,256.0,Ayes,1700029194,0.0,0.0
310,big_tipper,Cu2z7dVVdzFyDVTjUPm7feV9RFQ8QiG3yLGsVEj5NohFXk7,250.0,1.0,250.0,Ayes,1700861664,0.0,0.0
311,big_tipper,J6ixMhTj9UmgZtNiWVGs1SdGm9HXSj7z2Emjc9syMgGdN5X,250.0,1.0,250.0,Nays,1701063780,0.0,0.0
