referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
377,big_spender,DXCungXJNFY8qCycRFFVjvFJb2xmkLmyoDvJiEv8sF1dCha,116859.05922802936,3.0000000000000004,350577.17768408806,Ayes,1713435210,0.0,0.0
377,big_spender,GZgn2Styf1XN2UzDL2amMxMZ5BZsbe8oJ6gmTN2DLBMkoNV,132106.76731499014,2.0,264213.5346299803,Ayes,1713435630,0.0,0.0
377,big_spender,FiWi4ufpytpMM3ivqfL3fE1j4jgyGLCJCspt24uJsXtUfiJ,121130.46235394664,2.0,242260.92470789328,Ayes,1713435000,0.0,0.0
394,big_spender,CgnThbzAUfAhxTAHovd9sHyxLKASW12VkPyHE6GzLbf3TUV,0.2,2.99999411766436,204000.2,Nays,1715775786,204000.0,68000.0
377,big_spender,Cv88RDrQB1tNLmee2Yja5DggLUBMbWoJL61VV1we15ebcZg,10260.0,6.0,61560.0,Ayes,1713455052,0.0,0.0
394,big_spender,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,356.74331113985,2.9979484075679323,56976.73747278891,Nays,1715737692,55906.50753936936,18648.499517241893
377,big_spender,EuTwaQimMkb7JgwJKmegAXeyQuCGuzLbdtzFpUBDUoKrvK2,10000.0,5.0,50000.0,Nays,1713416112,0.0,0.0
377,big_spender,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,5.0,50000.0,Nays,1713415806,0.0,0.0
377,big_spender,HiguaAvCgFZFrvbf8fpTfMBg95QEyLbyLVzpkLYkyuBW4sx,9400.0,5.0,47000.0,Nays,1713415830,0.0,0.0
367,big_spender,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,5.2898550724637685,36500.0,Nays,1712243952,36000.0,6800.0
394,big_spender,G4RasQNUjgkXkdCuW2zgMJPcjZijaTmkJixb3oMxg9eiHng,12000.0,3.0,36000.0,Ayes,1715330112,0.0,0.0
366,big_spender,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,5.90032320014989,31491.5,Ayes,1711474614,31291.5,5287.25
367,big_spender,Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,100.0,5.901960784313726,30100.0,Nays,1711494090,30000.0,5000.0
394,big_spender,FDL99LDYERjevxPnXBjNGHZv13FxCGHrqh2N5zWQXx1finf,90.0,5.911591355599215,30090.0,Ayes,1715528268,30000.0,5000.0
363,big_spender,EocabFvqttEamwQKoFyQxLPnx9HWDdVDS9wwrUX1aKKbJ5g,70.0,5.918540433925049,30007.0,Abstains,1711056552,30000.0,5000.0
394,big_spender,J9FdcwiNLso4hcJFTeQvy7f7zszGhKoVh5hdBM2qF7joJQa,0.1,5.9999000019999595,30000.1,Ayes,1715701770,30000.0,5000.0
377,big_spender,FUFgDE24fyYqW4jiQ87tzjK2zBBSixvXhyjgegQCjuyfJja,5856.0,5.0,29280.0,Nays,1713415860,0.0,0.0
377,big_spender,DREQKFXhEa7UxRqwkih4xHUEcg2B1eDLe4nKzfwaNbwf9pZ,5555.0,5.0,27775.0,Nays,1713415848,0.0,0.0
377,big_spender,G77MNUM4sHzZdhmbQrnoEjFbgKgoAdsbPpFGNpmQXtbxRjH,5545.0,5.0,27725.0,Nays,1713415836,0.0,0.0
