referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
402,root,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,362.655706969436,2.846428591269057,51975.19100516063,Nays,1717016472,50887.22388425232,17897.13523406658
395,root,FS32DgoVLooSr6DzBLqjZmw33PWXhiDJWdr11krthLxKiaf,10000.0,1.0,10000.0,Ayes,1715791602,0.0,0.0
395,root,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,3.4210526315789473,6500.0,Ayes,1716755964,6000.0,1800.0
395,root,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu,1e-12,1.0437453737971873,1410.100000000002,Ayes,1716010278,1410.100000000001,1351.000000000001
395,root,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,4.7028635720248255,1295.78,Ayes,1716400332,1095.78,225.53
395,root,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,0.2,2.2772092544036164,1295.1721,Ayes,1716202440,1295.1521,568.5541
402,root,G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,1.0,5.970646766169153,1200.1,Nays,1717357680,1200.0,200.0
395,root,EtommijqrHDFWFvBxP515oUbkXx9vK2qohzrmwpCXbU7Yx2,1.0,5.939795918367347,582.1,Ayes,1716318282,582.0,97.0
402,root,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,520.0,1.0,520.0,Nays,1716853128,0.0,0.0
395,root,FqoyFHg87YVYvRLGRr2M2x3AZ8SKEt4D7vQb9uPFHnCDN66,29.237745282557,3.74840181748733,446.950981130228,Ayes,1715970840,330.0,90.0
395,root,EQMipshNYYvHL427XS2HyTvisAhTokXKZfhaRkKxz6sKxQd,100.0,3.0,300.0,Ayes,1716212460,0.0,0.0
402,root,CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,20.0,1.0,220.0,Nays,1716790020,200.0,200.0
395,root,DN2oxCHnJviLK1NoYdzSNo9n9gmH3eBTfLGXSUcoFcq5khX,70.0,3.0,210.0,Ayes,1716212532,0.0,0.0
395,root,EckcmXbCj4huvNLP5btMFmJz8SzEt5s8hgKcL6LM8BtZeAf,1610.4773880183,0.1,161.04773880183,Ayes,1715757558,0.0,0.0
395,root,J7XHBQxacqTTVkoNoSgcG6CgREb9JVh2DHBbBQ1ycvkLBq4,50.0,3.0,150.0,Ayes,1716212604,0.0,0.0
395,root,E7njcoMxryWRdeLuieJxsDWvnj4pDgJJ3Z7j5BCw8oZuMVX,50.0,1.0800752312250173,141.59739363526802,Ayes,1715741298,136.59739363526802,81.099565605878
402,root,EctdZvgkphLJMQmKntaPP74LKpGvDKaj1cbqC8fUT4HzqiC,25.0,1.4444444444444444,130.0,Nays,1716714414,105.0,65.0
402,root,GefTiMd4roQrRkJzurdLdGsoAUkmMkiGoYd6Cvu5oqCgamX,18.0,3.0,114.0,Nays,1717268190,60.0,20.0
402,root,GZeiCMQMMU3yPV2GMwZoiNvC1cqMWx7HTSBXeJsd27b3Wnj,105.0,1.0,105.0,Nays,1716882474,0.0,0.0
402,root,GeSU3Yv52v5Bux66tUYRemisbSmWQ8ykPoUt4N7rBy88LxM,10.0,3.0,102.0,Nays,1717137492,72.0,24.0
402,root,DPoJe9z9k36jJpCj32K6m2eT6DAnwvkrUsUkXHnRXWiEuyY,101.0,1.0,101.0,Nays,1717359198,0.0,0.0
402,root,HTiHYfSRCkUn5u58KRHWjkNPRPP1MNahuXdEr2TtJ5xXfZU,101.0,1.0,101.0,Nays,1717359156,0.0,0.0
395,root,JKzwkX6JcARutZvJpArnUFZnYnbsZedCTJfbhrqTtPuxezU,101.0,1.0,101.0,Ayes,1716017808,0.0,0.0
395,root,GPTwmqixpfnum8jCBVmYBYnseb8q6g9b4kxWRRuuRTAqMoX,101.0,1.0,101.0,Ayes,1716017856,0.0,0.0
402,root,ESM8k6WhtMu8gotAkmuNrGhrG9RR7mAfvLARyif9Gqjvu2P,101.0,1.0,101.0,Nays,1717359456,0.0,0.0
395,root,DXuN5rty7aNtc3rb7s1HQFsNuiXYtQvFv5HtfkWGq5yyhP9,101.0,1.0,101.0,Ayes,1716017760,0.0,0.0
395,root,DMNWV5U4GHvc28LNbYzckpPqihSqSu6C4WnKQWgSXbZqwJy,101.0,1.0,101.0,Ayes,1716017658,0.0,0.0
402,root,FS8nKS5ReuaA999xUKTEzDDCA8BXyyrxD73KKyqwbRRt2Hf,50.0,2.0,100.0,Nays,1716913794,0.0,0.0
402,root,HyeiEyrdKTvJBpgSXNFtsYGLZiaWjSLjTSTDwZT7WDNwzi2,100.0,1.0,100.0,Nays,1717359240,0.0,0.0
402,root,GPeAgenYP4rngtRtFufgCcn3oezWRRHgzCPJUSSqbNfxFkm,100.0,1.0,100.0,Nays,1717359312,0.0,0.0
402,root,Dmkww4FsXG3gjCTdpuyAXxfKWtXfYcxV1VJfy7JyPxvjUPA,100.0,1.0,100.0,Nays,1717359492,0.0,0.0
402,root,EmAFBdRFbJiyThqSt9vv2vVECcdTU9nJqa3wTxgKCVKMoC4,100.0,1.0,100.0,Nays,1717359528,0.0,0.0
402,root,EtuN1h92gaV961S15PwxN6GHyeonaojALZ8Dddgn1oDPRFt,100.0,1.0,100.0,Nays,1717359144,0.0,0.0
402,root,EUpZJBP4ycthqtGQum4ZUTMCxissiage6ffBgDBorJY7XRn,95.0,1.0,95.0,Nays,1716914586,0.0,0.0
402,root,EVhWhw6w6i5C9SV3FbHdM1rroTxsM5UzxEKMyXCwnct2EnH,50.0,1.2758620689655173,74.0,Nays,1716977700,24.0,8.0
395,root,DfU6GdbHqkXDJqdSA2uHVPkjUgLG8tFfAabFdacN2VP8tbp,55.0,1.0,55.0,Ayes,1715878512,0.0,0.0
395,root,D8DtYYJUUBoACJwJrLNyn8aYArumdViVWAcZRUKcxnSoV9D,550.0,0.1,55.0,Abstains,1716717384,0.0,0.0
402,root,GCzeGccTUJaJSsUHWKaPb5AKiHP8oxm6jJsxDjMbEtNGf2H,50.0,1.0,50.0,Nays,1717425630,0.0,0.0
402,root,FWz717J6ATaYSNy2tRHAskEC9SP4uKHNJYC9mvfvimkB8GT,50.0,1.0,50.0,Nays,1716831138,0.0,0.0
402,root,JHwBvr7JeNXW8S8JL7wumsvqYZ8Kf2W1xrYn5nS1Z8p81VL,50.0,1.0,50.0,Nays,1716684192,0.0,0.0
402,root,HvumdQbk47PXTz57UDrZP5n8rmgf27upC1ooPjtZf9XA2Wk,50.0,1.0,50.0,Nays,1716684162,0.0,0.0
395,root,GL5jF2yxfVA499zNkjMEfiznhD2hJQX4s2Ega7fk93vt8qf,41.0,1.0,41.0,Ayes,1716262584,0.0,0.0
395,root,EiiSBrZ9kPJhPwf114LF6DyrHCLSKucFTS2TPpSH7zWkTTG,380.0,0.1,38.0,Ayes,1716013032,0.0,0.0
402,root,EABjGLcjFpYUwy7WoSRgQzy3hMQEqLhdwvXDm8Xj13rhBJP,32.0,1.0,32.0,Nays,1716651972,0.0,0.0
395,root,EqbjvFvZZo11txeXQjzLdUfLWHCaXsY3k2gDydpnRrShkag,10.18,3.0,30.54,Ayes,1716219156,0.0,0.0
402,root,CxaLLBqYFneSXx5vT4Mwe66paz8jae14BGY1xoucBj6De4G,10.12,3.0,30.36,Nays,1716982626,0.0,0.0
395,root,GHuTRo2jNiXZyc87dU9jRF5iASx1J9G4rgZLPgxxFpj6jD3,10.1,3.0,30.3,Ayes,1715776890,0.0,0.0
395,root,FdA6PTtnr1yVfCv8RYqdSBfz1UhQFbfW12mn795L8zPaXhq,10.03,3.0,30.09,Nays,1716118620,0.0,0.0
395,root,J9xpczE5TBP36bvZmiVfEyQ14XENTJrGPbRZ32FzbtJuKNL,10.01,3.0,30.03,Ayes,1716247410,0.0,0.0
395,root,HLsPiB2amYFPFYMcYqKxGFLgDUVd4UP1kdA4QdZsH3e91LP,25.0,1.0,25.0,Ayes,1715763354,0.0,0.0
395,root,ET9CeDQKCoLaoESiXb6bzrwpdySs3BdT9C1FAtCUaHQq3nA,25.0,1.0,25.0,Ayes,1715763450,0.0,0.0
395,root,GJNd3aF2HqTrE22XE5aUWuThkGMPVAcCF1aU1fzBXy7Cwiy,10.1,2.0,20.2,Ayes,1716119448,0.0,0.0
395,root,GCbjDUscmiDd9fKmui2unzbDEA7VbCYRVXzTXhUGdc7ffat,10.098688081491,2.0,20.197376162982,Ayes,1715950896,0.0,0.0
395,root,GcdTqfCeMJFPFcBzsgjcC4ckV8tfBG8Kp3FzeEYJ52nEY7U,10.055,2.0,20.11,Ayes,1715778744,0.0,0.0
395,root,JHTfbt39EL1CcbKteN6hG5L5pWo9XWi9XFiyuS9q24cAc8u,1.952139001135,2.4384062226557046,16.952139001135,Ayes,1716125244,15.0,5.0
395,root,HKoo591knCFvXDgaDFSjYbyyZCHTzqSRurGzYobKEZ8k6D8,10.0,1.377049180327869,16.8,Ayes,1715887284,6.8,2.2
402,root,EkNcJijf7V2VcPTeS8QJf5CYMrzSXibcPp6WQT9bnfpxLDX,14.388527057116,1.0,14.388527057116,Nays,1716815808,0.0,0.0
395,root,Hv7opiixZpSZQMxfHhxAVv7ye12Fs8WwadwQPcAgKcSBeFF,130.0,0.1,13.0,Ayes,1716012870,0.0,0.0
402,root,JKbJoCsgUEgjbGmGq7VdSNgSVQt8k43e3WWAYGCpiNP9r6D,130.0,0.1,13.0,Nays,1716603132,0.0,0.0
395,root,DhK6qU2U5kDWeJKvPRtmnWRs8ETUGZ9S9QmNmQFuzrNoKm4,110.0,0.1,11.0,Abstains,1715674098,0.0,0.0
395,root,F9wYAGszUHTfXvVXwRJV6385VxzkpaWQ98TUU3BCpPy4gXj,10.9,1.0,10.9,Ayes,1716010248,0.0,0.0
395,root,DDiisoLVB3MC9Z2vXkuupXPdkM3KzPbyBhydrenG3TFJYVh,10.9,1.0,10.9,Ayes,1716010254,0.0,0.0
402,root,DBe4Bd4452xAdu9UxdNiyx9HS25TZSGzHK63ePdFK2ys2zA,10.9,1.0,10.9,Nays,1717040232,0.0,0.0
402,root,JLBsB2Nh6Kg5AAtMat67BrjYEFkDkETtRc9hSnhvwCjkz5G,10.9,1.0,10.9,Nays,1716815754,0.0,0.0
402,root,Et8jw8wkybT7G36XbmeTtnjXx2TL2echLLLtfYS4quptmqR,10.9,1.0,10.9,Nays,1716815706,0.0,0.0
395,root,HngY6Xx5TtsGcLWYC4N16gTVttH9p8pCpehrHUS9T1aaLia,10.5,1.0,10.5,Ayes,1716010200,0.0,0.0
395,root,DwJnksma9utUsT31bzf7eUwkDBetZhFzD3bJLE1uBZ5udHN,103.0483,0.1,10.30483,Abstains,1715848434,0.0,0.0
402,root,GWXg67Kn4zo3PTwAf51n4oNdvHzjEAtfZLmbM2a8LairgQV,10.2,1.0,10.2,Nays,1717040256,0.0,0.0
402,root,EM1wU9SBBMrqLYSrKqx6GjKQB1LzWMo1h61gYDUpxZksAzK,10.2,1.0,10.2,Nays,1717040268,0.0,0.0
395,root,FUJdymoC7uCaxtE7hMf1HktCGAGNbniD7ebsZ3SNetLUeE2,10.2,1.0,10.2,Ayes,1716328872,0.0,0.0
395,root,G83zrjcqZ5TAM7d4TXsWS8CPuxFHBj3nj5ZUogySfDeYqyJ,10.2,1.0,10.2,Ayes,1716010242,0.0,0.0
402,root,G56GXDf11XFMLKDsyzRM7yZekiokZJfqtNgEF3sNdB6cbqT,10.2,1.0,10.2,Nays,1717040262,0.0,0.0
395,root,GAEP1qFK5eSpqarfRwW7h4ekPffp5Ydy2wZMZSWynho1zAd,10.11,1.0,10.11,Ayes,1716196920,0.0,0.0
402,root,CpRu1U13GaBdSxd4tqw3jjCGCpRgte5v8sLkaXcqtzAxFRG,10.0,1.0,10.0,Nays,1716913434,0.0,0.0
395,root,Gq3wD3R2HqzDaJqtEY1koP7kUhg9sb51sbMC3FYBSJgCuhb,10.0,1.0,10.0,Ayes,1716035520,0.0,0.0
395,root,FoAcuru54tGpm6TE3eHVF3gkKtTmTKjLUxBRXMvi1myi6uH,10.0,1.0,10.0,Ayes,1716293598,0.0,0.0
395,root,Fm2v6yp5J4uXwzAWeVf4Xz8jwXejsWWkoS1WnvnytqkK3h6,10.0,1.0,10.0,Ayes,1716680274,0.0,0.0
402,root,FPwa55diVEYwSuhNXwDACk31u4BTe2kgC255BsibKJwFksc,10.0,1.0,10.0,Nays,1716912870,0.0,0.0
402,root,DY3hczPcJjHXScXkKwJZ7vgqTE4bZaCUa56XsAQH8gDzB7x,10.0,1.0,10.0,Nays,1716912696,0.0,0.0
395,root,GaBaRT2R67TW8QxZtN7S4EUXMh5viYY2q6xiLoDcxodfzmq,10.0,1.0,10.0,Ayes,1716293616,0.0,0.0
402,root,EraxW9FCtQtJpnKSKGPxNSrzASoXpHRhctRs8gZv7C7GvHN,10.0,1.0,10.0,Nays,1716913110,0.0,0.0
402,root,G4urZifj85pm9wXefakQwYfBW86C7cfnbZaLZzZSEnAZzGJ,75.0,0.1,7.5,Nays,1717401678,0.0,0.0
402,root,G4uPrBKnoD5wDU73abrTACesp1LDYfTSQ1ivPBQH9wuySw2,6.403790274368,1.0,6.403790274368,Nays,1717197930,0.0,0.0
395,root,JELu9rJwYB4Lwm9bzLvUcHRMW2g7D1XCiUVc8oqCkA1jVjo,1.0,6.0,6.0,Ayes,1715691006,0.0,0.0
395,root,ESQzLXFRon3h5hUfNN9QTSQQTEzto5XNTGxF3g1myZELwX6,1.0,0.09999999999999999,5.1,Ayes,1715843016,5.0,50.0
402,root,DBdn3d5cWg8yfa3u7LsJdjxyrGxNfWoieWdrNGGrsivmbZk,50.0,0.1,5.0,Nays,1716583626,0.0,0.0
402,root,EwxPgctMzko7q2zQSLv4WnXzHBRfXx4twmm4X4bnEMZmW1M,50.0,0.1,5.0,Nays,1716583548,0.0,0.0
395,root,H1LZZkqyYFv28bjP3HcGM5RdAEoCGFEuA8tHdfLGwwGw73t,50.0,0.1,5.0,Ayes,1715671026,0.0,0.0
395,root,Gpvr66V61fabb5UzuYoCyJLUjPNaQ7LRwjNuQHgyBraq5Ww,50.0,0.1,5.0,Ayes,1715679996,0.0,0.0
402,root,EzBtzUwS8vpbNXCoG4uCeUZVkLnHfHQmDB8iqXSPrzwJG1V,4.673893762638,1.0,4.673893762638,Nays,1716978048,0.0,0.0
395,root,GqPcF8dFg8qYxccJt3FsZzg6tmq6iHgWK3v8gJdG7Se1QoY,0.671389475578,4.0,2.685557902312,Nays,1716158346,0.0,0.0
395,root,DmRN6VQgFGMFi5sQ1r973YwMwHpsUNkgCrbztC6mvoCrK8Y,1.0,2.0,2.0,Ayes,1716404118,0.0,0.0
