referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
379,staking_admin,CwCxSRmEQybec5sgiZuDxpYeSdusNcUXeTTB2RCsmiaWHxi,195000.0,1.0,195000.0,Nays,1713860466,0.0,0.0
379,staking_admin,EX9uchmfeSqKTM7cMMg8DkH49XV8i4R7a7rqCn8btpZBHDP,186000.0,1.0,186000.0,Nays,1713860466,0.0,0.0
379,staking_admin,Cn4ySvWgpAqPVj1pwETTPd7eqpg85Cf3KGojG9CJfoK1gp8,180000.0,1.0,180000.0,Nays,1713860466,0.0,0.0
379,staking_admin,DMHW1yWZS4qingUwcJRjZSJ8SvbvMUEKZL1oMiwcUXHBGWA,150000.0,1.0,150000.0,Nays,1713860466,0.0,0.0
379,staking_admin,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,348.17262309604,3.051444688033626,59940.1335631298,Nays,1713975114,58895.615693841675,19295.025825883768
379,staking_admin,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn,1000.0,2.7994935312405977,11165.5,Nays,1713836418,10165.5,2988.4
379,staking_admin,FtUXQRjFbo4ZYv8eMma9oV4haLwMeWzyjSvNeYSNPfMue9W,1400.0,5.0,7000.0,Nays,1714522620,0.0,0.0
379,staking_admin,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100.0,3.4210526315789473,6500.0,Ayes,1713776286,6000.0,1800.0
379,staking_admin,FFnVrHCy9mCv1dMwJbqSa7cLtrDmj2u5bJ9oHxKRhWpcd91,1666.67,3.0,5000.01,Nays,1713836454,0.0,0.0
379,staking_admin,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu,1e-12,1.0346820809248556,1790.000000000001,Nays,1714242264,1790.0,1730.0
379,staking_admin,JFArxqV6rqPSwBok3zQDnj5jL6vwsZQDwYXXqb1cFygnYVt,400.0,3.5806451612903225,1665.0,Nays,1714383498,65.0,65.0
379,staking_admin,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,4.7028635720248255,1295.78,Nays,1713822432,1095.78,225.53
379,staking_admin,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc,0.2,2.2772092544036164,1295.1721,Ayes,1713783672,1295.1521,568.5541
379,staking_admin,G4UB5DJvfycaDNaUad21LQqjJVzBoTki1gf7PbKtMUowDwv,1.0,5.970646766169153,1200.1,Nays,1714498158,1200.0,200.0
379,staking_admin,Cb3ZF5tmeTEDR44MRLAPH3agiv5ntLG6VMZ2U5x8QM3XkGY,25.0,6.0,1020.0,Ayes,1713614676,870.0,145.0
379,staking_admin,EtommijqrHDFWFvBxP515oUbkXx9vK2qohzrmwpCXbU7Yx2,1.0,5.939795918367347,582.1,Ayes,1713547248,582.0,97.0
379,staking_admin,D8DtYYJUUBoACJwJrLNyn8aYArumdViVWAcZRUKcxnSoV9D,550.0,1.0,550.0,Nays,1713856164,0.0,0.0
379,staking_admin,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,500.0,1.0,500.0,Nays,1713881520,0.0,0.0
379,staking_admin,CwPFXLx7NmPRsQyAFTBscxK7Ph1sJ9Ngekc6rXMxTwdw5PZ,40.0,1.0,441.7192,Ayes,1713644208,401.7192,401.7192
379,staking_admin,EQMipshNYYvHL427XS2HyTvisAhTokXKZfhaRkKxz6sKxQd,100.0,3.0,300.0,Ayes,1713774744,0.0,0.0
379,staking_admin,CgatoWx7Zu4yfaREFsuet3RzBcrRkYXA6sevo1VgjnLB8c3,0.06,5.962779156327543,240.3,Ayes,1713561222,240.24,40.24
379,staking_admin,DN2oxCHnJviLK1NoYdzSNo9n9gmH3eBTfLGXSUcoFcq5khX,70.0,3.0,210.0,Ayes,1713774774,0.0,0.0
379,staking_admin,EQF693vsen6WxMdoYgf2cypvH4saFJWFzDupoFUT79MffeW,58.064,3.0,174.192,Ayes,1713588000,0.0,0.0
379,staking_admin,EctdZvgkphLJMQmKntaPP74LKpGvDKaj1cbqC8fUT4HzqiC,25.0,1.7222222222222223,155.0,Ayes,1713638034,130.0,65.0
