referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
403,wish_for_change,GPM2RhUwWoTVfB5g59KowHxNS4kXRiNkL55nQjY7Gx7wB7W,0.5,2.9999841271101024,189000.5,Nays,1717431378,189000.0,63000.0
403,wish_for_change,HCU3K8YEBmZcdCjrcxQuotFkVdPHcuHPsMmUxJ8fvhd4HPZ,0.3,2.9999900000499995,180000.3,Nays,1717490772,180000.0,60000.0
399,wish_for_change,HERTWZK4ZpmuXsEgW3UfL5x27XCdT5fE9x4QRbyNWifafdU,7.0,4.997955756735052,68457.0,Nays,1716228552,68450.0,13690.0
403,wish_for_change,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa,363.597216530292,4.483721961638345,4560.9118516093085,Nays,1717189272,3470.1202020184323,653.618367003072
399,wish_for_change,D8DtYYJUUBoACJwJrLNyn8aYArumdViVWAcZRUKcxnSoV9D,500.0,2.0,1000.0,Nays,1716389976,0.0,0.0
399,wish_for_change,J19LYGghRCe4Ct3VW4Vz1amMoUgogS1sh2FQvPWroKcDdb1,520.0,1.0,520.0,Nays,1716852894,0.0,0.0
399,wish_for_change,EQMipshNYYvHL427XS2HyTvisAhTokXKZfhaRkKxz6sKxQd,100.0,3.0,300.0,Nays,1717412010,0.0,0.0
403,wish_for_change,DN2oxCHnJviLK1NoYdzSNo9n9gmH3eBTfLGXSUcoFcq5khX,70.0,3.0,210.0,Nays,1717412094,0.0,0.0
399,wish_for_change,GqC37KSFFeGAoL7YxSeP1YDwr85WJvLmDDQiSaprTDAm8Jj,50.0,4.0,200.0,Nays,1716399174,0.0,0.0
399,wish_for_change,CzB1XBwkko3Az7DNZDPigZ1bjzLxELAGnLBnFGRdQ4PXTqZ,60.0,3.0,180.0,Nays,1716403638,0.0,0.0
403,wish_for_change,J7XHBQxacqTTVkoNoSgcG6CgREb9JVh2DHBbBQ1ycvkLBq4,50.0,3.0,150.0,Nays,1717412148,0.0,0.0
399,wish_for_change,GJWFwL8bxZszS5nJNWCV6vC5nBERLgscKSeNF3U9ZcQxL12,70.0,2.0,140.0,Nays,1716354570,0.0,0.0
399,wish_for_change,EQF693vsen6WxMdoYgf2cypvH4saFJWFzDupoFUT79MffeW,58.064,2.0,116.128,Nays,1716272736,0.0,0.0
403,wish_for_change,HTiHYfSRCkUn5u58KRHWjkNPRPP1MNahuXdEr2TtJ5xXfZU,101.0,1.0,101.0,Nays,1717359168,0.0,0.0
403,wish_for_change,DPoJe9z9k36jJpCj32K6m2eT6DAnwvkrUsUkXHnRXWiEuyY,101.0,1.0,101.0,Nays,1717359210,0.0,0.0
403,wish_for_change,DXuN5rty7aNtc3rb7s1HQFsNuiXYtQvFv5HtfkWGq5yyhP9,101.0,1.0,101.0,Nays,1717359354,0.0,0.0
403,wish_for_change,DMNWV5U4GHvc28LNbYzckpPqihSqSu6C4WnKQWgSXbZqwJy,101.0,1.0,101.0,Nays,1717359282,0.0,0.0
403,wish_for_change,JKzwkX6JcARutZvJpArnUFZnYnbsZedCTJfbhrqTtPuxezU,101.0,1.0,101.0,Nays,1717359390,0.0,0.0
403,wish_for_change,GPTwmqixpfnum8jCBVmYBYnseb8q6g9b4kxWRRuuRTAqMoX,101.0,1.0,101.0,Nays,1717359426,0.0,0.0
403,wish_for_change,ESM8k6WhtMu8gotAkmuNrGhrG9RR7mAfvLARyif9Gqjvu2P,101.0,1.0,101.0,Nays,1717359462,0.0,0.0
399,wish_for_change,CaVLqgMmajk7ySYjo4SPqauXwsZu8Y5tP9vVDvJvcecbp3n,50.0,2.0,100.0,Nays,1716272700,0.0,0.0
403,wish_for_change,FS8nKS5ReuaA999xUKTEzDDCA8BXyyrxD73KKyqwbRRt2Hf,50.0,2.0,100.0,Nays,1716913770,0.0,0.0
399,wish_for_change,EmAFBdRFbJiyThqSt9vv2vVECcdTU9nJqa3wTxgKCVKMoC4,100.0,1.0,100.0,Nays,1717359540,0.0,0.0
399,wish_for_change,HyeiEyrdKTvJBpgSXNFtsYGLZiaWjSLjTSTDwZT7WDNwzi2,100.0,1.0,100.0,Nays,1717359252,0.0,0.0
399,wish_for_change,GPeAgenYP4rngtRtFufgCcn3oezWRRHgzCPJUSSqbNfxFkm,100.0,1.0,100.0,Nays,1717359324,0.0,0.0
399,wish_for_change,Dmkww4FsXG3gjCTdpuyAXxfKWtXfYcxV1VJfy7JyPxvjUPA,100.0,1.0,100.0,Nays,1717359504,0.0,0.0
