referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
201,big_spender,16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,10000000.0,3.0,30000000.0,Ayes,1697794050,0.0,0.0
366,big_spender,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,5.0,2.999998333334722,18000005.0,Nays,1704630342,18000000.0,6000000.0
205,big_spender,16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,4860.0,3.440957571347613,12591842.789430737,Nays,1697814888,12567542.789430737,3654540.7709601843
366,big_spender,142H5Qn7HHfkd3r4s5wdQwt3sJMw3aiUK96495Rbr91Ewnzf,1080000.0,6.0,6480000.0,Nays,1704668046,0.0,0.0
366,big_spender,1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,10.0,3.999961000389996,4000001.0,Ayes,1704196326,4000000.0,1000000.0
302,big_spender,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,650000.0,6.0,3900000.0,Nays,1701050364,0.0,0.0
205,big_spender,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,585.0,4.015355004193745,2344124.0264971624,Nays,1698418806,2341199.0264971624,583204.9822179847
366,big_spender,139LyjiPpfrurfFeRgXZVN8sacUE5VkHSN7JizdA6EZ3fiRg,116600.0,6.0,699600.0,Ayes,1703190348,0.0,0.0
366,big_spender,169xkjpfQUK9vUgsn2UwY89NA9PqXdYAMRutNzSjRZgcDGtJ,155244.0,4.0,620976.0,Ayes,1704285582,0.0,0.0
375,big_spender,126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,150.0,4.994316028798788,527200.0,Nays,1704222132,527050.0,105410.0
238,big_spender,1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,0.0,3.0,510000.0,Nays,1699369488,510000.0,170000.0
201,big_spender,15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,7774.241,2.9056534635831244,412172.6780872271,Ayes,1697708868,388849.9550872271,134077.732489968
235,big_spender,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,2.578219250940877,338704.2386884512,Nays,1699297962,338694.2386884512,131361.3868845122
366,big_spender,14wFSvNvUSBxv9g3wFgwYAeN27PqUp6ec3Mtq6x8iovDbYYc,53000.0,6.0,318000.0,Ayes,1703190714,0.0,0.0
366,big_spender,148tjJfsTj6ssTQUwQLuesARKKXiS9oTr8BuPgN5Xd7TfCCV,77756.0,4.0,311024.0,Ayes,1704285462,0.0,0.0
192,big_spender,12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,250000.0,1.0,250000.0,Nays,1697283246,0.0,0.0
236,big_spender,12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,57690.0,4.0,230760.0,Nays,1699254162,0.0,0.0
205,big_spender,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,40100.0,5.0,200500.0,Ayes,1697896110,0.0,0.0
201,big_spender,152SMqD4TkRV4MFVZ5PuCmqhmMwkKDGjn6njtMwETxhE8QZR,100000.0,2.0,200000.0,Ayes,1697631978,0.0,0.0
379,big_spender,13dKEY6zDazKA1Ew7jjsEMUwy5Nt2bnh2S5UagMrcnfkPSPZ,40000.0,4.0,160000.0,Ayes,1703243304,0.0,0.0
236,big_spender,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,3.8897662584010257,156262.2662275017,Ayes,1699277076,152262.2662275017,39172.6622750172
366,big_spender,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,37850.0,4.0,151400.0,Nays,1702632798,0.0,0.0
192,big_spender,12pfPtoyeKRQRKJA1UwSYxSLoKa6AaZTR1V8YzTrUNAcrFZg,50000.0,3.0,150000.0,Nays,1697114022,0.0,0.0
229,big_spender,14x3D7PCPoSyQNxnE7XvZHU6LWkcN1HfTkZMLPSmF7SZBhLM,49900.0,3.0,149700.0,Nays,1698919776,0.0,0.0
234,big_spender,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,1.01611844844899,142731.4427722325,Ayes,1699184784,142730.4427722325,140466.32739681948
234,big_spender,13BD8qt1Ptb2NRijSTCt9ef467ctDUNdqrFTrskB544vs8p2,46001.0,3.0,138003.0,Nays,1699209102,0.0,0.0
341,big_spender,14gEYLb4pzg3RvYS72MPRWWGAUBDdBpp9U6Wh4uMZhdQRis2,33630.0,4.0,134520.0,Nays,1702016820,0.0,0.0
192,big_spender,16hWeT9jKPgdH7NYa8kB1Q6mSoxtEdQqqZQcJwYy9DvwLbob,33333.0,3.0,99999.0,Nays,1697101398,0.0,0.0
