referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
194,big_tipper,16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,10000000.0,3.0,30000000.0,Ayes,1697793912,0.0,0.0
352,big_tipper,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,5.0,2.999998333334722,18000005.0,Nays,1702285482,18000000.0,6000000.0
217,big_tipper,16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,4860.0,3.2205534023102613,8105821.088901451,Ayes,1698367932,8081521.088901451,2512043.176667323
313,big_tipper,142H5Qn7HHfkd3r4s5wdQwt3sJMw3aiUK96495Rbr91Ewnzf,1060000.0,4.0,4240000.0,Ayes,1701169788,0.0,0.0
391,big_tipper,1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,10.0,3.999970000299997,4000010.0,Ayes,1704149892,4000000.0,1000000.0
259,big_tipper,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,650000.0,4.0,2600000.0,Nays,1700217756,0.0,0.0
217,big_tipper,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,585.0,3.921765600160664,2501714.032019834,Ayes,1698418806,2498789.032019834,637320.0374447023
217,big_tipper,12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,250000.0,6.0,1500000.0,Nays,1698336546,0.0,0.0
313,big_tipper,169xkjpfQUK9vUgsn2UwY89NA9PqXdYAMRutNzSjRZgcDGtJ,147244.0,4.0,588976.0,Ayes,1701428652,0.0,0.0
217,big_tipper,1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,0.0,3.1176470588235294,530000.0,Ayes,1698351006,530000.0,170000.0
259,big_tipper,126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,150.0,4.994316028798788,527200.0,Nays,1699896684,527050.0,105410.0
217,big_tipper,15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,7774.241,2.9056534635831244,412172.6780872271,Ayes,1698250728,388849.9550872271,134077.732489968
262,big_tipper,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,2.248091368240009,314729.8700449318,Ayes,1700068188,314719.8700449318,139988.7004493186
313,big_tipper,148tjJfsTj6ssTQUwQLuesARKKXiS9oTr8BuPgN5Xd7TfCCV,77756.0,4.0,311024.0,Ayes,1701428616,0.0,0.0
395,big_tipper,12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,76238.0,3.0,228714.0,Nays,1704420876,0.0,0.0
313,big_tipper,14K6KPs6bDJ781CDWD3PbMv6TcQ7LbfRR5VhGbKkx4MqKHXb,72657.6235944237,3.0,217972.8707832711,Nays,1701192300,0.0,0.0
313,big_tipper,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,40240.0,4.0,160960.0,Nays,1701196896,0.0,0.0
269,big_tipper,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,3.8897620776371427,156262.8762275017,Nays,1700773266,152262.8762275017,39172.8622750172
391,big_tipper,15zYrye2ZW9tDVQJfXrVxFMmYcTRVGZjCqc4ZPMCvvgBV5vM,51401.8308191526,3.0000000000000004,154205.4924574578,Nays,1704202062,0.0,0.0
361,big_tipper,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,37850.0,4.0,151400.0,Nays,1702633224,0.0,0.0
