referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
231,root,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,5.0,2.99999840000128,18750005.0,Ayes,1701623412,18750000.0,6250000.0
231,root,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,2.0,2.9999993333335557,18000002.0,Ayes,1701513150,18000000.0,6000000.0
208,root,16Zw7drubm8LkaoNSPtNBAaoq2bQAL4m7oySPp4RuXvmETDG,4860.0,3.4046888627092704,9357605.089430736,Nays,1698099468,9333305.089430736,2743586.470960184
231,root,142H5Qn7HHfkd3r4s5wdQwt3sJMw3aiUK96495Rbr91Ewnzf,1058000.0,3.0,3174000.0,Ayes,1700762256,0.0,0.0
231,root,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,650000.0,4.0,2600000.0,Nays,1700370588,0.0,0.0
231,root,13NRQGknuzoDWWTu7dmAnN4Ehc4roFRMHoSDprKqkNNHdDnF,2500000.12,1.0,2500000.12,Ayes,1701623010,0.0,0.0
195,root,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,585.0,3.8509844708421417,2450049.5675265277,Nays,1698102198,2447124.5675265277,635628.8268998902
231,root,14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,20126786.311657034,0.1,2012678.6311657033,Nays,1701538458,0.0,0.0
231,root,12ycXCSQLGf1qCxRkm1zris123VnDoRGodaWaSA52pfAVs9d,250000.0,4.0,1000000.0,Nays,1700488278,0.0,0.0
351,root,1v8nuDB4ChEumFThaj7sSySR88nBDmViBJfvhWA2zqmtvY3,0.0,3.1176470588235294,530000.0,Nays,1703328024,530000.0,170000.0
231,root,126PvMw34oFYv5miwXQ3JXVP5eav8T1hkkYsiHijExJ4JorP,150.0,4.994316028798788,527200.0,Nays,1699068522,527050.0,105410.0
231,root,15cfSaBcTxNr8rV59cbhdMNCRagFr3GE6B3zZRsCp4QHHKPu,7774.241,3.0,411711.1869705831,Ayes,1699013082,388388.4639705831,129462.8213235277
231,root,152SMqD4TkRV4MFVZ5PuCmqhmMwkKDGjn6njtMwETxhE8QZR,125000.0,3.0,375000.0,Ayes,1700559324,0.0,0.0
231,root,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,2.65564731913285,352756.2491188646,Ayes,1698841284,352746.2491188646,132822.4911886456
