referendum_index,origin,address,amount,avg_conviction,total_votes,status,voting_time,delegated_votes,delegated_amounts
730,treasurer,14DNpuRijMYbELEvNxhpgvWke6da5EygfDcbcBaRAS6vqbX5,7.5,2.999998752739455,36079054.60955337,Ayes,1716877734,36079047.10955337,12026349.036517791
765,treasurer,12XL5SLstXHQJ1jyVQdf3k63TE8oRpUTNJAJB1jtZpgBta1G,6392222.0,3.0,19176666.0,Ayes,1716366954,0.0,0.0
645,treasurer,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,7.5,2.999997500003125,18000007.5,Ayes,1712736180,18000000.0,6000000.0
730,treasurer,12ptvyToMoRyi9aan3V4rZnPiZaCaSoWnMgN4X7yTW2mDBz2,2.5,2.999999053030751,15840002.5,Ayes,1715621472,15840000.0,5280000.0
730,treasurer,16fWQ4YeaU9s8ofNCbwBrXZ99RUYfiaRb8X4j1T73MKuPYWq,2.0,2.999999124182397,13701479.0,Ayes,1715620980,13701477.0,4567159.0
562,treasurer,12H2VfiLs4NoVcj7VRwddn63RiKGwDaBPPWLjwwRkxKu1nx6,700000.0,6.0,4200000.0,Nays,1712644098,0.0,0.0
562,treasurer,1wpTXaBGoyLNTDF9bosbJS3zh8V8D2ta7JKacveCkuCm7s6,10.0,3.999970000299997,4000010.0,Ayes,1711808790,4000000.0,1000000.0
775,treasurer,13m9oWhucVmGZiCgkeK8QXHiG86j8pEXQzh2taSR4enPTPVD,5000.0,6.0,2886694.2,Ayes,1716970062,2856694.2,476115.7
562,treasurer,15KHTWdJyzyxaQbBNRmQN89KmFr1jPXXsPHM5Rxvd1Tkb2XZ,10.643,3.9261251688607905,2031220.5138999878,Ayes,1710552036,2031209.8708999879,517349.45799987955
562,treasurer,1v7pFmYFtFWJ56VLmPE6wsHmfxZixADpuv4bpwPg87YNQe9,393000.0,5.0,1965000.0,Nays,1711354038,0.0,0.0
765,treasurer,1EHRUR7YL8aeqeCT4LGFq9qrTpEiH1dCikh3n2j1CSbL2c8,1.0,4.871149400611678,1565641.0,Ayes,1716050292,1565640.0,321410.0
765,treasurer,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,781.0452799424,0.4997457927296125,1350202.0713133463,Ayes,1716219432,1347858.9354735191,2700996.720448789
730,treasurer,15a9VMaAj2ZKVN3fA97r9kPVppiJLjSXmsYLQKhVnPEPCQbv,1.95,2.9999899172686035,1160395.95,Ayes,1715154168,1160394.0,386798.0
765,treasurer,13Q4zQADiTtfVEy3KN528HvKzfTXdLS1dRwzsYqjX6J2gxii,114000.0,3.0,342000.0,Nays,1715801850,0.0,0.0
645,treasurer,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,10.0,2.4244671650245277,286045.5925469456,Ayes,1713102966,286035.5925469456,117972.8692561616
562,treasurer,12uvaFnS1HJjq4L71VCFP5fHX3znkQvS46L7TBvFhGyP3X96,84965.0,3.0,254895.0,Nays,1710123012,0.0,0.0
730,treasurer,16JUJFANw7LHEBYsyyykYogBotUxgqSCQswEWbZ1rTPGuN5s,100000.0,2.0,200000.0,Ayes,1717201524,0.0,0.0
645,treasurer,14w9TR3CX7syCEgQ1w3yj1uBwVdsPucNpGQyeetAera5XgxB,10.0,1.9998837344494826,172010.0,Ayes,1714642998,172000.0,86000.0
664,treasurer,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,1000.0,3.987272000750055,158212.9497593746,Nays,1713904728,152212.9497593746,38679.4975937465
758,treasurer,153YD8ZHD9dRh82U419bSCB5SzWhbdAFzjj4NtA5pMazR2yC,35000.0,1.611764689436885,152741.1710991989,Nays,1715629212,47741.1710991989,59766.4209919894
730,treasurer,157iU1M2tuVvWdsEFT5VNmzWQeGkejeef8UB929YPbeDuenQ,35000.0,4.0,140000.0,Nays,1715510964,0.0,0.0
730,treasurer,155zXggx8n15H7TRFRG4G7eCN4VhcbrTgTkBXYxdmcCEkf1v,35000.0,4.0,140000.0,Nays,1715510940,0.0,0.0
730,treasurer,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,1105.5,2.0625747183869607,100704.10093593171,Nays,1716414720,95176.60093593171,47718.9619883092
547,treasurer,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM,10000.0,0.9443525421276879,96029.5035491527,Ayes,1709728500,86029.5035491527,91688.19298436149
664,treasurer,14id3ENXVkJ34Q51AfWDGcMHA1EbGu8obF8QJLEUkzAB8KVh,10.0,2.9977799377536374,70315.6006392737,Nays,1712933334,70314.6006392737,23445.8913927365
562,treasurer,13pZskDR7Pt67NtcChSr4uFRBf9ZS52nQeyrceSykq8MDrMe,11000.0,1.6943865788962031,61003.0,Ayes,1710519036,50003.0,25003.0
547,treasurer,12s37eSMQPEN5cuVyBxk2UypUHntwumqBHy7sJkoKpZ1v3HV,1.0,0.6634334787793555,60198.2419634272,Nays,1710837948,60197.2419634272,90736.4196342719
562,treasurer,13mgf7fcn9nUSPN6Tnw96rj2QLiot6AAssyMwzM5BzgujwBM,17900.0,3.0,53700.0,Nays,1710122988,0.0,0.0
775,treasurer,14vtfeKAVKh1Jzb3s7e43SqZ3zB5MLsdCxZPoKDxeoCFKLu5,528243.11102744,0.1,52824.311102744,Nays,1716325872,0.0,0.0
562,treasurer,14zfiH2sMH955cG2yKUQbHSP3oQ8W4Ai9p9wSSZunvQ4TU4k,9000.0,3.0,27000.0,Ayes,1710002190,0.0,0.0
645,treasurer,13mZThJSNdKUyVUjQE9ZCypwJrwdvY8G5cUCpS9Uw4bodh4t,1.1,1.0000879961281703,25003.3,Ayes,1714933302,25000.0,25000.0
645,treasurer,129LBt5T1eYtnGHbPYeiiMdmWfokCiiq7z6JBfjnYifiombz,5000.0,5.0,25000.0,Ayes,1712210220,0.0,0.0
547,treasurer,13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,7500.0,1.6347221008109658,23167.1946822495,Nays,1710537258,667.1946822494999,6671.946822494499
562,treasurer,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,7000.0,3.0,21000.0,Ayes,1712670984,0.0,0.0
645,treasurer,16SE3e2wrVNUZmEjWcioAEox2PXzkxeTvwCW3pTTWvmDQZJi,5001.0,3.9543463893355577,20009.9235388798,Ayes,1712300742,5.9235388798,59.2353887976
547,treasurer,14Bf4m5CTNrtGcgCAp6xsXMgA9pPeoiVT54g3C2qY1zNvgsR,5000.0,4.0,20000.0,Ayes,1709706366,0.0,0.0
562,treasurer,13aWRkxMZCWcZDr5ucqZQfmaoBpdYq8fTU2Pb8Z99rDX7pCX,10000.0,2.0,20000.0,Ayes,1711445790,0.0,0.0
547,treasurer,16UgRGtYLuDWsBvjLLtc6FYVB3qSCV9c4sidcN4zaFm9qCFR,6600.0,3.0,19800.0,Nays,1709944392,0.0,0.0
730,treasurer,1jPw3Qo72Ahn7Ynfg8kmYNLEPvHWHhPfPNgpJfp5bkLZdrF,200.0,5.875,18800.0,Nays,1715942898,18000.0,3000.0
775,treasurer,16htP3atjNbcaZXx1owdKehUPn3zb6oVEcj8s43bbXycXujL,1.0,2.999355150733516,18605.0,Nays,1716490524,18602.0,6202.0
757,treasurer,1557x4U7JTAcso9AHpiVfrEsadABQ2swNWhDeh5WvUn9Zdog,1000.0,2.9834710743801653,18050.0,Nays,1716007092,15050.0,5050.0
757,treasurer,155LwjGpJH3xYJwPBr6aapk2WCCAezVftvSMrqeJA6eE7v2d,1000.0,3.0,18000.0,Nays,1715972094,15000.0,5000.0
664,treasurer,1Qrotkokp6taAeLThuwgzR7Mu3YQonZohwrzixwGnrD1QDT,1.0,5.998214923241699,16801.0,Nays,1712899260,16800.0,2800.0
730,treasurer,13Srw7dVtGJnZrV3o6RCAJ97MaGbSKShQQiSYjbGp4Jvu4Cs,5061.0,2.6980372420734775,16083.0,Nays,1714676370,900.0,900.0
822,treasurer,15zYwHBurB6xiYbPtp4aTdd2VHeMdjtUhJo7G7yspdxUjRH6,3989.5818845533,4.0,15958.3275382132,Nays,1717306368,0.0,0.0
730,treasurer,1635m1idbmB6QrJ2uauK2cA78MCwThHkSfX7LtxXMJmEsyoZ,2381.0,6.0,14286.0,Ayes,1717054632,0.0,0.0
562,treasurer,12oubVqGFUFbY9RWsXZh5ivsnjf72dqkVRWby9Ca2NYGjLWy,1.0,2.376399203042927,13120.1,Ayes,1711016244,13120.0,5520.0
775,treasurer,16ZkdRYne6geWLkhaMgraDkXXiKHwSSQkCtQ2pPJPtoroURn,6300.0,2.0,12600.0,Nays,1716147468,0.0,0.0
645,treasurer,1247Twcyzmb46zNZ68yg3ZBPcsAfKRsxhTa2tkbPBs12gwXt,12261.7451,1.0,12261.7451,Ayes,1713298260,0.0,0.0
562,treasurer,15wnPRex2QwgWNCMRVSqgqp2syDn8Gf6LPGGabRhA8zoohpt,5000.0,1.0633798335973217,12031.4332747966,Ayes,1710690396,7031.4332747966,6314.3327479658
765,treasurer,15AX5Mcq8Dzays358VobG42QT9KsWJQexNoeVruYUgtt5PcW,1.0,1.0,11346.0,Nays,1716071988,11345.0,11345.0
562,treasurer,12pHJra8Wm8TKmUhVjDJgcWbYQm5q7BPtzm7mmZGaJHBcf7u,5500.0,2.0,11000.0,Ayes,1710701286,0.0,0.0
645,treasurer,138X9xiStmfrWkPB8aogTyLyP25TkrGj6nEv3tYDZaxyjEgz,3.0,1.998860683589846,10000.3,Ayes,1713140406,10000.0,5000.0
562,treasurer,14V9f68WA6EAG6ZefWryFXszSLDQ5SCiL8aPt2JixeHqNXsz,1.0,0.9999100089991001,10000.1,Nays,1710495270,10000.0,10000.0
775,treasurer,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T,10000.0,1.0,10000.0,Nays,1716931230,0.0,0.0
822,treasurer,16UvTJteZiHfoGjzMK5fAxwZd3wkbsFb2C1SKsMLCtxRhNWv,5000.0,2.0,10000.0,Nays,1717130364,0.0,0.0
730,treasurer,14zKtiUzeiCX4pScSgQqfbEow2WLv6FzhVdK1Yh96kM2dNcQ,10000.0,1.0,10000.0,Ayes,1715700468,0.0,0.0
757,treasurer,139YLKvyLxEeG7asCwBZniVKacCibNMNdMPrq3ukrzagMqUV,1.0,5.996410973903521,9857.5,Nays,1716228900,9857.4,1642.9
775,treasurer,1PYggH9TeEN6PH9rw938DHpbdESshvFHPWw5kpYvb8UE3vF,3200.0,3.0,9600.0,Nays,1715779848,0.0,0.0
547,treasurer,12YUDdiZCHE47WqR6etGD4gfdpSUhrRFvASrVhtc1RcbLva8,5000.0,0.6800862688713156,9460.0,Nays,1709694684,8960.0,8910.0
765,treasurer,16fY45exgWE6FzSbLD3WnhmvdHDGRqJTtUetBahg9ibaQets,3000.0,3.0,9000.0,Ayes,1716751998,0.0,0.0
645,treasurer,15hqnsaZVtLZPvp1rzQhBsgr9Zhry7hrS9FwjSg1zBnfdc6r,5.0,1.4942394239423942,8300.5,Ayes,1713102324,8300.0,5550.0
562,treasurer,12s6UMSSfE2bNxtYrJc6eeuZ7UxQnRpUzaAh1gPQrGNFnE8h,1.0,2.3556677242572834,8167.1,Ayes,1712767254,8166.1,3466.0
775,treasurer,14jHouxT1VbhBDw93VW8Z89p139Qgu7ECHz3zxM2CpQEDJDB,8000.0,1.0,8000.0,Ayes,1717187508,0.0,0.0
645,treasurer,12iqwZGB2sguEhjFi2ZRuWWixU8mHJnSiP1pwDefqGsBy4rV,6800.0,0.5597122302158274,7780.0,Ayes,1712213052,7100.0,7100.0
730,treasurer,128QDexPpstSNKKY5tAhbguC3vmLhCvrhnKeTzy8L2PMZBvi,2500.0,3.0,7500.0,Ayes,1717215042,0.0,0.0
645,treasurer,16VVNbc4m6aUxwaVwgRra6Ue7fMNGcRQHTFo1TqxmnCyuwwn,7400.0,1.0,7400.0,Ayes,1712937540,0.0,0.0
562,treasurer,12RXTLiaYh59PokjZVhQvKzcfBEB5CvDnjKKUmDUotzcTH3S,6000.0,0.4036156002512732,7178.5647363083,Ayes,1710074904,1178.5647363083,11785.6473630832
645,treasurer,14Sqrs7dk6gmSiuPK7VWGbPmGr4EfESzZBcpT6U15W4ajJRf,10.0,5.563492063492063,7010.0,Ayes,1713777708,7000.0,1250.0
691,treasurer,15fTH34bbKGMUjF1bLmTqxPYgpg481imThwhWcQfCyktyBzL,25.0,6.0,6150.0,Nays,1713946122,6000.0,1000.0
562,treasurer,168xfZuHXv13uyrVV2vADpuMa4B3kAtj11gRNHA8YKRH9xuW,2000.0,3.0,6000.0,Ayes,1710005460,0.0,0.0
730,treasurer,15jrQX54HczCKJgtYYoKvzJ2kgyCyyA4kyvMv2bC8x9UtDpn,6000.0,1.0,6000.0,Ayes,1716738750,0.0,0.0
757,treasurer,131PZkz6A4fCFsXnefPnQwn5To6gvJFoit2boavU6ryUQoNE,6000.0,1.0,6000.0,Nays,1715426160,0.0,0.0
765,treasurer,12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,5000.0,0.8633971678077863,5910.458473672,Nays,1715858622,910.458473672,1845.5847367197
775,treasurer,13MVd5aKnSM8ggnrMLS4uf8ysca8LXw8cSfCrizaLTg9oGZb,2800.0,2.0,5600.0,Nays,1715791374,0.0,0.0
562,treasurer,1qUKZLhxVGUPozs8j8XpxH8VbZX5ckXV7ziUf6ji83ieZYd,5006.9422923964,1.0,5586.9422923964,Ayes,1711508670,580.0,580.0
775,treasurer,16k5kPkBCMi89e1a9yGZGT4gHJW5H4KUQ5eVqPc8PGPxhi1K,5400.0,1.0,5400.0,Ayes,1717318608,0.0,0.0
730,treasurer,13uifUNALuwqiHZADQb2hrpwnL8kmawjqykx4yN661Tv7mR,5250.0,1.0,5250.0,Ayes,1714750914,0.0,0.0
765,treasurer,12WNzfWXzogo8N27yNuE9T1xXC2VyJYmTqRDuePp2CNJLgPk,5000.0,1.0,5090.0,Nays,1715858634,90.0,90.0
547,treasurer,14i6Wxp8nYxotNCq8MCgTU2j4rV4NGVW9xfrPuxk8qMUtvuC,5030.0,1.0,5030.0,Nays,1709889600,0.0,0.0
562,treasurer,12zqozWYvokd2pN7Rr9JEtpfxAcUP7UmwS7ocGmf7rXpLeFG,5020.0,1.0,5020.0,Ayes,1711808688,0.0,0.0
645,treasurer,16DNbAdyy6QsTPdDDHL5gt7FaeAQ1UioJA6Pj7aUGJERveFd,1.0,2.9988031119090364,5011.0,Ayes,1712734608,5010.0,1670.0
562,treasurer,16DJbUVKFJp6igLoDxCTPesE2DMgMmiawLXG9jsGpYNTshxt,5001.2609611098,1.0,5001.2609611098,Ayes,1710779148,0.0,0.0
645,treasurer,15tKco3E2zXYrtw2DgRThZpX541EdRhhNfGKzvSeHFr3QH2N,1.0,0.9998200359928016,5000.1,Ayes,1712711718,5000.0,5000.0
547,treasurer,14PkBX3BUF71wDh44BLeNby2u7X9ZBu36V28LMcBrdK35yC2,5000.0,1.0,5000.0,Ayes,1709741922,0.0,0.0
562,treasurer,14Q74NU7dG4uxiHTSCSZii5T1Y368cm7BNVNeRWmEuoDUGXQ,5000.0,1.0,5000.0,Ayes,1710922668,0.0,0.0
547,treasurer,1LUckyocmz9YzeQZHVpBvYYRGXb3rnSm2tvfz79h3G3JDgP,5000.0,1.0,5000.0,Nays,1710171102,0.0,0.0
562,treasurer,16HvKyV9B61hsop3ZY6pWYeV537S29kd9pb9FMrPzx49ym5X,5000.0,1.0,5000.0,Ayes,1712085156,0.0,0.0
822,treasurer,13rkfSaFsMEFJAV1wcQcnbJnxiigJTb78qkkLSEvUNPA2QVZ,5000.0,1.0,5000.0,Nays,1717123344,0.0,0.0
765,treasurer,15u9KTyZzjVQJaCVmAPhFNjwyyS7aHjb6m5Exa22fRXQpTp6,5000.0,1.0,5000.0,Ayes,1716807204,0.0,0.0
562,treasurer,13J6LkvsEtdZpvRwUMVNbag26md9ycmGe5PM8UnEokhL6Tgk,5000.0,1.0,5000.0,Ayes,1711144410,0.0,0.0
